dt,open,high,low,close,value,volume
2020-03-02,10.5,10.52,10.3,10.5,609932.0,
2020-03-03,10.5,10.6,10.48,10.48,1624136.0,
2020-03-04,10.5,10.5,10.2,10.2,1992920.0,
2020-03-05,10.22,10.68,10.18,10.18,4883672.0,
2020-03-06,10.18,10.2,10.14,10.2,4832168.0,
2020-03-09,10.18,10.2,9.0,9.08,3217218.0,
2020-03-10,8.95,9.05,8.02,8.92,8559464.0,
2020-03-11,8.86,9.8,8.86,8.93,635030.0,
2020-03-12,9.05,9.05,7.2,7.2,2577749.0,
2020-03-13,7.2,7.7,6.5,7.1,2430290.0,
2020-03-16,7.42,7.45,7.0,7.1,697986.0,
2020-03-19,6.96,6.96,5.9,5.9,3652202.0,
2020-03-20,6.7,7.09,6.4,6.48,4207469.0,
2020-03-23,6.48,7.08,6.48,6.7,5121363.0,
2020-03-24,6.7,6.71,6.68,6.68,11291460.0,
2020-03-25,6.78,7.0,6.74,6.86,1431593.0,
2020-03-26,7.09,7.45,7.09,7.1,2297919.0,
2020-03-27,7.6,7.8,7.36,7.6,4262051.0,
2020-03-30,7.65,7.78,7.4,7.5,2775001.0,
2020-03-31,7.52,7.52,7.35,7.4,10821986.0,
2020-04-01,7.5,7.5,7.36,7.4,866148.0,
2020-04-02,7.4,7.4,7.31,7.35,3851092.0,
2020-04-03,7.7,7.7,7.35,7.53,1485141.0,
2020-04-06,7.55,7.6,7.53,7.53,323044.0,
2020-04-07,7.54,7.74,7.54,7.62,2203990.0,
2020-04-08,7.78,7.78,7.5,7.55,3650367.0,
2020-04-13,7.55,7.55,7.45,7.49,3461946.0,
2020-04-14,7.6,7.8,7.45,7.7,578142.0,
2020-04-15,7.8,8.55,7.65,7.7,5023559.0,
2020-04-16,7.8,7.9,7.65,7.7,2198301.0,
2020-04-17,7.91,8.3,7.91,8.0,9207637.0,
2020-04-20,8.2,8.38,8.18,8.2,17301450.0,
2020-04-21,8.25,8.25,7.95,8.0,15024536.0,
2020-04-22,8.0,8.01,7.81,8.0,12185691.0,
2020-04-23,8.1,8.2,8.0,8.0,10669713.0,
2020-04-24,7.97,8.47,7.97,8.45,483044.0,
2020-04-27,8.45,8.46,8.02,8.02,8390638.0,
2020-04-28,8.02,8.26,8.01,8.2,3094894.0,
2020-04-29,8.29,8.29,8.02,8.1,3704143.0,
2020-04-30,8.16,8.22,8.05,8.17,3469706.0,
2020-05-04,8.22,8.44,8.22,8.37,1329444.0,
2020-05-05,8.44,8.6,8.44,8.59,1833471.0,
2020-05-06,8.59,8.74,8.5,8.6,2679634.0,
2020-05-07,8.7,8.7,8.5,8.53,1015435.0,
2020-05-08,8.7,8.7,8.51,8.59,514564.0,
2020-05-11,8.7,8.7,8.5,8.52,2188561.0,
2020-05-12,8.58,8.58,8.5,8.5,468539.0,
2020-05-13,8.5,8.5,8.35,8.4,974798.0,
2020-05-14,8.68,8.68,8.06,8.4,1275555.0,
2020-05-15,8.59,8.59,8.11,8.48,236905.0,
2020-05-18,8.5,8.5,8.18,8.19,2590975.0,
2020-05-19,8.57,8.57,8.2,8.22,263372.0,
2020-05-20,8.4,8.57,8.24,8.35,211792.0,
2020-05-21,8.49,8.49,8.25,8.35,267498.0,
2020-05-22,8.46,8.46,8.2,8.3,318086.0,
2020-05-26,8.3,8.3,7.9,8.05,9881671.0,
2020-05-27,8.01,8.19,8.0,8.19,461238.0,
2020-05-28,8.2,8.2,8.15,8.2,282546.0,
2020-05-29,8.18,8.24,8.09,8.24,783251.0,
2020-06-01,8.24,8.24,8.2,8.23,645161.0,
2020-06-02,8.2,8.32,8.0,8.18,22256025.0,
2020-06-03,8.15,8.3,8.15,8.3,29465204.0,
2020-06-04,8.34,9.28,8.34,9.03,31549694.0,
2020-06-05,9.28,9.58,9.1,9.58,3143521.0,
2020-06-08,9.6,10.0,9.6,9.9,46062228.0,
2020-06-09,10.0,10.4,9.9,10.0,66754886.0,
2020-06-10,10.0,10.18,9.95,10.04,65505318.0,
2020-06-11,10.0,10.0,9.94,9.95,133835946.0,
2020-06-15,9.95,10.68,9.95,10.5,73836172.0,
2020-06-16,10.52,10.96,10.52,10.88,24929064.0,
2020-06-17,10.88,11.0,10.58,10.88,2446060.0,
2020-06-18,10.8,10.84,10.5,10.5,1954532.0,
2020-06-19,10.42,10.48,9.98,9.98,3656308.0,
2020-06-22,9.96,10.36,9.96,10.16,686632.0,
2020-06-23,10.0,10.02,9.95,10.0,7131163.0,
2020-06-24,10.0,10.0,9.9,9.96,1199793.0,
2020-06-25,9.96,10.08,9.5,10.0,4059860.0,
2020-06-26,10.0,10.0,9.5,10.0,133940.0,
2020-06-29,9.92,9.92,9.79,9.8,1449502.0,
2020-06-30,9.79,9.9,9.79,9.9,583309.0,
2020-07-01,9.75,9.84,9.7,9.79,1045900.0,
2020-07-02,9.8,9.81,9.78,9.81,2000665.0,
2020-07-03,9.82,9.98,9.82,9.92,153852.0,
2020-07-06,9.9,9.9,9.78,9.82,21065956.0,
2020-07-07,9.92,9.92,9.78,9.8,609548.0,
2020-07-08,9.8,9.98,9.8,9.94,138667.0,
2020-07-09,9.9,9.98,9.8,9.82,1081348.0,
2020-07-10,9.8,9.82,9.79,9.8,33078848.0,
2020-07-13,9.9,9.98,9.79,9.8,2843535.0,
2020-07-14,9.99,9.99,9.79,9.8,6197216.0,
2020-07-15,9.76,9.81,9.75,9.8,3526191.0,
2020-07-16,9.8,9.82,9.8,9.82,3058652.0,
2020-07-17,9.82,10.0,9.8,9.8,2573061.0,
2020-07-20,9.8,9.97,9.8,9.85,721471.0,
2020-07-21,9.82,9.9,9.82,9.9,332797.0,
2020-07-22,9.9,9.98,9.9,9.9,1832894.0,
2020-07-23,9.97,9.97,9.01,9.8,4387966.0,
2020-07-24,9.8,9.81,9.79,9.8,5376464.0,
2020-07-27,9.16,9.81,9.16,9.8,5106374.0,
2020-07-28,9.8,9.8,9.78,9.79,1111612.0,
2020-07-29,9.16,9.85,9.16,9.8,7013796.0,
2020-07-30,9.8,9.85,9.8,9.8,3731860.0,
2020-08-03,9.78,9.85,9.78,9.81,1698068.0,
2020-08-04,,,,10.02,,123500.0
2020-08-05,,,,10.3,,35200.0
2020-08-06,,,,10.38,,114000.0
2020-08-07,,,,10.24,,166500.0
2020-08-10,,,,10.0,,1535400.0
2020-08-11,,,,10.5,,3048800.0
2020-08-12,,,,10.36,,67600.0
2020-08-13,,,,10.08,,516100.0
2020-08-14,,,,10.06,,947900.0
2020-08-17,,,,10.0,,1987200.0
2020-08-18,,,,10.0,,920700.0
2020-08-19,,,,10.0,,265200.0
2020-08-20,,,,10.48,,3129000.0
2020-08-24,,,,10.48,,627100.0
2020-08-25,,,,10.7,,281600.0
2020-08-26,,,,11.28,,320200.0
2020-08-27,,,,11.98,,905500.0
2020-08-28,,,,12.3,,454100.0
2020-09-01,,,,12.3,,243500.0
2020-09-02,,,,12.4,,387100.0
2020-09-03,,,,12.4,,218000.0
2020-09-04,,,,12.4,,106400.0
2020-09-07,,,,13.78,,892300.0
2020-09-08,,,,14.6,,2872200.0
2020-09-09,,,,14.5,,1223600.0
2020-09-10,,,,14.48,,2903100.0
2020-09-11,,,,14.22,,3245400.0
2020-09-14,,,,14.4,,147200.0
2020-09-15,,,,13.8,,1292200.0
2020-09-16,,,,13.8,,740900.0
2020-09-17,,,,14.06,,88700.0
2020-09-18,,,,14.0,,200800.0
2020-09-21,,,,13.88,,92400.0
2020-09-22,,,,14.1,,451300.0
2020-09-23,,,,14.18,,112800.0
2020-09-24,,,,13.88,,573900.0
2020-09-25,,,,14.0,,525300.0
2020-09-28,,,,14.18,,671200.0
