dt,open,high,low,close,value,volume
2020-03-02,6.52,6.6,6.34,6.34,214325.0,
2020-03-03,6.25,6.74,6.25,6.74,13234.0,
2020-03-04,6.74,7.0,6.5,6.99,121275.0,
2020-03-05,7.0,7.0,6.61,6.71,40465.0,
2020-03-06,6.71,7.0,6.59,7.0,11921.0,
2020-03-09,6.97,6.97,6.0,6.5,127309.0,
2020-03-10,6.0,6.0,5.21,6.0,101577.0,
2020-03-11,6.0,6.1,5.55,6.0,32596.0,
2020-03-12,6.2,6.2,5.25,5.5,142068.0,
2020-03-13,5.21,5.21,4.85,4.86,299015.0,
2020-03-16,4.05,4.8,4.05,4.8,23100.0,
2020-03-19,,,,,,
2020-03-20,4.75,4.75,4.75,4.75,23750.0,
2020-03-23,4.0,4.5,4.0,4.5,33800.0,
2020-03-24,4.75,4.8,4.25,4.25,64050.0,
2020-03-25,4.8,5.0,4.75,5.0,378700.0,
2020-03-26,5.25,5.7,5.02,5.05,58812.0,
2020-03-27,5.01,5.4,5.0,5.05,247861.0,
2020-03-30,5.0,5.1,5.0,5.0,47208.0,
2020-03-31,4.9,5.0,4.6,4.85,277173.0,
2020-04-01,4.7,5.45,4.7,4.84,211000.0,
2020-04-02,4.71,4.8,4.71,4.8,47640.0,
2020-04-03,4.83,5.1,4.83,4.85,82910.0,
2020-04-06,4.85,4.88,4.8,4.8,86930.0,
2020-04-07,4.98,5.0,4.9,4.99,64320.0,
2020-04-08,5.24,5.24,5.0,5.19,205630.0,
2020-04-13,5.9,5.9,4.8,4.85,59257.0,
2020-04-14,4.85,5.3,4.85,5.29,77610.0,
2020-04-15,5.5,5.5,5.03,5.4,68754.0,
2020-04-16,5.04,5.29,5.04,5.28,60773.0,
2020-04-17,5.27,5.27,5.02,5.05,180645.0,
2020-04-20,5.3,5.3,5.09,5.1,62989.0,
2020-04-21,5.25,5.29,5.1,5.12,77367.0,
2020-04-22,5.15,7.35,5.15,7.02,4659786.0,
2020-04-23,7.12,8.75,7.11,7.65,9508800.0,
2020-04-24,7.67,7.67,6.8,7.0,2267630.0,
2020-04-27,7.12,7.12,6.51,6.7,350142.0,
2020-04-28,6.63,9.38,6.63,7.54,17627883.0,
2020-04-29,7.56,8.95,7.56,8.03,10969133.0,
2020-04-30,8.13,8.64,7.8,7.91,2472348.0,
2020-05-04,7.8,8.3,7.0,7.8,2162834.0,
2020-05-05,7.8,7.8,7.24,7.55,543023.0,
2020-05-06,7.3,7.4,7.12,7.2,1041299.0,
2020-05-07,7.4,8.48,7.4,7.7,5266581.0,
2020-05-08,7.71,8.45,7.61,7.66,2525519.0,
2020-05-11,7.61,8.0,7.21,7.47,1230194.0,
2020-05-12,7.66,7.66,7.23,7.5,506700.0,
2020-05-13,7.89,7.89,7.25,7.62,362157.0,
2020-05-14,7.4,7.68,7.2,7.25,568091.0,
2020-05-15,7.26,7.45,6.9,7.34,919028.0,
2020-05-18,7.44,7.49,6.91,7.09,374108.0,
2020-05-19,7.09,7.15,6.93,6.93,428749.0,
2020-05-20,6.93,7.32,6.93,7.0,126906.0,
2020-05-21,7.0,7.2,6.71,6.91,178884.0,
2020-05-22,6.8,7.19,6.78,6.98,260508.0,
2020-05-26,6.75,7.0,6.7,6.7,188113.0,
2020-05-27,6.6,6.75,6.38,6.5,223031.0,
2020-05-28,6.43,6.7,6.3,6.68,318000.0,
2020-05-29,6.44,7.0,6.44,6.74,198827.0,
2020-06-01,6.5,6.7,6.5,6.51,244049.0,
2020-06-02,6.46,6.7,6.42,6.69,260590.0,
2020-06-03,6.56,6.93,6.55,6.7,273522.0,
2020-06-04,6.55,7.15,6.53,7.1,759072.0,
2020-06-05,7.24,7.27,6.95,6.95,497071.0,
2020-06-08,6.97,8.2,6.97,7.6,4235952.0,
2020-06-09,7.6,7.9,7.05,7.45,887282.0,
2020-06-10,7.45,7.75,7.12,7.23,617976.0,
2020-06-11,7.26,7.5,7.03,7.5,790825.0,
2020-06-15,7.2,7.2,7.02,7.08,245205.0,
2020-06-16,7.08,7.49,7.08,7.28,199859.0,
2020-06-17,7.08,8.3,7.05,8.08,3061628.0,
2020-06-18,8.0,8.0,7.1,7.69,1522235.0,
2020-06-19,7.68,7.68,7.3,7.49,181034.0,
2020-06-22,7.31,7.6,7.22,7.54,259938.0,
2020-06-23,7.31,8.08,7.31,7.94,1338226.0,
2020-06-24,7.51,7.9,7.3,7.3,1544407.0,
2020-06-25,7.2,7.31,7.0,7.03,1496390.0,
2020-06-26,7.05,7.25,6.85,7.03,520450.0,
2020-06-29,7.03,7.03,6.52,6.9,486484.0,
2020-06-30,6.94,7.1,6.93,7.0,307235.0,
2020-07-01,6.99,6.99,6.66,6.8,333769.0,
2020-07-02,6.99,7.0,6.94,6.94,327699.0,
2020-07-03,6.8,7.0,6.8,6.87,221390.0,
2020-07-06,6.94,6.99,6.56,6.99,128863.0,
2020-07-07,6.99,6.99,6.7,6.76,237166.0,
2020-07-08,6.75,6.85,6.75,6.85,69190.0,
2020-07-09,6.98,6.98,6.75,6.8,120074.0,
2020-07-10,6.68,6.68,6.53,6.58,68317.0,
2020-07-13,6.58,7.5,6.58,7.3,836353.0,
