dt,open,high,low,close,value,volume
2020-03-02,7.95,8.0,7.9,7.9,376390.0,
2020-03-03,7.91,7.91,7.9,7.9,584620.0,
2020-03-04,7.82,7.82,7.71,7.8,3995045.0,
2020-03-05,7.73,8.39,7.7,7.75,1334536.0,
2020-03-06,7.72,8.0,7.5,7.7,457754.0,
2020-03-09,7.68,7.68,7.0,7.0,731196.0,
2020-03-10,7.1,7.1,6.8,7.0,452970.0,
2020-03-11,6.73,7.2,6.73,7.2,357405.0,
2020-03-12,7.21,7.21,6.02,6.1,606376.0,
2020-03-13,6.02,6.15,5.8,6.15,654942.0,
2020-03-16,6.2,6.45,5.8,6.45,311197.0,
2020-03-19,6.89,6.89,5.51,6.0,359928.0,
2020-03-20,5.6,5.8,5.5,5.68,600071.0,
2020-03-23,5.69,5.69,5.3,5.6,83988.0,
2020-03-24,5.6,5.6,5.45,5.5,124070.0,
2020-03-25,5.52,6.0,5.45,5.47,4343782.0,
2020-03-26,5.5,6.03,5.5,5.5,4822162.0,
2020-03-27,5.7,5.7,5.3,5.34,2039939.0,
2020-03-30,5.34,5.34,5.0,5.01,1020012.0,
2020-03-31,5.3,5.31,5.05,5.1,5959788.0,
2020-04-01,5.22,5.31,5.19,5.19,997505.0,
2020-04-02,5.19,5.19,5.1,5.11,649769.0,
2020-04-03,5.1,5.18,5.03,5.03,3509310.0,
2020-04-06,5.2,5.47,5.13,5.17,1395197.0,
2020-04-07,5.46,5.49,5.3,5.39,6233831.0,
2020-04-08,5.5,5.5,5.2,5.4,7009803.0,
2020-04-13,5.4,5.64,5.35,5.4,4956878.0,
2020-04-14,5.4,5.63,5.4,5.55,8535729.0,
2020-04-15,5.72,5.77,5.42,5.5,29574777.0,
2020-04-16,5.6,5.72,5.47,5.49,5514376.0,
2020-04-17,5.58,5.68,5.5,5.5,10152640.0,
2020-04-20,5.51,5.7,5.51,5.56,16250786.0,
2020-04-21,5.62,5.72,5.38,5.4,11418698.0,
2020-04-22,5.39,5.4,5.1,5.24,11653724.0,
2020-04-23,5.32,5.4,5.18,5.24,15892401.0,
2020-04-24,5.12,5.24,5.05,5.08,25612643.0,
2020-04-27,5.1,5.24,5.02,5.04,16940468.0,
2020-04-28,5.19,5.8,5.19,5.27,34766825.0,
2020-04-29,5.5,5.5,5.29,5.3,30026729.0,
2020-04-30,5.44,5.44,5.3,5.37,5899528.0,
2020-05-04,5.28,5.28,5.11,5.11,17666945.0,
2020-05-05,5.21,5.5,5.16,5.39,13967306.0,
2020-05-06,5.4,5.4,5.23,5.35,13851262.0,
2020-05-07,5.38,5.38,5.23,5.24,18524380.0,
2020-05-08,5.24,5.34,5.22,5.25,2073124.0,
2020-05-11,5.34,5.5,5.27,5.29,17461234.0,
2020-05-12,5.41,5.46,5.31,5.32,6017832.0,
2020-05-13,5.38,5.38,5.2,5.2,16696684.0,
2020-05-14,5.27,5.27,5.06,5.09,6045952.0,
2020-05-15,5.19,5.26,5.14,5.2,1989491.0,
2020-05-18,5.19,5.19,4.75,4.86,14759052.0,
2020-05-19,4.94,5.08,4.9,5.06,1784030.0,
2020-05-20,5.07,5.19,5.06,5.06,1569462.0,
2020-05-21,5.12,5.12,4.93,4.98,1840225.0,
2020-05-22,5.09,5.09,4.86,4.89,2413220.0,
2020-05-26,4.85,4.87,4.41,4.43,6087790.0,
2020-05-27,4.45,4.55,4.38,4.41,2346540.0,
2020-05-28,4.42,4.6,4.31,4.42,6688310.0,
2020-05-29,4.46,4.48,4.42,4.46,5765970.0,
2020-06-01,4.48,4.74,4.45,4.62,12066400.0,
2020-06-02,4.7,4.82,4.7,4.8,8213810.0,
2020-06-03,4.93,5.35,4.91,5.32,13308760.0,
2020-06-04,5.57,5.58,5.0,5.29,15870896.0,
2020-06-05,5.29,5.51,5.04,5.5,15070656.0,
2020-06-08,5.75,5.94,5.5,5.72,18236459.0,
2020-06-09,5.75,5.89,5.45,5.67,10976069.0,
2020-06-10,5.67,5.67,5.43,5.45,10597682.0,
2020-06-11,5.43,5.43,5.15,5.36,6646696.0,
2020-06-15,5.28,5.28,5.05,5.1,9725128.0,
2020-06-16,5.13,5.4,5.13,5.26,2809262.0,
2020-06-17,5.34,5.35,5.18,5.18,3729140.0,
2020-06-18,5.18,5.18,5.01,5.03,28814170.0,
2020-06-19,5.1,5.17,5.0,5.08,5969109.0,
2020-06-22,5.08,5.08,4.99,5.0,18257058.0,
2020-06-23,5.02,5.19,5.02,5.17,4338277.0,
2020-06-24,5.21,5.24,4.97,5.07,5331429.0,
2020-06-25,5.05,5.09,5.0,5.06,2712128.0,
2020-06-26,5.06,5.09,4.98,5.02,3328508.0,
2020-06-29,5.0,5.15,4.98,5.02,3265447.0,
2020-06-30,5.1,5.1,5.01,5.02,1667537.0,
2020-07-01,5.05,5.1,5.01,5.1,2679250.0,
2020-07-02,5.12,5.29,5.1,5.29,8779836.0,
2020-07-03,5.31,5.32,5.15,5.18,5283705.0,
2020-07-06,5.18,5.25,5.17,5.2,2157506.0,
2020-07-07,5.2,5.25,5.16,5.25,3674956.0,
2020-07-08,5.26,5.38,5.15,5.37,6541781.0,
2020-07-09,5.39,5.5,5.35,5.5,12590317.0,
2020-07-10,5.55,5.58,5.2,5.37,5585833.0,
2020-07-13,5.37,5.37,5.16,5.18,3075723.0,
2020-07-14,5.1,5.1,5.05,5.06,3591535.0,
2020-07-15,5.05,5.09,5.0,5.05,3353849.0,
2020-07-16,5.05,5.09,5.02,5.02,1434570.0,
2020-07-17,5.03,5.07,5.02,5.04,702020.0,
2020-07-20,5.03,5.14,5.03,5.05,1205570.0,
2020-07-21,5.08,5.11,5.08,5.1,632451.0,
2020-07-22,5.05,5.1,5.05,5.08,1292215.0,
2020-07-23,5.08,5.09,5.01,5.07,1980663.0,
2020-07-24,5.07,5.1,5.01,5.1,927338.0,
2020-07-27,5.1,5.1,5.0,5.0,1056636.0,
2020-07-28,5.0,5.0,4.81,4.85,4106474.0,
2020-07-29,4.85,4.89,4.85,4.85,927770.0,
2020-07-30,4.9,5.0,4.89,5.0,443020.0,
2020-08-03,5.0,5.25,4.94,5.09,6026117.0,
2020-08-04,,,,5.09,,339500.0
2020-08-05,,,,5.02,,254200.0
2020-08-06,,,,5.09,,278300.0
2020-08-07,,,,5.12,,640400.0
2020-08-10,,,,5.22,,2000500.0
2020-08-11,,,,5.18,,147100.0
2020-08-12,,,,5.11,,307400.0
2020-08-13,,,,5.15,,220400.0
2020-08-14,,,,5.14,,176700.0
2020-08-17,,,,5.14,,71300.0
2020-08-18,,,,5.28,,1123600.0
2020-08-19,,,,5.34,,539900.0
2020-08-20,,,,5.42,,1890800.0
2020-08-24,,,,5.32,,613500.0
2020-08-25,,,,5.33,,182300.0
2020-08-26,,,,5.34,,1078200.0
2020-08-27,,,,5.5,,2396100.0
2020-08-28,,,,5.69,,2560800.0
2020-09-01,,,,6.09,,5574200.0
2020-09-02,,,,6.17,,1718300.0
2020-09-03,,,,6.1,,2290600.0
2020-09-04,,,,6.42,,1417100.0
2020-09-07,,,,6.72,,3358100.0
2020-09-08,,,,6.75,,2338500.0
2020-09-09,,,,6.8,,1144800.0
2020-09-10,,,,6.92,,708400.0
2020-09-11,,,,6.8,,739400.0
2020-09-14,,,,6.5,,1272500.0
2020-09-15,,,,6.46,,594400.0
2020-09-16,,,,6.61,,599900.0
2020-09-17,,,,6.65,,63200.0
2020-09-18,,,,6.61,,159400.0
2020-09-21,,,,6.5,,575100.0
2020-09-22,,,,6.45,,652700.0
2020-09-23,,,,6.36,,1017500.0
2020-09-24,,,,6.45,,213700.0
2020-09-25,,,,6.67,,1001300.0
2020-09-28,,,,6.85,,1063100.0
