dt,open,high,low,close,value,volume
2020-03-02,0.37,0.37,0.37,0.37,59200.0,
2020-03-03,0.365,0.375,0.365,0.375,18350.0,
2020-03-04,,,,,,
2020-03-05,0.37,0.37,0.37,0.37,7400.0,
2020-03-06,0.37,0.38,0.37,0.37,515700.0,
2020-03-09,0.36,0.36,0.345,0.36,617700.0,
2020-03-10,0.35,0.35,0.33,0.345,43900.0,
2020-03-11,0.34,0.345,0.34,0.345,13650.0,
2020-03-12,0.335,0.335,0.32,0.32,484400.0,
2020-03-13,0.32,0.32,0.3,0.315,134050.0,
2020-03-16,0.3,0.3,0.3,0.3,45000.0,
2020-03-19,0.3,0.3,0.28,0.28,75800.0,
2020-03-20,0.205,0.325,0.205,0.325,197350.0,
2020-03-23,,,,,,
2020-03-24,0.315,0.32,0.315,0.32,34700.0,
2020-03-25,0.32,0.325,0.32,0.325,74150.0,
2020-03-26,0.25,0.32,0.24,0.3,158750.0,
2020-03-27,0.325,0.325,0.295,0.295,148050.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,0.3,0.31,0.3,0.3,90600.0,
2020-04-02,,,,,,
2020-04-03,0.255,0.315,0.255,0.315,16150.0,
2020-04-06,,,,,,
2020-04-07,0.285,0.31,0.285,0.3,53500.0,
2020-04-08,,,,,,
2020-04-13,0.3,0.305,0.3,0.305,18250.0,
2020-04-14,0.31,0.31,0.31,0.31,18600.0,
2020-04-15,0.3,0.305,0.3,0.3,303050.0,
2020-04-16,0.3,0.3,0.3,0.3,24000.0,
2020-04-17,,,,,,
2020-04-20,0.285,0.3,0.285,0.3,14850.0,
2020-04-21,,,,,,
2020-04-22,0.285,0.295,0.285,0.295,43550.0,
2020-04-23,0.29,0.29,0.29,0.29,26100.0,
2020-04-24,0.3,0.3,0.3,0.3,18000.0,
2020-04-27,0.29,0.29,0.29,0.29,14500.0,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,0.325,0.325,0.325,0.325,32500.0,
2020-05-05,0.325,0.325,0.295,0.295,114250.0,
2020-05-06,,,,,,
2020-05-07,0.295,0.295,0.295,0.295,191750.0,
2020-05-08,0.29,0.29,0.29,0.29,8700.0,
2020-05-11,0.29,0.29,0.29,0.29,5800.0,
2020-05-12,0.29,0.29,0.29,0.29,49300.0,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,0.3,0.3,0.3,0.3,3000.0,
2020-05-18,0.29,0.29,0.29,0.29,29000.0,
2020-05-19,0.285,0.285,0.285,0.285,42750.0,
2020-05-20,,,,,,
2020-05-21,0.28,0.28,0.28,0.28,2800.0,
2020-05-22,,,,,,
2020-05-26,0.305,0.315,0.285,0.285,47200.0,
2020-05-27,0.285,0.285,0.28,0.285,31250.0,
2020-05-28,0.28,0.29,0.275,0.275,61600.0,
2020-05-29,0.275,0.3,0.27,0.275,1849250.0,
2020-06-01,,,,,,
2020-06-02,0.295,0.305,0.295,0.305,408200.0,
2020-06-03,0.305,0.305,0.28,0.285,1575550.0,
2020-06-04,0.3,0.3,0.28,0.28,1094050.0,
2020-06-05,0.29,0.29,0.28,0.28,837700.0,
2020-06-08,0.285,0.29,0.275,0.28,1062650.0,
2020-06-09,0.285,0.285,0.28,0.28,2248550.0,
2020-06-10,0.285,0.3,0.28,0.3,6644800.0,
2020-06-11,0.29,0.3,0.285,0.29,2069550.0,
2020-06-15,0.29,0.29,0.265,0.275,748900.0,
2020-06-16,0.27,0.27,0.25,0.27,1023650.0,
2020-06-17,0.265,0.275,0.26,0.275,440900.0,
2020-06-18,0.27,0.275,0.265,0.265,262500.0,
2020-06-19,0.275,0.275,0.265,0.27,664400.0,
2020-06-22,0.27,0.275,0.27,0.27,102700.0,
2020-06-23,0.265,0.27,0.265,0.27,247150.0,
2020-06-24,0.265,0.27,0.26,0.27,572750.0,
2020-06-25,0.275,0.275,0.255,0.26,546050.0,
2020-06-26,0.26,0.26,0.25,0.255,105850.0,
2020-06-29,0.255,0.255,0.244,0.24600000000000002,279210.0,
2020-06-30,0.24600000000000002,0.24600000000000002,0.242,0.242,70690.0,
2020-07-01,0.24100000000000002,0.24600000000000002,0.24,0.243,473550.0,
2020-07-02,0.242,0.26,0.242,0.255,52200.0,
2020-07-03,0.255,0.255,0.255,0.255,2550.0,
2020-07-06,0.24600000000000002,0.25,0.24600000000000002,0.25,47100.0,
2020-07-07,0.25,0.26,0.25,0.255,78500.0,
2020-07-08,0.26,0.26,0.25,0.26,106100.0,
2020-07-09,0.255,0.265,0.255,0.265,189150.0,
2020-07-10,0.265,0.265,0.265,0.265,95400.0,
