dt,open,high,low,close,value,volume
2020-03-02,8.05,8.05,8.0,8.02,8513148.0,
2020-03-03,8.03,8.23,8.03,8.12,14448028.0,
2020-03-04,8.05,8.15,8.05,8.11,6029701.0,
2020-03-05,8.12,8.12,8.09,8.09,7402906.0,
2020-03-06,8.08,8.1,8.07,8.09,4379265.0,
2020-03-09,8.09,8.1,8.04,8.09,48653816.0,
2020-03-10,8.06,8.18,8.06,8.12,25123859.0,
2020-03-11,8.13,8.42,8.13,8.39,20719621.0,
2020-03-12,8.42,8.46,8.36,8.38,51213356.0,
2020-03-13,8.39,9.1,8.34,9.01,327493549.0,
2020-03-16,9.0,9.5,9.0,9.3,107008317.0,
2020-03-19,8.4,9.25,7.65,7.74,543887824.0,
2020-03-20,7.69,7.69,6.76,7.5,14243374.0,
2020-03-23,7.5,7.5,6.0,7.0,1735733.0,
2020-03-24,6.5,7.2,6.5,7.18,81623708.0,
2020-03-25,7.18,7.26,7.08,7.2,135790324.0,
2020-03-26,7.0,7.22,6.97,7.22,1018058.0,
2020-03-27,7.23,8.5,7.22,8.5,7663173.0,
2020-03-30,8.49,8.49,7.92,8.11,835457.0,
2020-03-31,8.0,8.0,7.97,7.98,2048037.0,
2020-04-01,7.97,8.1,7.91,8.0,1865953.0,
2020-04-02,8.0,8.0,7.86,7.98,100173350.0,
2020-04-03,7.98,8.1,7.92,8.05,26980762.0,
2020-04-06,8.08,8.08,7.9,8.0,51819835.0,
2020-04-07,8.0,8.0,7.88,7.99,43199607.0,
2020-04-08,7.97,7.99,7.92,7.98,40007754.0,
2020-04-13,7.98,7.98,7.9,7.98,33694122.0,
2020-04-14,7.98,7.98,7.9,7.97,45079026.0,
2020-04-15,7.96,7.97,7.9,7.97,40275429.0,
2020-04-16,7.96,7.97,7.91,7.96,53000499.0,
2020-04-17,7.96,8.0,7.92,7.98,36246186.0,
2020-04-20,7.98,7.98,7.92,7.98,56362105.0,
2020-04-21,7.97,7.98,7.91,7.97,24216193.0,
2020-04-22,7.97,7.98,7.91,7.97,23620187.0,
2020-04-23,7.97,7.98,7.91,7.98,20057647.0,
2020-04-24,7.98,7.98,7.9,7.9,24377604.0,
2020-04-27,7.9,7.98,7.74,7.88,15409755.0,
2020-04-28,7.85,7.98,7.85,7.9,3988214.0,
2020-04-29,7.86,7.9,7.85,7.9,4838451.0,
2020-04-30,7.9,7.94,7.86,7.9,8134725.0,
2020-05-04,7.9,7.9,7.85,7.9,8039139.0,
2020-05-05,7.9,7.9,7.85,7.9,6379785.0,
2020-05-06,7.9,7.9,7.83,7.83,7957284.0,
2020-05-07,7.8,7.85,7.69,7.83,20888656.0,
2020-05-08,7.85,7.86,7.81,7.83,8751084.0,
2020-05-11,7.83,7.83,7.79,7.83,11937801.0,
2020-05-12,7.86,7.86,7.78,7.79,8281914.0,
2020-05-13,7.79,7.8,7.7,7.73,21843814.0,
2020-05-14,7.83,7.83,7.69,7.73,10759029.0,
2020-05-15,7.73,7.8,7.61,7.73,13720334.0,
2020-05-18,7.75,7.75,7.66,7.66,6506582.0,
2020-05-19,7.7,7.72,7.63,7.65,9612905.0,
2020-05-20,7.65,7.77,7.62,7.63,20882585.0,
2020-05-21,7.78,7.78,7.63,7.7,9186972.0,
2020-05-22,7.7,7.78,7.7,7.7,7734784.0,
2020-05-26,7.68,7.7,7.63,7.68,3903701.0,
2020-05-27,7.67,7.7,7.64,7.7,6328326.0,
2020-05-28,7.7,7.8,7.6,7.8,12464970.0,
2020-05-29,7.8,7.84,7.8,7.83,9829098.0,
2020-06-01,7.83,7.87,7.83,7.87,2609804.0,
2020-06-02,7.87,7.87,7.83,7.85,2192463.0,
2020-06-03,7.85,7.85,7.69,7.85,5147417.0,
2020-06-04,7.85,7.87,7.73,7.85,26063125.0,
2020-06-05,7.82,7.93,7.75,7.9,24879053.0,
2020-06-08,7.94,8.2,7.92,8.2,36855997.0,
2020-06-09,8.08,8.35,8.08,8.29,51220174.0,
2020-06-10,8.29,8.35,8.15,8.35,583241732.0,
2020-06-11,8.36,8.5,8.25,8.32,432897736.0,
2020-06-15,8.35,8.49,7.9,7.9,380202394.0,
2020-06-16,7.8,8.0,7.74,7.95,359035078.0,
2020-06-17,8.0,8.17,7.9,8.12,484931788.0,
2020-06-18,8.14,8.2,7.9,8.09,364730308.0,
2020-06-19,8.1,8.1,7.89,8.09,752675892.0,
2020-06-22,7.86,8.09,7.86,8.0,376328190.0,
2020-06-23,7.95,8.05,7.95,8.01,430179448.0,
2020-06-24,8.05,8.21,8.04,8.05,576336352.0,
2020-06-25,8.02,8.13,8.0,8.0,346050872.0,
2020-06-26,8.05,8.05,7.96,8.04,281327115.0,
2020-06-29,8.13,8.13,8.01,8.01,162818118.0,
2020-06-30,8.13,8.25,8.11,8.25,126411018.0,
2020-07-01,8.28,8.33,8.28,8.33,3987687.0,
2020-07-02,8.33,8.34,8.09,8.1,24108472.0,
2020-07-03,8.0,8.05,7.99,8.0,26070657.0,
2020-07-06,8.0,8.0,7.8,7.8,86165719.0,
2020-07-07,7.8,8.1,7.8,7.98,1415892457.0,
2020-07-08,7.99,8.2,7.99,8.15,7373211.0,
2020-07-09,8.15,8.35,8.0,8.35,9030207.0,
2020-07-10,8.4,8.4,8.17,8.38,20332655.0,
2020-07-13,8.4,8.52,8.25,8.5,20535777.0,
2020-07-14,8.55,8.8,8.55,8.8,25149853.0,
2020-07-15,8.7,8.8,8.5,8.78,17504349.0,
2020-07-16,8.8,9.5,8.8,9.2,90490141.0,
2020-07-17,9.0,9.1,8.81,8.98,9923616.0,
2020-07-20,8.95,9.12,8.71,9.08,4992798.0,
2020-07-21,9.04,9.12,9.01,9.01,1907602.0,
2020-07-22,9.05,9.22,9.0,9.1,56313986.0,
2020-07-23,9.16,9.25,9.0,9.1,34640189.0,
2020-07-24,9.24,9.24,9.0,9.04,18150813.0,
2020-07-27,9.06,9.15,9.02,9.09,4339487.0,
2020-07-28,9.1,9.1,8.89,9.1,2621077.0,
2020-07-29,9.1,9.15,9.05,9.1,12516389.0,
2020-07-30,9.1,9.14,9.07,9.1,285941330.0,
2020-08-03,9.05,9.15,9.05,9.06,464994778.0,
2020-08-04,,,,9.07,,42195700.0
2020-08-05,,,,9.1,,1973400.0
2020-08-06,,,,9.1,,10183500.0
2020-08-07,,,,9.1,,609525500.0
2020-08-10,,,,9.85,,27101300.0
2020-08-11,,,,9.99,,10944400.0
2020-08-12,,,,9.99,,7314900.0
2020-08-13,,,,10.2,,5730400.0
2020-08-14,,,,10.98,,104135300.0
2020-08-17,,,,10.3,,7852400.0
2020-08-18,,,,10.3,,2432000.0
2020-08-19,,,,10.18,,1659300.0
2020-08-20,,,,10.1,,745100.0
2020-08-24,,,,10.08,,525451500.0
2020-08-25,,,,10.0,,771100.0
2020-08-26,,,,10.0,,1521200.0
2020-08-27,,,,10.0,,475000.0
2020-08-28,,,,10.0,,1046300.0
2020-09-01,,,,9.97,,962000.0
2020-09-02,,,,9.9,,896700.0
2020-09-03,,,,9.98,,575000.0
2020-09-04,,,,9.99,,1062200.0
2020-09-07,,,,9.97,,1079200.0
2020-09-08,,,,9.97,,491400.0
2020-09-09,,,,9.97,,439400.0
2020-09-10,,,,9.94,,3784900.0
2020-09-11,,,,9.95,,1159400.0
2020-09-14,,,,9.9,,2140400.0
2020-09-15,,,,9.91,,491600.0
2020-09-16,,,,9.9,,506100.0
2020-09-17,,,,9.97,,533600.0
2020-09-18,,,,9.9,,311200.0
2020-09-21,,,,9.89,,274600.0
2020-09-22,,,,9.9,,817700.0
2020-09-23,,,,9.9,,638000.0
2020-09-24,,,,9.91,,234100.0
2020-09-25,,,,9.89,,108000.0
2020-09-28,,,,9.88,,256100.0
