dt,open,high,low,close,value,volume
2020-03-02,4.09,4.2,3.45,3.77,82488370.0,
2020-03-03,3.85,4.04,3.61,3.78,61521060.0,
2020-03-04,3.9,4.2,3.65,3.83,101415130.0,
2020-03-05,3.9,4.06,3.51,3.65,38700500.0,
2020-03-06,3.71,3.8,3.56,3.63,26831870.0,
2020-03-09,3.9,3.94,2.7,2.75,57460430.0,
2020-03-10,2.3,2.69,2.05,2.55,30608570.0,
2020-03-11,2.68,2.95,2.6,2.91,29556030.0,
2020-03-12,2.98,2.99,2.35,2.35,18351270.0,
2020-03-13,2.06,2.49,1.82,2.35,15544230.0,
2020-03-16,2.06,2.75,2.0,2.36,15726970.0,
2020-03-19,2.35,2.35,1.9,1.91,8360200.0,
2020-03-20,1.86,2.19,1.61,1.72,10442220.0,
2020-03-23,1.75,1.96,1.75,1.8,12658000.0,
2020-03-24,1.92,1.95,1.84,1.86,3267540.0,
2020-03-25,1.94,2.0,1.88,1.91,4357890.0,
2020-03-26,1.91,2.1,1.91,2.01,7699770.0,
2020-03-27,2.1,2.16,1.88,1.98,5903870.0,
2020-03-30,1.95,2.0,1.88,1.95,1703090.0,
2020-03-31,2.05,2.05,1.91,1.97,2509020.0,
2020-04-01,1.99,1.99,1.9,1.95,1802320.0,
2020-04-02,1.95,1.95,1.88,1.91,1261980.0,
2020-04-03,1.9,1.93,1.89,1.91,804750.0,
2020-04-06,1.91,1.98,1.91,1.95,1402490.0,
2020-04-07,1.95,1.95,1.82,1.85,3859930.0,
2020-04-08,1.85,1.92,1.85,1.87,1781100.0,
2020-04-13,1.9,2.15,1.9,2.15,9839660.0,
2020-04-14,2.18,2.33,2.15,2.29,12417690.0,
2020-04-15,2.3,2.35,2.17,2.28,7942220.0,
2020-04-16,2.27,2.27,2.12,2.2,4634660.0,
2020-04-17,2.26,2.6,2.22,2.5,27077110.0,
2020-04-20,2.68,2.9,2.66,2.8,37369080.0,
2020-04-21,2.85,2.85,2.5,2.76,10053280.0,
2020-04-22,2.69,2.71,2.5,2.65,4253060.0,
2020-04-23,2.7,2.95,2.65,2.88,12686010.0,
2020-04-24,2.94,3.3,2.9,2.9,70292340.0,
2020-04-27,2.88,2.88,2.67,2.68,11640860.0,
2020-04-28,2.7,2.9,2.7,2.8,9821650.0,
2020-04-29,2.8,2.93,2.74,2.8,5639580.0,
2020-04-30,2.86,2.9,2.75,2.79,3675740.0,
2020-05-04,2.76,2.76,2.5,2.67,4277850.0,
2020-05-05,2.82,2.82,2.63,2.7,3957900.0,
2020-05-06,2.67,2.7,2.53,2.59,4126140.0,
2020-05-07,2.58,2.64,2.51,2.63,2173300.0,
2020-05-08,2.65,2.68,2.38,2.49,4799410.0,
2020-05-11,2.49,2.54,2.36,2.5,2712980.0,
2020-05-12,2.5,2.53,2.36,2.43,1180850.0,
2020-05-13,2.45,2.55,2.4,2.52,2006970.0,
2020-05-14,2.5,2.71,2.5,2.71,8751910.0,
2020-05-15,2.72,2.81,2.6,2.62,8443940.0,
2020-05-18,2.68,2.68,2.5,2.66,4070500.0,
2020-05-19,2.68,2.73,2.58,2.64,2608650.0,
2020-05-20,2.6,2.6,2.53,2.58,2134520.0,
2020-05-21,2.65,2.65,2.54,2.58,773630.0,
2020-05-22,2.55,2.55,2.42,2.46,2398230.0,
2020-05-26,2.47,2.47,2.22,2.29,3030190.0,
