dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,0.086,0.086,0.086,0.086,860.0,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,0.08900000000000001,0.08900000000000001,0.08,0.08,94990.0,
2020-03-13,,,,,,
2020-03-16,0.1,0.1,0.1,0.1,72000.0,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,0.1,0.1,0.1,0.1,5000.0,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,0.079,0.079,0.079,0.079,790.0,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,0.08,0.08,0.06,0.07200000000000001,142110.0,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,0.073,0.073,0.069,0.069,21400.0,
2020-05-14,0.069,0.069,0.051,0.051,66250.0,
2020-05-15,0.07,0.076,0.052000000000000005,0.052000000000000005,95330.0,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,0.053,0.077,0.052000000000000005,0.077,92150.0,
2020-05-21,0.077,0.114,0.077,0.114,661800.0,
2020-05-22,0.114,0.145,0.114,0.128,5359120.0,
2020-05-26,0.127,0.14,0.12,0.132,2616970.0,
2020-05-27,0.138,0.138,0.126,0.133,773950.0,
2020-05-28,0.134,0.134,0.126,0.128,454660.0,
2020-05-29,0.12,0.121,0.11,0.12,1337670.0,
2020-06-01,0.12,0.12,0.105,0.105,560790.0,
2020-06-02,0.10300000000000001,0.11199999999999999,0.098,0.11199999999999999,653620.0,
2020-06-03,0.10099999999999999,0.106,0.10099999999999999,0.10099999999999999,572670.0,
2020-06-04,0.1,0.10400000000000001,0.098,0.10099999999999999,226780.0,
2020-06-05,0.10099999999999999,0.105,0.098,0.099,476460.0,
2020-06-08,0.099,0.1,0.092,0.1,381500.0,
2020-06-09,0.1,0.1,0.098,0.098,104530.0,
2020-06-10,0.098,0.098,0.092,0.095,196040.0,
2020-06-11,0.09300000000000001,0.099,0.09300000000000001,0.096,153070.0,
2020-06-15,0.095,0.095,0.092,0.092,232300.0,
2020-06-16,0.092,0.096,0.09,0.096,74160.0,
2020-06-17,0.096,0.11,0.094,0.11,800220.0,
2020-06-18,0.12,0.12,0.11,0.11599999999999999,744990.0,
2020-06-19,0.11599999999999999,0.11599999999999999,0.10099999999999999,0.109,260720.0,
2020-06-22,0.109,0.109,0.1,0.105,329500.0,
2020-06-23,0.1,0.105,0.09699999999999999,0.105,117400.0,
2020-06-24,0.105,0.105,0.09300000000000001,0.098,73840.0,
2020-06-25,0.096,0.10099999999999999,0.096,0.10099999999999999,109430.0,
2020-06-26,0.10300000000000001,0.10300000000000001,0.09699999999999999,0.09699999999999999,447320.0,
2020-06-29,0.09699999999999999,0.102,0.09699999999999999,0.102,17560.0,
2020-06-30,0.102,0.102,0.09300000000000001,0.098,24490.0,
2020-07-01,0.102,0.11199999999999999,0.1,0.10099999999999999,4212180.0,
2020-07-02,0.1,0.10800000000000001,0.096,0.105,256070.0,
2020-07-03,0.105,0.106,0.10099999999999999,0.106,66830.0,
2020-07-06,0.098,0.10400000000000001,0.098,0.10400000000000001,16720.0,
2020-07-07,0.10400000000000001,0.10400000000000001,0.09699999999999999,0.098,353010.0,
2020-07-08,0.102,0.10300000000000001,0.09699999999999999,0.102,143760.0,
2020-07-09,0.102,0.10300000000000001,0.09699999999999999,0.10300000000000001,149410.0,
2020-07-10,,,,,,
2020-07-13,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.10300000000000001,330630.0,
2020-07-14,0.09300000000000001,0.102,0.09300000000000001,0.09699999999999999,37440.0,
2020-07-15,0.09300000000000001,0.095,0.09300000000000001,0.094,168720.0,
2020-07-16,0.094,0.094,0.09300000000000001,0.09300000000000001,48830.0,
2020-07-17,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,1860.0,
2020-07-20,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,7440.0,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,10230.0,
2020-07-27,0.09300000000000001,0.09300000000000001,0.092,0.09300000000000001,125230.0,
2020-07-28,,,,,,
2020-07-29,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,930.0,
2020-07-30,0.09,0.1,0.086,0.095,74640.0,
2020-08-03,0.09,0.095,0.08800000000000001,0.095,19690.0,
2020-08-04,,,,0.1,,250000.0
2020-08-05,,,,0.099,,260000.0
2020-08-06,,,,0.099,,10000.0
2020-08-07,,,,0.088,,10000.0
2020-08-10,,,,0.098,,1320000.0
2020-08-13,,,,0.098,,40000.0
2020-08-17,,,,0.093,,880000.0
2020-08-19,,,,0.09,,610000.0
2020-08-20,,,,0.088,,1200000.0
2020-08-24,,,,0.089,,590000.0
2020-08-25,,,,0.09,,650000.0
2020-08-28,,,,0.089,,100000.0
2020-09-01,,,,0.089,,50000.0
2020-09-02,,,,0.09,,90000.0
2020-09-03,,,,0.088,,1440000.0
2020-09-04,,,,0.088,,20000.0
2020-09-07,,,,0.088,,220000.0
2020-09-08,,,,0.087,,1370000.0
2020-09-09,,,,0.087,,400000.0
2020-09-11,,,,0.087,,300000.0
2020-09-14,,,,0.086,,1420000.0
2020-09-15,,,,0.086,,160000.0
2020-09-16,,,,0.085,,40000.0
2020-09-17,,,,0.085,,400000.0
2020-09-21,,,,0.085,,10000.0
2020-09-22,,,,0.086,,40000.0
2020-09-24,,,,0.085,,320000.0
2020-09-25,,,,0.085,,130000.0
