dt,open,high,low,close,value,volume
2020-03-02,11.0,11.2,10.9,11.02,5691026.0,
2020-03-03,11.04,11.34,10.86,11.0,15033640.0,
2020-03-04,10.82,10.88,10.8,10.8,1449280.0,
2020-03-05,11.18,11.18,10.68,10.7,2653952.0,
2020-03-06,10.94,10.94,10.66,10.7,4346182.0,
2020-03-09,10.6,10.6,9.3,9.3,13929252.0,
2020-03-10,9.3,9.98,9.1,9.65,3931953.0,
2020-03-11,9.66,9.98,9.66,9.68,2981347.0,
2020-03-12,9.67,9.67,9.0,9.0,7224372.0,
2020-03-13,9.0,9.0,8.0,8.9,3535710.0,
2020-03-16,9.0,9.0,8.15,8.3,2781803.0,
2020-03-19,8.1,8.1,7.0,7.01,6413395.0,
2020-03-20,7.01,7.9,7.01,7.5,2136447.0,
2020-03-23,7.01,7.49,7.0,7.0,2146493.0,
2020-03-24,7.28,7.28,7.05,7.09,766857.0,
2020-03-25,7.1,7.84,7.1,7.31,1394361.0,
2020-03-26,7.35,7.79,7.35,7.6,1156475.0,
2020-03-27,7.71,8.21,7.71,8.0,6147745.0,
2020-03-30,8.0,8.0,7.5,7.51,1400781.0,
2020-03-31,7.53,7.97,7.53,7.7,1107104.0,
2020-04-01,7.7,8.0,7.65,7.95,605699.0,
2020-04-02,7.8,7.92,7.54,7.54,2369601.0,
2020-04-03,7.56,7.85,7.54,7.6,209113.0,
2020-04-06,7.6,7.88,7.59,7.78,1178728.0,
2020-04-07,7.9,7.97,7.8,7.8,989894.0,
2020-04-08,7.88,7.88,7.6,7.6,2647102.0,
2020-04-13,7.6,7.96,7.6,7.62,2045026.0,
2020-04-14,7.92,7.92,7.64,7.75,6491477.0,
2020-04-15,7.9,8.12,7.9,7.98,5929071.0,
2020-04-16,7.99,7.99,7.74,7.82,2732739.0,
2020-04-17,7.84,7.97,7.84,7.86,2835520.0,
2020-04-20,7.95,8.08,7.85,8.0,2259530.0,
2020-04-21,8.04,8.04,7.85,7.88,1226405.0,
2020-04-22,7.88,7.88,7.78,7.8,771411.0,
2020-04-23,7.82,8.02,7.82,7.94,2222392.0,
2020-04-24,7.96,7.98,7.78,7.85,2220026.0,
2020-04-27,7.85,7.9,7.65,7.68,1605571.0,
2020-04-28,7.66,7.72,7.61,7.66,1236754.0,
2020-04-29,7.8,7.83,7.61,7.61,1403415.0,
2020-04-30,7.63,7.85,7.63,7.85,1012808.0,
2020-05-04,7.85,7.85,7.7,7.76,1419320.0,
2020-05-05,7.84,7.84,7.65,7.65,1722152.0,
2020-05-06,7.78,7.78,7.65,7.74,1045751.0,
2020-05-07,7.74,7.74,7.65,7.65,1535038.0,
2020-05-08,7.74,7.74,7.6,7.62,1817606.0,
2020-05-11,7.63,7.63,7.6,7.6,1968841.0,
2020-05-12,7.74,7.74,7.6,7.69,419777.0,
2020-05-13,7.72,7.72,7.5,7.55,2815254.0,
2020-05-14,7.52,7.52,7.38,7.4,2420356.0,
2020-05-15,7.4,7.45,7.3,7.3,2897813.0,
2020-05-18,7.3,7.44,7.01,7.01,3848178.0,
2020-05-19,7.58,7.58,7.0,7.05,5268302.0,
2020-05-20,7.12,7.19,7.05,7.06,2226241.0,
2020-05-21,7.06,7.15,7.02,7.05,2492876.0,
2020-05-22,7.05,7.1,6.66,6.68,15868489.0,
2020-05-26,6.75,6.75,6.38,6.38,6220586.0,
2020-05-27,6.38,6.38,6.2,6.25,5243111.0,
2020-05-28,6.48,6.55,6.3,6.43,7257824.0,
2020-05-29,6.55,6.55,6.08,6.08,43219593.0,
2020-06-01,6.39,6.45,6.23,6.43,12729084.0,
2020-06-02,6.59,6.71,6.5,6.6,18929173.0,
2020-06-03,6.65,7.2,6.64,7.19,32219219.0,
2020-06-04,7.45,7.97,7.45,7.82,46305845.0,
2020-06-05,7.92,7.93,7.45,7.65,14777223.0,
2020-06-08,7.81,8.0,7.81,7.9,17915727.0,
2020-06-09,7.99,8.38,7.93,8.08,20862225.0,
2020-06-10,8.08,8.1,7.65,7.67,14896544.0,
2020-06-11,7.65,7.69,7.41,7.68,8337119.0,
2020-06-15,7.68,7.68,7.31,7.35,15509854.0,
2020-06-16,7.49,7.67,7.22,7.4,8109854.0,
2020-06-17,7.38,7.52,7.38,7.4,3457746.0,
2020-06-18,7.6,7.79,7.4,7.75,15872088.0,
2020-06-19,7.83,8.42,7.83,8.2,83410719.0,
2020-06-22,8.4,8.63,8.16,8.33,37472854.0,
2020-06-23,7.85,7.89,7.5,7.78,51058278.0,
2020-06-24,7.85,7.85,7.66,7.73,12357746.0,
2020-06-25,7.68,7.68,7.38,7.38,24836336.0,
2020-06-26,7.38,7.5,7.38,7.43,6621228.0,
2020-06-29,7.38,7.38,7.11,7.14,10929828.0,
2020-06-30,7.17,7.36,7.17,7.34,3007763.0,
2020-07-01,7.37,7.42,7.17,7.21,5728027.0,
2020-07-02,7.23,7.54,7.2,7.54,6070852.0,
2020-07-03,7.6,7.64,7.53,7.54,2638255.0,
2020-07-06,7.55,7.6,7.5,7.53,2444782.0,
2020-07-07,7.53,7.88,7.53,7.88,11447628.0,
2020-07-08,7.9,7.9,7.74,7.8,4640833.0,
2020-07-09,7.8,7.8,7.72,7.79,4060020.0,
2020-07-10,7.78,7.78,7.63,7.71,3952740.0,
2020-07-13,7.75,7.75,7.59,7.59,2845766.0,
2020-07-14,7.63,7.63,7.5,7.5,3217403.0,
2020-07-15,7.42,7.5,7.37,7.37,2206514.0,
2020-07-16,7.33,7.45,7.31,7.45,802802.0,
2020-07-17,7.45,7.45,7.26,7.38,2077890.0,
2020-07-20,7.38,7.41,7.24,7.32,3890191.0,
2020-07-21,7.34,7.4,7.3,7.37,1755631.0,
2020-07-22,7.37,7.44,7.28,7.31,876045.0,
2020-07-23,7.32,7.38,7.25,7.32,2491349.0,
2020-07-24,7.32,7.33,7.26,7.26,1278922.0,
2020-07-27,7.26,7.3,7.14,7.2,6435841.0,
