dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,0.63,0.63,0.63,0.63,1890.0,
2020-03-06,,,,,,
2020-03-09,0.53,0.53,0.53,0.53,5300.0,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,0.52,0.52,0.5,0.5,138340.0,
2020-03-13,,,,,,
2020-03-16,,,,,,
2020-03-19,0.5,0.5,0.5,0.5,2500.0,
2020-03-20,,,,,,
2020-03-23,0.5,0.5,0.5,0.5,44500.0,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,0.5,0.5,0.5,0.5,1500.0,
2020-04-07,0.5,0.5,0.5,0.5,3500.0,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,0.57,0.57,0.57,0.57,1140.0,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,0.57,0.57,0.57,0.57,1710.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,0.53,0.53,0.53,0.53,31800.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,0.465,0.57,0.465,0.57,7245.0,
2020-06-04,,,,,,
2020-06-05,0.57,0.57,0.57,0.57,1140.0,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,0.58,0.58,0.57,0.57,1720.0,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,0.485,0.485,0.485,0.485,485.0,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,0.49,0.49,0.49,0.49,4900.0,
2020-07-13,,,,,,
2020-07-14,0.46,0.46,0.46,0.46,4600.0,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,,,,,,
2020-07-22,0.47,0.47,0.47,0.47,28200.0,
2020-07-23,0.48,0.5,0.48,0.5,29600.0,
2020-07-24,,,,,,
2020-07-27,,,,,,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,0.52,0.75,0.5,0.56,361690.0,
2020-08-03,0.5,0.56,0.485,0.54,29135.0,
2020-08-06,,,,0.56,,14000.0
2020-08-14,,,,0.54,,225000.0
2020-08-24,,,,0.6,,185000.0
2020-08-25,,,,0.66,,29000.0
2020-08-26,,,,0.55,,388000.0
2020-08-27,,,,0.59,,32000.0
2020-08-28,,,,0.59,,74000.0
2020-09-01,,,,0.6,,31000.0
2020-09-02,,,,0.6,,42000.0
2020-09-07,,,,0.58,,19000.0
2020-09-11,,,,0.62,,121000.0
2020-09-14,,,,0.61,,18000.0
2020-09-15,,,,0.6,,5000.0
2020-09-17,,,,0.58,,34000.0
2020-09-18,,,,0.61,,30000.0
2020-09-22,,,,0.59,,39000.0
2020-09-23,,,,0.58,,21000.0
2020-09-24,,,,0.59,,2000.0
2020-09-28,,,,0.58,,2000.0
