dt,open,high,low,close,value,volume
2020-03-02,69.3,72.95,69.3,71.9,7880869.5,
2020-03-03,72.8,72.8,70.3,71.5,19089335.5,
2020-03-04,70.4,72.35,70.4,71.7,19051811.0,
2020-03-05,70.2,71.6,70.2,70.5,21159497.0,
2020-03-06,70.5,71.6,69.7,70.05,5956447.0,
2020-03-09,68.85,68.85,63.05,68.5,18071674.5,
2020-03-10,68.0,68.0,63.4,67.0,18476933.5,
2020-03-11,64.7,70.0,64.7,67.0,6370017.5,
2020-03-12,66.9,66.9,60.0,61.8,8023960.0,
2020-03-13,60.0,65.0,58.0,58.5,18085893.0,
2020-03-16,58.6,58.6,49.0,49.0,7802424.0,
2020-03-19,51.95,51.95,45.0,45.0,21449165.0,
2020-03-20,44.5,49.0,44.5,46.0,26665265.0,
2020-03-23,46.5,47.0,45.95,46.6,35901955.0,
2020-03-24,47.3,48.5,46.6,48.0,40427240.0,
2020-03-25,50.0,50.85,49.0,49.1,3711720.0,
2020-03-26,49.65,53.0,47.5,49.1,12578655.0,
2020-03-27,49.5,53.0,46.5,51.0,26878160.0,
2020-03-30,50.5,50.8,47.0,47.0,14834434.0,
2020-03-31,50.0,50.0,46.5,50.0,19872900.0,
2020-04-01,50.0,51.6,47.7,50.0,19344312.0,
2020-04-02,50.2,50.2,48.0,49.5,15863255.0,
2020-04-03,50.0,50.65,48.55,49.4,15400430.0,
2020-04-06,50.5,50.5,49.5,50.0,10059565.0,
2020-04-07,53.0,56.0,52.9,54.0,20124765.0,
2020-04-08,55.5,55.5,53.8,54.0,15113406.5,
2020-04-13,55.45,58.5,55.0,55.0,22980107.5,
2020-04-14,55.5,58.2,55.5,57.1,19391177.0,
2020-04-15,59.0,61.45,58.1,58.4,31097831.0,
2020-04-16,59.25,60.0,57.65,58.1,27353086.5,
2020-04-17,59.0,59.5,57.5,58.0,38687311.5,
2020-04-20,59.9,59.9,58.0,59.0,35067269.0,
2020-04-21,59.0,59.0,57.75,58.0,37196341.5,
2020-04-22,59.2,59.2,55.0,59.0,9682857.0,
2020-04-23,59.3,59.5,58.0,58.4,17049970.5,
2020-04-24,59.0,59.0,57.0,57.7,19860791.0,
2020-04-27,58.3,58.3,57.5,57.75,18854730.5,
2020-04-28,58.0,58.5,57.55,58.4,112423192.5,
2020-04-29,59.9,60.0,58.7,59.0,9080146.5,
2020-04-30,59.05,61.0,58.95,59.0,11261932.5,
2020-05-04,58.9,59.0,57.6,59.0,20619578.5,
2020-05-05,59.0,59.0,57.95,58.0,42546390.5,
2020-05-06,57.95,59.15,57.95,58.8,5159842.0,
2020-05-07,58.9,58.9,58.2,58.55,7378866.5,
2020-05-08,58.95,59.0,58.0,59.0,11320273.5,
2020-05-11,59.5,64.5,59.15,64.0,13074441.5,
2020-05-12,64.9,65.0,62.0,63.2,17461783.5,
2020-05-13,64.0,64.0,61.95,63.5,4671624.5,
2020-05-14,63.5,63.5,61.5,61.5,6985266.5,
2020-05-15,62.9,62.9,60.05,60.5,7031962.0,
2020-05-18,62.0,62.05,60.0,60.0,35659252.0,
2020-05-19,61.0,62.0,60.95,62.0,39728004.0,
2020-05-20,62.0,64.0,60.95,63.0,58343085.5,
2020-05-21,62.5,63.5,62.05,62.15,16644484.0,
2020-05-22,63.5,63.5,62.0,62.0,99212384.5,
2020-05-26,62.0,64.0,60.8,61.35,26912894.0,
2020-05-27,61.35,61.85,61.35,61.75,16423131.5,
2020-05-28,62.0,63.8,61.8,62.95,1861161.0,
2020-05-29,62.95,64.75,62.8,63.9,17783341.5,
2020-06-01,63.9,64.65,63.2,64.5,2595990.5,
2020-06-02,64.0,64.7,63.2,64.65,5005558.0,
2020-06-03,64.65,67.7,64.65,67.7,7428919.0,
2020-06-04,67.8,71.5,67.8,71.5,9982701.5,
2020-06-05,71.5,71.5,70.0,70.0,21062915.5,
2020-06-08,70.1,73.0,70.05,73.0,6455192.5,
2020-06-09,73.0,73.0,70.15,72.1,4700930.0,
2020-06-10,72.5,72.5,70.0,70.0,140869328.5,
2020-06-11,70.0,70.0,67.0,70.0,3575509.0,
2020-06-15,69.8,70.0,67.25,70.0,23061515.0,
2020-06-16,70.5,72.4,69.0,69.65,72685196.5,
2020-06-17,69.95,69.95,68.5,68.8,5726238.0,
2020-06-18,68.8,68.9,68.0,68.3,3567809.5,
2020-06-19,67.85,68.0,67.0,67.0,15928765.0,
2020-06-22,67.0,68.65,66.2,68.0,3642951.0,
2020-06-23,68.0,68.85,68.0,68.15,3995517.5,
2020-06-24,68.5,68.8,67.25,68.5,5308076.0,
2020-06-25,68.5,68.5,67.05,68.5,3666983.0,
2020-06-26,67.2,68.5,67.2,68.5,25336455.0,
2020-06-29,68.5,68.5,67.0,68.5,5850318.5,
2020-06-30,68.5,69.45,68.0,69.45,5641518.5,
2020-07-01,69.45,69.5,68.2,69.5,22883193.5,
2020-07-02,69.5,70.0,69.0,70.0,2869296.5,
2020-07-03,70.0,71.0,69.5,70.5,3081617.0,
2020-07-06,70.5,70.5,70.0,70.5,3036298.5,
2020-07-07,70.5,70.5,67.1,70.0,18497077.0,
2020-07-08,69.7,69.9,69.45,69.8,850751.0,
2020-07-09,70.0,70.0,69.8,69.8,18571252.5,
2020-07-10,69.0,70.2,68.8,69.1,18449994.5,
2020-07-13,69.5,69.5,68.9,69.0,6107986.5,
2020-07-14,68.7,69.4,67.1,68.05,18040895.5,
2020-07-15,67.1,68.05,65.05,65.05,18216959.0,
2020-07-16,65.05,66.35,64.6,66.0,17472835.5,
2020-07-17,64.75,67.75,64.2,65.15,17232132.5,
2020-07-20,64.0,65.95,63.05,65.0,16991183.0,
2020-07-21,64.5,65.0,63.45,64.8,17203973.0,
2020-07-22,64.8,65.0,63.6,64.0,4835621.0,
2020-07-23,63.7,65.0,63.6,64.0,17041501.0,
2020-07-24,64.0,65.0,64.0,64.0,6253575.5,
2020-07-27,64.0,64.45,63.25,63.95,16978950.0,
2020-07-28,63.05,63.95,63.05,63.95,4393258.5,
2020-07-29,63.05,64.25,62.55,64.25,6515168.0,
2020-07-30,65.0,65.0,64.25,64.5,1222301.0,
2020-08-03,64.0,64.0,62.25,63.0,9624481.5,
2020-08-04,,,,62.55,,195510.0
2020-08-05,,,,62.9,,93360.0
2020-08-06,,,,63.2,,86290.0
2020-08-07,,,,63.2,,151560.0
2020-08-10,,,,64.6,,75380.0
2020-08-11,,,,65.0,,24120.0
2020-08-12,,,,65.0,,88990.0
2020-08-13,,,,64.6,,654660.0
2020-08-14,,,,68.0,,275660.0
2020-08-17,,,,68.0,,266000.0
2020-08-18,,,,67.5,,266000.0
2020-08-19,,,,67.8,,266030.0
2020-08-20,,,,67.4,,266000.0
2020-08-24,,,,67.35,,266200.0
2020-08-25,,,,67.0,,266050.0
2020-08-26,,,,67.4,,266510.0
2020-08-27,,,,67.5,,269960.0
2020-08-28,,,,68.5,,266070.0
2020-09-01,,,,68.0,,170490.0
2020-09-02,,,,66.0,,38900.0
2020-09-03,,,,66.0,,31360.0
2020-09-04,,,,66.5,,36510.0
2020-09-07,,,,65.1,,54940.0
2020-09-08,,,,64.95,,63970.0
2020-09-09,,,,64.3,,56380.0
2020-09-10,,,,64.05,,66940.0
2020-09-11,,,,64.2,,35880.0
2020-09-14,,,,64.15,,51320.0
2020-09-15,,,,64.5,,103430.0
2020-09-16,,,,64.5,,22720.0
2020-09-17,,,,64.25,,43330.0
2020-09-18,,,,64.0,,240000.0
2020-09-21,,,,63.5,,84640.0
2020-09-22,,,,63.5,,5640.0
2020-09-23,,,,63.9,,46370.0
2020-09-24,,,,63.7,,6690.0
2020-09-25,,,,63.5,,72150.0
2020-09-28,,,,64.55,,4640.0
