dt,open,high,low,close,value,volume
2020-03-02,12.0,12.7,12.0,12.64,99372.0,
2020-03-03,12.0,12.0,11.98,11.98,404398.0,
2020-03-04,11.98,11.98,11.64,11.64,216888.0,
2020-03-05,,,,,,
2020-03-06,11.64,11.64,11.64,11.64,1164.0,
2020-03-09,,,,,,
2020-03-10,11.6,11.6,11.6,11.6,58000.0,
2020-03-11,11.58,11.6,11.5,11.5,117032.0,
2020-03-12,11.0,11.0,11.0,11.0,33000.0,
2020-03-13,9.5,10.0,9.5,10.0,462857.0,
2020-03-16,9.99,9.99,8.5,8.5,266216.0,
2020-03-19,8.5,9.2,6.9,7.5,341200.0,
2020-03-20,7.5,7.6,7.5,7.6,259000.0,
2020-03-23,7.22,7.25,6.5,6.7,478095.0,
2020-03-24,6.6,7.0,6.6,6.72,84152.0,
2020-03-25,7.0,7.8,7.0,7.78,141640.0,
2020-03-26,7.76,9.86,7.76,9.0,74078.0,
2020-03-27,8.55,9.0,8.55,8.99,1166839.0,
2020-03-30,9.0,9.0,8.0,8.4,138840.0,
2020-03-31,8.4,8.4,8.4,8.4,1680.0,
2020-04-01,8.4,9.4,8.0,9.4,167218.0,
2020-04-02,,,,,,
2020-04-03,9.3,9.4,9.3,9.4,1870.0,
2020-04-06,8.5,8.5,8.5,8.5,117300.0,
2020-04-07,9.0,9.5,8.3,8.5,46110.0,
2020-04-08,8.5,8.5,8.5,8.5,73100.0,
2020-04-13,8.4,8.5,8.4,8.5,13450.0,
2020-04-14,9.0,9.0,8.4,8.9,137546.0,
2020-04-15,9.0,9.0,8.45,8.45,71390.0,
2020-04-16,8.6,8.6,8.5,8.6,58017.0,
2020-04-17,8.6,9.35,8.01,9.35,191018.0,
2020-04-20,9.2,9.2,9.0,9.0,100920.0,
2020-04-21,9.0,9.0,8.7,9.0,33180.0,
2020-04-22,8.62,8.62,8.5,8.5,523670.0,
2020-04-23,8.04,8.6,8.04,8.6,5048.0,
2020-04-24,,,,,,
2020-04-27,8.59,8.59,8.1,8.1,10677.0,
2020-04-28,8.5,8.5,8.5,8.5,9350.0,
2020-04-29,,,,,,
2020-04-30,8.6,8.6,8.26,8.6,92512.0,
2020-05-04,8.5,8.5,8.5,8.5,3408500.0,
2020-05-05,8.4,8.4,8.4,8.4,124320.0,
2020-05-06,8.3,8.3,8.16,8.2,5744.0,
2020-05-07,8.16,8.6,8.16,8.5,1654194.0,
2020-05-08,8.17,8.17,8.17,8.17,4902.0,
2020-05-11,8.5,8.5,8.3,8.3,213040.0,
2020-05-12,,,,,,
2020-05-13,8.2,8.2,8.2,8.2,8200.0,
2020-05-14,8.21,8.3,8.21,8.23,42862.0,
2020-05-15,8.23,8.23,8.22,8.22,112723.0,
2020-05-18,8.22,8.22,8.21,8.21,26283.0,
2020-05-19,8.14,8.2,8.14,8.2,61432.0,
2020-05-20,8.15,8.2,8.0,8.02,313985.0,
2020-05-21,,,,,,
2020-05-22,8.0,8.0,8.0,8.0,80000.0,
2020-05-26,8.15,8.15,8.0,8.1,16205.0,
2020-05-27,,,,,,
2020-05-28,8.1,8.5,7.7,8.49,1076118.0,
2020-05-29,,,,,,
