dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,3.1,3.7,3.08,3.7,65540.0,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,3.69,3.69,3.05,3.38,119690.0,
2020-03-10,3.06,3.36,3.04,3.36,43000.0,
2020-03-11,3.36,3.36,3.36,3.36,3360.0,
2020-03-12,3.36,3.36,3.03,3.33,135350.0,
2020-03-13,3.01,3.25,2.89,3.25,298410.0,
2020-03-16,,,,,,
2020-03-19,2.9,3.3,2.5,3.3,33250.0,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,3.2,3.2,3.2,3.2,6400.0,
2020-03-25,2.61,3.19,2.61,3.19,5800.0,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,2.51,3.18,2.5,3.18,16890.0,
2020-03-31,2.69,3.13,2.69,3.13,14410.0,
2020-04-01,2.65,2.85,2.6,2.82,1098980.0,
2020-04-02,2.8,2.81,2.69,2.81,60790.0,
2020-04-03,2.65,2.8,2.65,2.71,122750.0,
2020-04-06,,,,,,
2020-04-07,2.66,2.67,2.5,2.67,379980.0,
2020-04-08,2.68,2.68,2.5,2.59,46250.0,
2020-04-13,2.89,2.89,2.75,2.81,16800.0,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,2.78,2.78,2.69,2.69,59620.0,
2020-04-17,2.52,3.2,2.52,3.15,196570.0,
2020-04-20,3.12,3.12,3.1,3.1,37240.0,
2020-04-21,3.07,3.08,2.8,3.08,71090.0,
2020-04-22,,,,,,
2020-04-23,2.9,3.06,2.8,2.99,152220.0,
2020-04-24,2.84,2.84,2.84,2.84,17040.0,
2020-04-27,2.83,2.98,2.72,2.97,101640.0,
2020-04-28,,,,,,
2020-04-29,2.72,2.94,2.7,2.74,307270.0,
2020-04-30,2.74,2.74,2.73,2.73,87480.0,
2020-05-04,2.79,2.79,2.7,2.72,170740.0,
2020-05-05,2.6,2.71,2.6,2.7,129470.0,
2020-05-06,2.6,2.6,2.6,2.6,18200.0,
2020-05-07,2.6,2.6,2.6,2.6,7800.0,
2020-05-08,2.62,2.62,2.53,2.53,203570.0,
2020-05-11,2.53,2.53,2.51,2.51,45480.0,
2020-05-12,2.53,2.53,2.53,2.53,25300.0,
2020-05-13,2.67,2.67,2.64,2.64,13260.0,
2020-05-14,2.6,2.6,2.6,2.6,10400.0,
2020-05-15,2.53,2.53,2.53,2.53,20240.0,
2020-05-18,2.51,2.51,2.5,2.5,337750.0,
2020-05-19,2.79,2.79,2.31,2.31,40170.0,
2020-05-20,,,,,,
2020-05-21,2.45,2.45,2.45,2.45,2450.0,
2020-05-22,2.4,2.4,2.39,2.39,26330.0,
2020-05-26,2.49,2.49,2.3,2.3,53880.0,
2020-05-27,2.4,2.4,2.32,2.32,67760.0,
2020-05-28,,,,,,
2020-05-29,2.33,2.33,2.32,2.32,4650.0,
2020-06-01,2.31,2.31,2.3,2.3,140380.0,
2020-06-02,2.35,2.35,2.35,2.35,44650.0,
2020-06-03,2.35,2.35,2.35,2.35,9400.0,
2020-06-04,2.52,2.95,2.33,2.71,142240.0,
2020-06-05,2.45,2.69,2.44,2.69,46000.0,
2020-06-08,2.47,2.68,2.47,2.68,81020.0,
2020-06-09,2.85,2.85,2.7,2.7,47560.0,
2020-06-10,2.7,2.7,2.41,2.6,436820.0,
2020-06-11,2.62,2.62,2.62,2.62,39300.0,
2020-06-15,2.5,2.8,2.4,2.8,109700.0,
2020-06-16,2.72,2.72,2.72,2.72,5440.0,
2020-06-17,,,,,,
2020-06-18,2.4,2.49,2.4,2.49,111490.0,
2020-06-19,2.59,2.59,2.49,2.54,45740.0,
2020-06-22,2.46,2.52,2.4,2.52,148790.0,
2020-06-23,2.5,2.59,2.5,2.53,80580.0,
2020-06-24,2.53,2.53,2.53,2.53,20240.0,
2020-06-25,2.58,2.58,2.58,2.58,30960.0,
2020-06-26,2.58,2.58,2.58,2.58,25800.0,
2020-06-29,2.69,2.82,2.69,2.8,246100.0,
2020-06-30,2.8,2.8,2.51,2.55,28860.0,
2020-07-01,2.51,2.55,2.4,2.55,164770.0,
2020-07-02,2.5,2.55,2.45,2.45,141020.0,
2020-07-03,2.54,2.54,2.54,2.54,10160.0,
2020-07-06,2.45,2.45,2.43,2.45,19580.0,
2020-07-07,2.47,2.47,2.46,2.47,34520.0,
2020-07-08,2.46,2.46,2.45,2.45,12280.0,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,2.43,2.43,2.43,2.43,9720.0,
2020-07-14,2.43,2.43,2.41,2.41,48430.0,
2020-07-15,2.42,2.42,2.42,2.42,9680.0,
2020-07-16,2.43,2.43,2.4,2.4,74600.0,
2020-07-17,2.53,2.53,2.53,2.53,7590.0,
2020-07-20,2.5,2.5,2.42,2.42,14840.0,
2020-07-21,2.42,2.55,2.42,2.55,422130.0,
2020-07-22,2.55,2.55,2.55,2.55,99450.0,
2020-07-23,2.42,2.47,2.4,2.47,223990.0,
2020-07-24,2.32,2.43,2.3,2.43,148470.0,
2020-07-27,2.39,2.39,2.39,2.39,2390.0,
2020-07-28,2.31,2.31,2.3,2.31,101410.0,
2020-07-29,2.32,2.37,2.32,2.37,37220.0,
2020-07-30,,,,,,
2020-08-03,2.38,2.4,2.38,2.39,28680.0,
2020-08-04,,,,2.55,,422000.0
2020-08-05,,,,2.65,,37000.0
2020-08-06,,,,2.62,,194000.0
2020-08-07,,,,2.86,,497000.0
2020-08-10,,,,2.84,,138000.0
2020-08-11,,,,2.98,,368000.0
2020-08-12,,,,2.81,,228000.0
2020-08-13,,,,2.78,,242000.0
2020-08-14,,,,2.78,,27000.0
2020-08-17,,,,2.62,,33000.0
2020-08-18,,,,2.84,,5000.0
2020-08-19,,,,2.7,,63000.0
2020-08-20,,,,2.69,,103000.0
2020-08-24,,,,2.54,,13000.0
2020-08-25,,,,2.55,,61000.0
2020-08-26,,,,2.55,,15000.0
2020-08-27,,,,2.58,,3000.0
2020-08-28,,,,2.78,,8000.0
2020-09-01,,,,2.75,,343000.0
2020-09-02,,,,2.79,,78000.0
2020-09-03,,,,2.7,,323000.0
2020-09-07,,,,2.65,,3000.0
2020-09-08,,,,2.65,,1000.0
2020-09-09,,,,2.65,,9000.0
2020-09-10,,,,2.65,,310000.0
2020-09-11,,,,2.8,,68000.0
2020-09-14,,,,2.85,,33000.0
2020-09-15,,,,2.81,,31000.0
2020-09-16,,,,2.8,,115000.0
2020-09-17,,,,2.81,,3000.0
2020-09-18,,,,2.9,,46000.0
2020-09-21,,,,3.14,,467000.0
2020-09-22,,,,3.14,,34000.0
2020-09-23,,,,2.99,,57000.0
2020-09-24,,,,3.05,,43000.0
2020-09-25,,,,3.04,,25000.0
2020-09-28,,,,3.14,,31000.0
