dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,800.5,800.5,800.0,800.0,1008070.0,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,805.0,805.0,800.0,800.0,192215.0,
2020-03-10,815.0,815.0,815.0,815.0,1100250.0,
2020-03-11,829.0,829.0,829.0,829.0,8290.0,
2020-03-12,,,,,,
2020-03-13,830.0,830.0,830.0,830.0,8300.0,
2020-03-16,800.5,800.5,800.5,800.5,456285.0,
2020-03-19,800.5,800.5,800.5,800.5,8005.0,
2020-03-20,800.5,800.5,800.0,800.0,160055.0,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,830.0,830.0,830.0,830.0,8300.0,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,830.0,830.0,830.0,830.0,24900.0,
2020-04-15,,,,,,
2020-04-16,830.0,830.0,830.0,830.0,8300.0,
2020-04-17,830.0,830.0,830.0,830.0,16600.0,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,845.0,845.0,845.0,845.0,312650.0,
2020-06-05,850.0,900.0,840.0,880.0,154610.0,
2020-06-08,898.0,900.0,898.0,900.0,125970.0,
2020-06-09,900.5,950.0,900.5,949.0,411365.0,
2020-06-10,913.0,998.5,913.0,998.5,595100.0,
2020-06-11,1010.0,1010.0,995.0,995.0,259240.0,
2020-06-15,965.0,965.0,801.0,801.0,351930.0,
2020-06-16,800.0,879.0,752.0,850.0,320265.0,
2020-06-17,,,,,,
2020-06-18,801.5,801.5,800.0,800.0,40045.0,
2020-06-19,840.0,840.0,800.0,800.0,136485.0,
2020-06-22,,,,,,
2020-06-23,750.5,801.0,750.5,770.0,23215.0,
2020-06-24,776.0,776.0,776.0,776.0,380240.0,
2020-06-25,775.0,775.0,770.0,770.0,23200.0,
2020-06-26,777.0,777.0,777.0,777.0,7770.0,
2020-06-29,770.5,771.0,770.5,771.0,15415.0,
2020-06-30,,,,,,
2020-07-01,770.0,770.0,750.0,750.0,114905.0,
2020-07-02,700.0,700.0,700.0,700.0,42000.0,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,,,,,,
2020-07-14,700.0,700.0,700.0,700.0,14000.0,
2020-07-15,550.0,629.0,550.0,629.0,203800.0,
2020-07-16,619.0,619.0,615.0,615.0,18490.0,
2020-07-17,590.0,590.0,588.5,589.5,58910.0,
2020-07-20,588.0,600.0,588.0,600.0,17775.0,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,600.0,600.0,600.0,600.0,6000.0,
2020-07-24,590.0,590.0,590.0,590.0,5900.0,
2020-07-27,600.0,600.0,600.0,600.0,11586000.0,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,605.0,605.0,605.0,605.0,6050.0,
2020-08-10,,,,605.0,,30.0
2020-08-11,,,,602.5,,150.0
2020-08-12,,,,560.5,,20.0
2020-08-13,,,,599.5,,30.0
2020-08-14,,,,565.0,,50.0
2020-08-17,,,,598.5,,50.0
2020-08-18,,,,570.0,,310.0
2020-08-19,,,,566.0,,340.0
2020-08-20,,,,580.0,,30.0
2020-08-24,,,,589.5,,40.0
2020-08-27,,,,560.0,,300.0
2020-08-28,,,,575.0,,110.0
2020-09-01,,,,555.0,,90.0
2020-09-02,,,,550.0,,360.0
2020-09-09,,,,560.0,,160.0
2020-09-14,,,,528.0,,30.0
2020-09-18,,,,550.0,,10.0
2020-09-24,,,,560.0,,50.0
2020-09-25,,,,555.0,,20.0
