dt,open,high,low,close,value,volume
2020-03-02,18.34,18.34,17.4,17.66,51441412.0,
2020-03-03,18.0,18.0,17.68,17.8,36636034.0,
2020-03-04,17.76,17.76,17.1,17.1,71826148.0,
2020-03-05,17.5,17.5,16.36,16.44,73635212.0,
2020-03-06,16.36,16.44,14.8,14.8,112201422.0,
2020-03-09,14.78,15.32,14.3,14.8,85428998.0,
2020-03-10,14.8,15.88,14.5,15.7,44197334.0,
2020-03-11,15.92,16.7,15.92,16.3,69135972.0,
2020-03-12,16.0,16.0,14.5,15.16,44430662.0,
2020-03-13,14.26,16.36,14.0,15.9,32541524.0,
2020-03-16,15.86,16.0,15.1,15.9,17699096.0,
2020-03-19,15.2,15.6,14.3,14.3,63936986.0,
2020-03-20,15.0,15.0,14.52,14.76,99842954.0,
2020-03-23,14.7,14.98,14.4,14.7,28286226.0,
2020-03-24,15.0,15.38,14.74,15.32,49594814.0,
2020-03-25,15.92,16.1,15.92,16.08,132281988.0,
2020-03-26,16.2,16.98,16.18,16.9,27938128.0,
2020-03-27,16.94,17.34,16.5,17.02,59794728.0,
2020-03-30,17.04,17.04,15.92,16.0,32362796.0,
2020-03-31,16.02,16.5,15.88,16.5,43714514.0,
2020-04-01,16.6,17.18,16.54,17.14,41248296.0,
2020-04-02,17.0,17.1,16.9,17.02,42056970.0,
2020-04-03,17.04,17.16,16.0,17.16,6167060.0,
2020-04-06,17.18,18.16,17.18,18.16,20469520.0,
2020-04-07,18.3,18.98,17.6,17.6,21926802.0,
2020-04-08,17.88,17.88,16.82,17.3,16661800.0,
2020-04-13,17.3,17.9,17.06,17.9,13866120.0,
2020-04-14,17.9,18.5,17.6,18.5,23425252.0,
2020-04-15,18.7,18.86,18.0,18.66,44855034.0,
2020-04-16,18.66,18.66,17.7,17.7,32172066.0,
2020-04-17,18.0,18.18,17.54,17.78,49167770.0,
2020-04-20,17.96,18.44,17.78,18.06,27722762.0,
2020-04-21,18.04,18.18,17.74,18.0,37467384.0,
2020-04-22,18.0,18.16,17.8,18.16,15952108.0,
2020-04-23,18.0,18.6,18.0,18.56,14190444.0,
2020-04-24,18.56,18.66,18.24,18.48,53643628.0,
2020-04-27,18.5,18.6,18.2,18.58,10496334.0,
2020-04-28,18.64,18.68,18.2,18.5,15338398.0,
2020-04-29,18.64,18.64,18.4,18.58,15062506.0,
2020-04-30,18.54,19.0,18.44,19.0,13945306.0,
2020-05-04,18.96,18.96,18.5,18.74,13549866.0,
2020-05-05,18.9,18.9,18.44,18.62,10922088.0,
2020-05-06,18.62,18.9,18.5,18.8,11142492.0,
2020-05-07,18.8,18.94,18.5,18.58,10558632.0,
2020-05-08,18.6,18.8,18.32,18.48,3762644.0,
2020-05-11,18.6,18.8,18.38,18.4,2710994.0,
2020-05-12,18.5,18.5,18.32,18.32,6306492.0,
2020-05-13,18.32,18.48,17.8,17.8,9604136.0,
2020-05-14,17.78,18.26,17.76,18.26,13998782.0,
2020-05-15,18.28,18.28,18.0,18.04,4741260.0,
2020-05-18,18.28,18.28,17.9,18.14,6904510.0,
2020-05-19,18.24,18.24,17.98,18.02,10410494.0,
2020-05-20,18.1,18.1,18.0,18.0,10938612.0,
2020-05-21,18.02,18.02,17.56,17.68,20474972.0,
2020-05-22,17.7,17.86,17.68,17.74,2781112.0,
2020-05-26,,,,,,
2020-05-27,21.5,21.5,20.0,20.25,156355470.0,
2020-05-28,20.25,20.5,20.1,20.15,91264065.0,
2020-05-29,20.3,20.6,20.2,20.4,73976705.0,
2020-06-01,20.5,20.95,20.45,20.6,49011415.0,
2020-06-02,20.7,21.0,20.55,20.55,31107155.0,
2020-06-03,20.65,20.7,20.55,20.65,20657715.0,
2020-06-04,20.55,20.85,20.45,20.45,61290135.0,
2020-06-05,20.5,21.1,20.5,20.75,57320520.0,
2020-06-08,20.85,21.3,20.8,21.0,59130490.0,
2020-06-09,21.0,21.3,21.0,21.3,65759820.0,
2020-06-10,21.3,21.35,21.0,21.0,32860695.0,
2020-06-11,20.9,21.3,20.8,21.3,13581390.0,
2020-06-15,21.3,21.35,20.8,20.8,36341455.0,
2020-06-16,20.8,21.0,20.6,20.6,70300755.0,
2020-06-17,21.0,21.0,20.55,20.75,35137375.0,
2020-06-18,20.95,21.2,20.8,21.1,10995365.0,
2020-06-19,21.25,21.25,20.5,20.5,66350890.0,
2020-06-22,20.5,20.9,20.5,20.9,14562365.0,
2020-06-23,20.55,21.95,20.55,21.25,24548330.0,
2020-06-24,22.0,22.0,20.9,21.5,13528275.0,
2020-06-25,21.5,22.5,21.5,22.4,24525390.0,
2020-06-26,22.45,23.75,22.35,22.5,41931795.0,
2020-06-29,22.7,23.0,22.1,22.9,39061730.0,
2020-06-30,23.0,25.95,22.95,24.5,85555115.0,
2020-07-01,25.0,25.45,24.8,25.0,80064865.0,
2020-07-02,25.05,27.1,24.95,27.0,176413430.0,
2020-07-03,26.9,28.0,26.4,26.85,82067720.0,
2020-07-06,26.65,26.65,25.1,25.7,54645710.0,
2020-07-07,25.65,25.65,24.25,24.25,89513940.0,
2020-07-08,24.25,25.25,23.8,24.3,42617580.0,
2020-07-09,24.25,25.0,23.8,24.0,32883505.0,
2020-07-10,24.5,25.2,24.25,24.95,55868635.0,
2020-07-13,24.95,24.95,23.45,23.7,80644840.0,
2020-07-14,24.2,24.5,22.5,22.9,55191430.0,
2020-07-15,22.7,22.75,22.1,22.3,46643115.0,
2020-07-16,22.3,23.7,22.3,23.7,15505460.0,
2020-07-17,23.9,24.15,23.1,24.15,23433165.0,
2020-07-20,24.2,24.35,23.9,24.0,104743650.0,
2020-07-21,24.0,24.2,23.8,24.15,29159055.0,
2020-07-22,24.15,24.15,23.5,23.6,6130085.0,
2020-07-23,23.6,23.9,23.45,23.9,12403905.0,
2020-07-24,23.9,23.95,23.5,23.85,30330030.0,
2020-07-27,23.85,23.95,23.55,23.95,7650740.0,
2020-07-28,23.95,24.75,23.55,24.55,26083425.0,
2020-07-29,24.8,26.0,24.7,26.0,30582595.0,
2020-07-30,26.0,26.95,25.5,26.95,34379265.0,
2020-08-03,26.4,26.85,24.6,26.7,55347635.0,
2020-08-04,,,,26.8,,1535500.0
2020-08-05,,,,26.7,,451400.0
2020-08-06,,,,26.7,,458000.0
2020-08-07,,,,27.0,,762000.0
2020-08-10,,,,26.0,,431100.0
2020-08-11,,,,24.7,,712500.0
2020-08-12,,,,24.6,,180300.0
2020-08-13,,,,23.5,,2284900.0
2020-08-14,,,,22.6,,14416700.0
2020-08-17,,,,23.5,,4340600.0
2020-08-18,,,,23.85,,1918700.0
2020-08-19,,,,23.8,,2678400.0
2020-08-20,,,,23.3,,534800.0
2020-08-24,,,,23.65,,888700.0
2020-08-25,,,,23.7,,511800.0
2020-08-26,,,,24.1,,464200.0
2020-08-27,,,,24.35,,793600.0
2020-08-28,,,,24.35,,2865000.0
2020-09-01,,,,24.2,,503000.0
2020-09-02,,,,24.3,,718800.0
2020-09-03,,,,24.7,,1518400.0
2020-09-04,,,,23.8,,1268700.0
2020-09-07,,,,24.6,,334100.0
2020-09-08,,,,25.65,,717800.0
2020-09-09,,,,25.5,,284700.0
2020-09-10,,,,25.0,,1990600.0
2020-09-11,,,,25.1,,2221000.0
2020-09-14,,,,25.05,,376000.0
2020-09-15,,,,25.3,,3699200.0
2020-09-16,,,,24.9,,272300.0
2020-09-17,,,,24.8,,274000.0
2020-09-18,,,,24.65,,997100.0
2020-09-21,,,,24.0,,1375400.0
2020-09-22,,,,25.0,,199400.0
2020-09-23,,,,24.8,,968200.0
2020-09-24,,,,23.95,,1846400.0
2020-09-25,,,,23.6,,2422500.0
2020-09-28,,,,23.75,,1721000.0
