dt,open,high,low,close,value,volume
2020-03-02,1.23,1.24,1.21,1.24,11209650.0,
2020-03-03,1.25,1.27,1.21,1.25,9645410.0,
2020-03-04,1.25,1.27,1.23,1.27,12454700.0,
2020-03-05,1.28,1.28,1.25,1.25,5010790.0,
2020-03-06,1.26,1.27,1.19,1.2,28060290.0,
2020-03-09,1.2,1.2,1.1,1.12,18406260.0,
2020-03-10,1.08,1.11,1.0,1.07,26480800.0,
2020-03-11,1.08,1.12,1.05,1.07,13547880.0,
2020-03-12,1.04,1.05,0.95,0.99,35445370.0,
2020-03-13,0.92,1.03,0.8,0.96,20443440.0,
2020-03-16,0.95,1.0,0.91,0.97,13378710.0,
2020-03-19,0.93,0.94,0.83,0.83,11024740.0,
2020-03-20,0.83,0.88,0.82,0.82,11828290.0,
2020-03-23,0.82,0.82,0.77,0.77,7963500.0,
2020-03-24,0.81,0.81,0.78,0.8,9205840.0,
2020-03-25,0.84,0.87,0.82,0.86,10789960.0,
2020-03-26,0.87,0.92,0.86,0.91,16021190.0,
2020-03-27,0.91,0.96,0.88,0.91,18921590.0,
2020-03-30,0.92,0.93,0.86,0.92,19699550.0,
2020-03-31,0.93,0.95,0.91,0.91,9237100.0,
2020-04-01,0.92,0.94,0.9,0.91,8529710.0,
2020-04-02,0.92,0.92,0.89,0.9,8727490.0,
2020-04-03,0.9,0.93,0.9,0.91,3769960.0,
2020-04-06,0.91,0.94,0.9,0.93,10620170.0,
2020-04-07,0.94,0.96,0.93,0.94,27244640.0,
2020-04-08,0.94,0.96,0.9,0.91,18469020.0,
2020-04-13,0.91,0.92,0.9,0.91,7626780.0,
2020-04-14,0.91,0.97,0.91,0.95,21442370.0,
2020-04-15,0.97,1.0,0.97,0.98,12723930.0,
2020-04-16,0.99,0.99,0.94,0.95,12778490.0,
2020-04-17,0.95,0.97,0.94,0.96,11365340.0,
2020-04-20,0.96,0.97,0.93,0.93,14110390.0,
2020-04-21,0.94,0.94,0.91,0.92,7744110.0,
2020-04-22,0.92,0.93,0.9,0.91,5811540.0,
2020-04-23,0.93,0.94,0.92,0.94,2077880.0,
2020-04-24,0.94,0.94,0.9,0.9,9133200.0,
2020-04-27,0.91,0.93,0.9,0.93,5086700.0,
2020-04-28,0.93,0.94,0.92,0.92,1817670.0,
2020-04-29,0.93,0.96,0.92,0.95,5233410.0,
2020-04-30,0.96,0.97,0.94,0.95,6836350.0,
2020-05-04,0.94,0.96,0.93,0.94,7384420.0,
2020-05-05,0.95,0.95,0.94,0.95,5353700.0,
2020-05-06,0.95,0.97,0.94,0.96,6972430.0,
2020-05-07,0.96,0.96,0.94,0.96,2048900.0,
