dt,open,high,low,close,value,volume
2020-03-02,103.1,103.9,102.3,103.0,3622957.0,
2020-03-03,104.0,105.0,103.8,103.8,8484884.0,
2020-03-04,103.4,103.5,102.3,103.2,4719462.0,
2020-03-05,104.8,105.2,104.6,104.8,1387072.0,
2020-03-06,104.8,104.8,102.2,102.2,3213879.0,
2020-03-09,102.0,102.0,90.0,95.6,19457895.0,
2020-03-10,94.85,97.5,92.85,96.35,6139916.0,
2020-03-11,96.35,98.7,96.15,96.15,15364941.0,
2020-03-12,96.0,96.0,87.75,87.8,25998776.0,
2020-03-13,84.0,92.0,78.5,91.05,18330685.5,
2020-03-16,84.9,89.0,82.5,85.05,20300506.5,
2020-03-19,76.0,80.3,65.5,71.2,35889483.5,
2020-03-20,74.95,77.95,73.0,73.5,3949692.5,
2020-03-23,72.0,73.0,70.0,71.75,5213506.0,
2020-03-24,73.65,75.0,73.0,73.0,2489842.5,
2020-03-25,77.5,79.0,76.5,77.0,2906851.0,
2020-03-26,79.0,82.5,78.6,81.5,2322632.5,
2020-03-27,83.1,86.5,81.6,81.6,43830965.5,
2020-03-30,80.0,80.0,77.3,77.3,4557205.0,
2020-03-31,79.45,82.4,76.9,81.0,4136003.0,
2020-04-01,81.45,82.0,80.5,81.8,3427934.5,
2020-04-02,80.0,80.5,79.9,80.5,4150969.0,
2020-04-03,80.6,81.75,80.0,80.95,869883.0,
2020-04-06,81.0,85.0,81.0,85.0,2305322.5,
2020-04-07,87.9,89.0,86.25,86.25,3859208.5,
2020-04-08,86.25,86.25,84.5,84.5,3084263.0,
2020-04-13,85.2,85.75,84.5,85.3,2380051.5,
2020-04-14,86.0,88.5,86.0,87.9,2641479.0,
2020-04-15,89.0,91.0,89.0,89.9,5550739.5,
2020-04-16,89.9,89.9,85.0,87.45,3485303.5,
2020-04-17,87.45,88.5,87.0,87.5,2213127.0,
2020-04-20,87.6,89.0,86.3,86.3,2883444.5,
2020-04-21,86.0,86.5,85.0,85.0,1819990.5,
2020-04-22,84.95,84.95,83.1,84.7,1626080.0,
2020-04-23,86.0,87.0,85.5,85.5,1263001.5,
2020-04-24,86.0,86.0,83.5,83.5,2344917.5,
2020-04-27,83.5,84.4,82.75,82.8,1782942.0,
2020-04-28,83.0,84.95,82.9,84.4,1466472.0,
2020-04-29,85.05,86.75,84.5,86.25,938225.5,
2020-04-30,86.25,88.0,86.25,86.6,1534671.5,
2020-05-04,86.25,86.25,84.0,84.0,3250406.5,
2020-05-05,85.5,87.25,85.5,86.0,1590814.5,
2020-05-06,87.25,87.4,86.0,86.2,932018.5,
2020-05-07,86.5,86.75,85.9,86.0,1106325.5,
2020-05-08,87.0,87.0,85.95,86.05,1122319.5,
2020-05-11,86.0,86.5,86.0,86.0,842260.0,
2020-05-12,86.45,86.45,85.5,85.5,1510680.5,
2020-05-13,85.5,86.2,85.3,85.3,1303924.0,
2020-05-14,85.95,85.95,85.1,85.5,1040997.5,
2020-05-15,86.0,86.5,83.8,83.8,1984881.5,
2020-05-18,85.2,85.2,83.5,83.5,1825181.5,
2020-05-19,84.0,85.5,84.0,84.45,627093.5,
2020-05-20,85.5,85.5,84.0,84.6,690295.5,
2020-05-21,84.6,85.5,84.6,85.25,757677.5,
2020-05-22,85.5,86.0,84.3,84.3,1189376.0,
2020-05-26,85.0,85.0,83.5,83.7,1849037.0,
2020-05-27,84.4,84.4,83.0,84.0,1509804.0,
2020-05-28,85.95,85.95,84.0,85.0,324989.0,
2020-05-29,85.75,87.5,85.5,87.5,1083590.5,
2020-06-01,87.5,89.5,87.5,89.2,2000125.0,
2020-06-02,90.0,92.5,90.0,91.5,2422351.0,
2020-06-03,92.5,94.0,92.5,94.0,2278958.5,
2020-06-04,94.95,98.9,94.5,98.5,5438848.0,
2020-06-05,98.5,98.8,94.5,97.5,3284840.0,
2020-06-08,98.0,99.3,97.5,98.7,2165819.5,
2020-06-09,98.75,99.9,96.0,99.45,3139648.0,
2020-06-10,99.0,99.0,97.0,97.55,2600768.5,
2020-06-11,97.65,97.65,95.0,97.0,2500718.5,
2020-06-15,96.95,96.95,93.2,93.2,3094984.0,
2020-06-16,93.0,96.5,93.0,95.0,1636465.0,
2020-06-17,96.0,96.8,95.5,95.5,788747.0,
2020-06-18,95.5,96.0,94.5,96.0,1330923.5,
2020-06-19,95.95,97.0,95.5,95.75,874606.0,
2020-06-22,95.75,96.3,95.0,96.0,1048241.0,
2020-06-23,96.95,96.95,95.0,95.1,778129.0,
2020-06-24,96.0,96.0,94.0,94.0,1131267.5,
2020-06-25,93.5,94.25,93.1,93.1,1145031.0,
2020-06-26,93.95,94.5,93.7,93.8,960030.0,
2020-06-29,93.75,93.75,92.0,92.4,1562227.5,
2020-06-30,92.55,94.0,92.55,94.0,1384054.0,
2020-07-01,96.95,96.95,93.5,93.5,1213688.0,
2020-07-02,94.85,96.0,94.0,96.0,1237561.0,
2020-07-03,96.5,97.0,96.5,96.5,1485359.5,
2020-07-06,96.5,97.0,96.0,96.0,1553673.0,
2020-07-07,97.95,97.95,95.0,95.0,1586011.0,
