dt,open,high,low,close,value,volume
2020-03-02,0.98,1.04,0.9,0.94,17014780.0,
2020-03-03,0.97,0.98,0.93,0.93,9784110.0,
2020-03-04,0.93,0.94,0.89,0.89,11815290.0,
2020-03-05,0.9,0.92,0.89,0.91,2767710.0,
2020-03-06,0.91,0.91,0.82,0.84,8015090.0,
2020-03-09,0.81,0.81,0.65,0.65,16419890.0,
2020-03-10,0.64,0.71,0.56,0.7,2875000.0,
2020-03-11,0.73,0.75,0.69,0.69,7413920.0,
2020-03-12,0.65,0.65,0.56,0.56,9723860.0,
2020-03-13,0.5,0.64,0.46,0.61,3268110.0,
2020-03-16,0.6,0.6,0.51,0.52,4021390.0,
2020-03-19,0.47,0.49,0.455,0.47,2145255.0,
2020-03-20,0.46,0.5,0.46,0.47,3632600.0,
2020-03-23,0.475,0.48,0.46,0.475,1774400.0,
2020-03-24,0.475,0.52,0.475,0.51,1438050.0,
2020-03-25,0.51,0.57,0.51,0.56,1543470.0,
2020-03-26,0.57,0.61,0.57,0.6,2197700.0,
2020-03-27,0.63,0.64,0.54,0.56,5647450.0,
2020-03-30,0.56,0.56,0.5,0.53,2686520.0,
2020-03-31,0.56,0.57,0.55,0.57,1551620.0,
2020-04-01,0.55,0.6,0.55,0.59,1877820.0,
2020-04-02,0.56,0.59,0.56,0.58,758830.0,
2020-04-03,0.58,0.6,0.56,0.58,1669730.0,
2020-04-06,0.6,0.64,0.59,0.62,4230320.0,
2020-04-07,0.64,0.68,0.62,0.67,4530500.0,
2020-04-08,0.66,0.68,0.64,0.66,3499770.0,
2020-04-13,0.66,0.74,0.66,0.74,3332990.0,
2020-04-14,0.74,0.76,0.69,0.74,8158820.0,
2020-04-15,0.76,0.8,0.73,0.78,6707820.0,
2020-04-16,0.76,0.76,0.71,0.71,5486640.0,
2020-04-17,0.73,0.74,0.71,0.74,2620560.0,
2020-04-20,0.76,0.79,0.74,0.78,4012090.0,
2020-04-21,0.78,0.78,0.74,0.76,2036320.0,
2020-04-22,0.74,0.75,0.72,0.72,3885890.0,
2020-04-23,0.73,0.75,0.73,0.74,676350.0,
2020-04-24,0.75,0.75,0.73,0.75,747170.0,
2020-04-27,0.76,0.93,0.75,0.93,16846060.0,
2020-04-28,0.95,0.95,0.83,0.85,14670130.0,
2020-04-29,0.88,0.91,0.86,0.9,5950600.0,
2020-04-30,0.9,0.91,0.87,0.9,2865480.0,
2020-05-04,0.87,0.89,0.83,0.88,2818780.0,
2020-05-05,0.89,0.89,0.85,0.87,1657370.0,
2020-05-06,0.87,0.89,0.84,0.88,1719200.0,
2020-05-07,0.89,0.89,0.84,0.85,1515510.0,
2020-05-08,0.84,0.85,0.82,0.83,2625710.0,
2020-05-11,0.84,0.86,0.82,0.86,1966630.0,
2020-05-12,0.86,0.86,0.83,0.84,858890.0,
2020-05-13,0.84,0.84,0.77,0.78,4662680.0,
2020-05-14,0.78,0.78,0.75,0.77,2643360.0,
2020-05-15,0.77,0.77,0.75,0.77,1209970.0,
2020-05-18,0.79,0.79,0.75,0.76,732970.0,
2020-05-19,0.78,0.79,0.72,0.74,3416910.0,
2020-05-20,0.74,0.78,0.72,0.77,1126290.0,
2020-05-21,0.78,0.81,0.78,0.81,2955170.0,
2020-05-22,0.81,0.82,0.77,0.77,1616120.0,
2020-05-26,0.76,0.76,0.7,0.73,3274070.0,
2020-05-27,0.73,0.73,0.7,0.73,1172660.0,
2020-05-28,0.72,0.74,0.7,0.74,395980.0,
2020-05-29,0.73,0.74,0.73,0.73,519890.0,
2020-06-01,0.74,0.75,0.74,0.75,738300.0,
2020-06-02,0.75,0.78,0.75,0.78,544850.0,
2020-06-03,0.79,0.81,0.77,0.77,2105450.0,
2020-06-04,0.79,0.81,0.79,0.81,2055980.0,
2020-06-05,0.82,0.88,0.8,0.86,4572340.0,
2020-06-08,0.88,0.93,0.84,0.92,7952300.0,
2020-06-09,0.96,1.07,0.95,1.02,20384540.0,
2020-06-10,1.02,1.03,0.92,0.94,10006960.0,
2020-06-11,0.93,0.94,0.87,0.91,5315180.0,
2020-06-15,0.88,0.88,0.83,0.85,5199510.0,
2020-06-16,0.85,0.93,0.85,0.91,5313720.0,
2020-06-17,0.93,0.96,0.91,0.91,4974850.0,
2020-06-18,0.9,0.92,0.86,0.9,3479650.0,
2020-06-19,0.87,0.91,0.87,0.9,1063290.0,
2020-06-22,0.89,0.9,0.87,0.87,3229140.0,
2020-06-23,0.87,0.88,0.84,0.84,4209290.0,
2020-06-24,0.85,0.91,0.85,0.91,4845770.0,
2020-06-25,0.91,0.91,0.85,0.86,4306980.0,
2020-06-26,0.86,0.88,0.85,0.87,1508430.0,
2020-06-29,0.87,0.87,0.84,0.86,1459260.0,
2020-06-30,0.87,0.9,0.86,0.86,1588260.0,
2020-07-01,0.91,0.92,0.88,0.89,3330560.0,
2020-07-02,0.89,0.9,0.86,0.88,1917160.0,
2020-07-03,0.89,0.95,0.88,0.95,8829050.0,
2020-07-06,0.98,1.05,0.92,1.05,27693630.0,
2020-07-07,1.08,1.15,1.01,1.03,40327630.0,
2020-07-08,1.01,1.06,0.98,1.0,10952510.0,
2020-07-09,1.01,1.04,1.01,1.03,5557930.0,
2020-07-10,1.0,1.01,0.98,0.99,6341250.0,
2020-07-13,1.01,1.03,0.99,1.03,6388960.0,
2020-07-14,1.04,1.05,0.98,1.01,6026990.0,
2020-07-15,1.0,1.02,0.93,0.94,7240940.0,
2020-07-16,0.96,0.99,0.96,0.98,2236480.0,
2020-07-17,0.99,0.99,0.95,0.98,2000620.0,
2020-07-20,0.97,1.02,0.97,1.01,3662880.0,
2020-07-21,1.01,1.02,0.99,1.01,1669100.0,
2020-07-22,1.02,1.07,1.02,1.06,12382400.0,
2020-07-23,1.04,1.05,0.97,1.01,12079080.0,
2020-07-24,1.05,1.11,1.05,1.06,22646820.0,
2020-07-27,1.08,1.13,1.07,1.1,20007780.0,
2020-07-28,1.13,1.15,1.06,1.07,28356660.0,
2020-07-29,1.08,1.08,1.03,1.06,8640900.0,
2020-07-30,1.08,1.12,1.05,1.11,10056680.0,
2020-08-03,1.05,1.08,1.03,1.08,7396920.0,
2020-08-04,,,,1.1,,8620000.0
2020-08-05,,,,1.12,,17370000.0
2020-08-06,,,,1.12,,8839000.0
2020-08-07,,,,1.12,,8050000.0
2020-08-10,,,,1.15,,17039000.0
2020-08-11,,,,1.15,,6760000.0
2020-08-12,,,,1.09,,11872000.0
2020-08-13,,,,1.1,,2969000.0
2020-08-14,,,,1.13,,7048000.0
2020-08-17,,,,1.11,,6453000.0
2020-08-18,,,,1.13,,2645000.0
2020-08-19,,,,1.13,,2079000.0
2020-08-20,,,,1.11,,3520000.0
2020-08-24,,,,1.17,,78835000.0
2020-08-25,,,,1.23,,60878000.0
2020-08-26,,,,1.26,,13455000.0
2020-08-27,,,,1.33,,27834000.0
2020-08-28,,,,1.29,,47709000.0
2020-09-01,,,,1.36,,32512000.0
2020-09-02,,,,1.31,,32061000.0
2020-09-03,,,,1.33,,56665000.0
2020-09-04,,,,1.29,,12229000.0
2020-09-07,,,,1.31,,7052000.0
2020-09-08,,,,1.28,,8746000.0
2020-09-09,,,,1.24,,30135000.0
2020-09-10,,,,1.25,,8580000.0
2020-09-11,,,,1.25,,6773000.0
2020-09-14,,,,1.28,,8937000.0
2020-09-15,,,,1.26,,7525000.0
2020-09-16,,,,1.3,,6708000.0
2020-09-17,,,,1.27,,21755000.0
2020-09-18,,,,1.28,,6827000.0
2020-09-21,,,,1.22,,87309000.0
