dt,open,high,low,close,value,volume
2020-03-02,0.63,0.63,0.61,0.62,568680.0,
2020-03-03,0.62,0.63,0.61,0.63,530560.0,
2020-03-04,0.63,0.64,0.61,0.64,414500.0,
2020-03-05,0.64,0.64,0.62,0.63,81830.0,
2020-03-06,0.64,0.64,0.61,0.62,1277790.0,
2020-03-09,0.61,0.61,0.6,0.6,905750.0,
2020-03-10,0.59,0.6,0.57,0.6,1021840.0,
2020-03-11,0.61,0.61,0.57,0.58,956210.0,
2020-03-12,0.57,0.57,0.56,0.56,1571400.0,
2020-03-13,0.54,0.54,0.47,0.52,1002940.0,
2020-03-16,0.52,0.52,0.47,0.47,143080.0,
2020-03-19,0.44,0.47,0.44,0.47,78600.0,
2020-03-20,0.46,0.48,0.45,0.45,184300.0,
2020-03-23,0.46,0.465,0.46,0.46,179500.0,
2020-03-24,,,,,,
2020-03-25,0.5,0.5,0.48,0.48,87500.0,
2020-03-26,0.48,0.5,0.48,0.5,69500.0,
2020-03-27,0.51,0.56,0.51,0.53,112290.0,
2020-03-30,0.55,0.56,0.49,0.5,422920.0,
2020-03-31,0.53,0.53,0.51,0.51,23050.0,
2020-04-01,0.52,0.53,0.5,0.5,192880.0,
2020-04-02,0.52,0.52,0.5,0.5,16470.0,
2020-04-03,0.5,0.53,0.5,0.53,159750.0,
2020-04-06,0.52,0.52,0.51,0.51,910690.0,
2020-04-07,0.5,0.54,0.5,0.52,117960.0,
2020-04-08,0.53,0.53,0.5,0.5,148250.0,
2020-04-13,0.52,0.52,0.5,0.52,80030.0,
2020-04-14,0.51,0.55,0.51,0.53,748730.0,
2020-04-15,0.53,0.54,0.52,0.54,444640.0,
2020-04-16,0.54,0.54,0.49,0.52,1726400.0,
2020-04-17,0.52,0.53,0.5,0.51,3032500.0,
2020-04-20,0.53,0.53,0.5,0.52,1147820.0,
2020-04-21,0.51,0.52,0.5,0.51,894170.0,
2020-04-22,0.5,0.52,0.5,0.5,136180.0,
2020-04-23,0.5,0.52,0.5,0.51,665430.0,
2020-04-24,0.52,0.54,0.52,0.53,606320.0,
2020-04-27,0.54,0.59,0.53,0.58,2273060.0,
2020-04-28,0.59,0.61,0.54,0.55,1909440.0,
2020-04-29,0.57,0.57,0.53,0.55,796300.0,
2020-04-30,0.55,0.56,0.54,0.56,131610.0,
2020-05-04,0.56,0.56,0.53,0.53,350160.0,
2020-05-05,0.53,0.55,0.53,0.54,893950.0,
2020-05-06,0.53,0.55,0.53,0.53,584780.0,
2020-05-07,0.54,0.54,0.54,0.54,127440.0,
2020-05-08,0.55,0.55,0.53,0.53,551970.0,
2020-05-11,0.53,0.54,0.53,0.53,483840.0,
2020-05-12,0.53,0.55,0.53,0.55,1143900.0,
2020-05-13,0.56,0.56,0.54,0.55,101890.0,
2020-05-14,0.55,0.59,0.53,0.59,1189770.0,
2020-05-15,0.59,0.59,0.56,0.56,169930.0,
2020-05-18,0.55,0.57,0.54,0.55,318140.0,
2020-05-19,0.55,0.56,0.53,0.54,269030.0,
2020-05-20,0.53,0.54,0.53,0.54,75790.0,
2020-05-21,0.54,0.55,0.54,0.55,127950.0,
2020-05-22,0.54,0.55,0.53,0.55,143630.0,
2020-05-26,0.55,0.55,0.54,0.54,321880.0,
2020-05-27,0.54,0.56,0.53,0.55,385010.0,
2020-05-28,0.55,0.56,0.54,0.56,193570.0,
2020-05-29,0.57,0.57,0.56,0.57,86140.0,
2020-06-01,0.58,0.58,0.54,0.55,286470.0,
2020-06-02,0.55,0.56,0.55,0.55,112480.0,
2020-06-03,0.54,0.55,0.54,0.55,226960.0,
2020-06-04,0.55,0.55,0.53,0.55,1310370.0,
2020-06-05,0.55,0.56,0.55,0.55,404650.0,
2020-06-08,0.55,0.57,0.54,0.55,385750.0,
2020-06-09,0.55,0.56,0.53,0.56,1059450.0,
2020-06-10,0.56,0.58,0.54,0.56,829450.0,
2020-06-11,0.57,0.58,0.55,0.56,174280.0,
2020-06-15,0.54,0.55,0.53,0.54,232960.0,
2020-06-16,0.53,0.55,0.53,0.55,551890.0,
2020-06-17,0.55,0.58,0.54,0.57,1486730.0,
2020-06-18,0.59,0.6,0.57,0.58,944750.0,
2020-06-19,0.59,0.6,0.57,0.58,643130.0,
2020-06-22,0.6,0.6,0.55,0.57,608060.0,
2020-06-23,0.57,0.57,0.55,0.56,42990.0,
2020-06-24,0.57,0.59,0.56,0.58,509630.0,
2020-06-25,0.59,0.59,0.55,0.56,243110.0,
2020-06-26,0.55,0.57,0.55,0.56,56940.0,
2020-06-29,0.56,0.57,0.55,0.55,428430.0,
2020-06-30,0.58,0.58,0.55,0.55,354770.0,
2020-07-01,0.55,0.57,0.55,0.56,832910.0,
2020-07-02,0.55,0.58,0.55,0.58,545710.0,
2020-07-03,0.58,0.58,0.56,0.57,138030.0,
2020-07-06,0.55,0.56,0.55,0.56,409200.0,
2020-07-07,0.58,0.58,0.56,0.58,363640.0,
2020-07-08,0.56,0.58,0.56,0.56,212940.0,
