dt,open,high,low,close,value,volume
2020-03-02,61.0,61.0,60.05,60.6,3075008.5,
2020-03-03,60.6,63.45,60.6,61.5,7460407.0,
2020-03-04,61.05,63.55,61.05,63.5,8031770.0,
2020-03-05,61.6,62.05,61.6,61.75,518779.0,
2020-03-06,62.0,62.0,61.15,61.15,3609338.5,
2020-03-09,61.05,61.05,59.8,60.4,29142952.5,
2020-03-10,60.4,60.4,58.0,58.35,3417991.5,
2020-03-11,58.35,59.5,58.3,58.35,2514820.5,
2020-03-12,58.2,58.35,55.0,55.0,44078806.0,
2020-03-13,55.0,55.2,48.0,55.05,8361231.5,
2020-03-16,55.0,55.0,52.1,55.0,3542919.5,
2020-03-19,52.0,52.0,41.0,45.15,3151041.0,
2020-03-20,46.5,46.85,46.0,46.05,1898735.0,
2020-03-23,46.0,46.0,43.0,43.6,3635480.0,
2020-03-24,47.0,47.0,44.0,44.6,1347625.0,
2020-03-25,45.0,45.55,44.85,45.05,32321250.0,
2020-03-26,47.0,47.5,46.65,47.05,1954345.0,
2020-03-27,47.1,49.95,47.1,48.05,1938885.0,
2020-03-30,48.05,48.85,47.5,47.5,7512225.0,
2020-03-31,48.0,48.2,48.0,48.0,1282005.0,
2020-04-01,47.5,49.9,47.0,47.0,33752065.0,
2020-04-02,49.0,49.0,48.0,48.05,2935350.0,
2020-04-03,48.95,49.0,48.95,49.0,137165.0,
2020-04-06,49.0,53.5,49.0,53.0,1343795.0,
2020-04-07,53.5,53.7,51.0,51.15,1139969.0,
2020-04-08,51.5,52.85,51.45,52.25,127236.0,
2020-04-13,52.0,52.5,51.5,52.1,275266.0,
2020-04-14,52.5,53.55,52.2,53.1,612881.5,
2020-04-15,53.9,56.0,53.5,55.0,3253458.5,
2020-04-16,56.0,56.0,54.0,54.95,828600.0,
2020-04-17,54.95,56.0,54.1,55.1,1315587.0,
2020-04-20,56.0,57.05,55.05,57.05,12838275.5,
2020-04-21,58.0,58.0,56.1,56.2,5544779.0,
2020-04-22,56.2,56.2,55.8,56.0,2155179.5,
2020-04-23,55.5,57.0,55.5,56.95,3732665.0,
2020-04-24,55.9,56.05,55.5,55.5,554356.0,
2020-04-27,55.5,55.5,55.0,55.0,782126.5,
2020-04-28,54.8,56.4,54.8,56.0,1116996.5,
2020-04-29,57.05,57.2,57.0,57.0,1198006.0,
2020-04-30,57.15,58.0,57.15,57.35,149994.5,
2020-05-04,57.35,57.8,57.15,57.45,1305297.0,
2020-05-05,58.0,59.0,57.8,58.0,881079.0,
2020-05-06,58.0,58.45,57.6,57.95,1117526.5,
2020-05-07,57.55,57.6,57.2,57.4,1155303.0,
2020-05-08,57.5,57.5,57.4,57.4,179131.0,
2020-05-11,57.4,57.5,57.1,57.1,211880.0,
2020-05-12,57.0,57.0,56.5,56.6,541351.0,
2020-05-13,57.2,57.2,56.45,56.45,265523.0,
2020-05-14,56.3,56.3,55.0,55.15,459133.0,
2020-05-15,55.15,57.7,55.0,55.0,1352575.5,
2020-05-18,55.0,55.0,54.85,54.9,1315961.0,
