dt,open,high,low,close,value,volume
2020-03-02,1.02,1.02,0.97,1.0,28580.0,
2020-03-03,0.99,1.0,0.98,0.99,273610.0,
2020-03-04,0.98,0.98,0.98,0.98,252840.0,
2020-03-05,0.98,1.0,0.97,1.0,179810.0,
2020-03-06,1.0,1.0,0.99,0.99,90100.0,
2020-03-09,0.97,0.97,0.93,0.93,754920.0,
2020-03-10,0.92,0.92,0.81,0.9,2672260.0,
2020-03-11,0.9,0.97,0.9,0.97,41180.0,
2020-03-12,0.91,0.91,0.87,0.87,3505650.0,
2020-03-13,0.86,0.86,0.8,0.85,512270.0,
2020-03-16,0.84,0.84,0.79,0.79,954570.0,
2020-03-19,0.76,0.76,0.6,0.66,1456440.0,
2020-03-20,0.66,0.68,0.66,0.67,395440.0,
2020-03-23,0.66,0.67,0.65,0.65,684320.0,
2020-03-24,0.66,0.66,0.66,0.66,200640.0,
2020-03-25,0.68,0.7,0.68,0.7,280640.0,
2020-03-26,0.71,0.73,0.71,0.73,286000.0,
2020-03-27,0.79,0.8,0.75,0.75,74700.0,
2020-03-30,0.7,0.75,0.7,0.75,515950.0,
2020-03-31,0.75,0.77,0.75,0.77,219000.0,
2020-04-01,0.77,0.77,0.75,0.75,145190.0,
2020-04-02,0.75,0.75,0.73,0.74,134980.0,
2020-04-03,0.75,0.75,0.74,0.75,129310.0,
2020-04-06,0.75,0.76,0.75,0.76,202150.0,
2020-04-07,0.78,0.78,0.75,0.77,335680.0,
2020-04-08,0.77,0.77,0.75,0.75,364680.0,
2020-04-13,0.75,0.83,0.75,0.81,598580.0,
2020-04-14,0.82,0.87,0.82,0.84,1120860.0,
2020-04-15,0.84,0.87,0.84,0.86,188550.0,
2020-04-16,0.84,0.85,0.81,0.81,162060.0,
2020-04-17,0.81,0.81,0.8,0.8,441600.0,
2020-04-20,0.84,0.84,0.8,0.8,111400.0,
2020-04-21,0.8,0.81,0.8,0.81,346930.0,
2020-04-22,0.8,0.8,0.79,0.8,2309400.0,
2020-04-23,0.8,0.87,0.79,0.83,361010.0,
2020-04-24,0.8,0.83,0.8,0.83,9900.0,
2020-04-27,0.81,0.85,0.8,0.85,70150.0,
2020-04-28,0.85,0.85,0.8,0.85,19060.0,
2020-04-29,0.85,0.85,0.8,0.85,4950.0,
2020-04-30,0.8,0.85,0.8,0.82,50720.0,
2020-05-04,0.81,0.85,0.81,0.81,157990.0,
2020-05-05,0.81,0.81,0.8,0.8,1415700.0,
2020-05-06,0.8,0.81,0.8,0.8,73710.0,
2020-05-07,0.8,0.84,0.8,0.84,282520.0,
2020-05-08,0.85,0.85,0.8,0.8,832300.0,
2020-05-11,0.79,0.8,0.79,0.8,181130.0,
2020-05-12,0.83,0.83,0.79,0.79,1821620.0,
2020-05-13,0.8,0.8,0.79,0.79,431320.0,
2020-05-14,0.8,0.8,0.79,0.79,830360.0,
2020-05-15,0.79,0.8,0.79,0.79,728820.0,
2020-05-18,0.8,0.8,0.78,0.79,1678310.0,
2020-05-19,0.78,0.79,0.78,0.79,17170.0,
2020-05-20,0.78,0.79,0.78,0.79,18160.0,
2020-05-21,0.78,0.8,0.78,0.8,847170.0,
2020-05-22,0.8,0.84,0.8,0.8,526000.0,
2020-05-26,0.81,0.81,0.78,0.78,709510.0,
2020-05-27,0.78,0.78,0.78,0.78,182520.0,
2020-05-28,0.78,0.8,0.78,0.8,45350.0,
2020-05-29,0.79,0.79,0.78,0.78,184160.0,
2020-06-01,0.8,0.8,0.8,0.8,27200.0,
2020-06-02,0.79,0.79,0.79,0.79,20540.0,
2020-06-03,0.79,0.81,0.79,0.81,346370.0,
2020-06-04,0.83,0.83,0.8,0.81,113510.0,
2020-06-05,0.81,0.82,0.79,0.79,911490.0,
2020-06-08,0.82,0.84,0.82,0.84,203030.0,
2020-06-09,0.85,0.91,0.85,0.89,698240.0,
2020-06-10,0.89,0.89,0.82,0.85,270790.0,
2020-06-11,0.83,0.83,0.81,0.83,178560.0,
2020-06-15,0.83,0.83,0.79,0.81,232050.0,
2020-06-16,0.79,0.81,0.79,0.79,425650.0,
2020-06-17,0.79,0.9,0.79,0.9,2139490.0,
2020-06-18,0.9,0.91,0.84,0.85,345820.0,
2020-06-19,0.85,0.91,0.85,0.9,588680.0,
2020-06-22,0.85,0.95,0.85,0.91,1667060.0,
2020-06-23,0.91,0.95,0.88,0.9,466030.0,
2020-06-24,0.88,0.89,0.86,0.86,503180.0,
2020-06-25,0.84,0.85,0.83,0.83,150300.0,
2020-06-26,0.83,0.85,0.83,0.85,159590.0,
2020-06-29,0.86,0.88,0.82,0.88,12840.0,
2020-06-30,0.83,0.87,0.82,0.87,211400.0,
2020-07-01,0.82,0.84,0.82,0.83,90020.0,
2020-07-02,0.83,0.88,0.83,0.88,199940.0,
2020-07-03,0.83,0.85,0.83,0.84,82940.0,
2020-07-06,0.82,0.83,0.81,0.81,204950.0,
