dt,open,high,low,close,value,volume
2020-03-02,1780.0,1829.0,1742.0,1800.0,148527710.0,
2020-03-03,1878.0,1878.0,1817.0,1830.0,84896095.0,
2020-03-04,1830.0,1854.0,1817.0,1850.0,78994485.0,
2020-03-05,1850.0,1889.0,1841.0,1841.0,84187330.0,
2020-03-06,1825.0,1841.0,1819.0,1831.0,48051640.0,
2020-03-09,1818.0,1821.0,1750.0,1750.0,48915975.0,
2020-03-10,1751.0,1751.0,1702.0,1732.0,103059855.0,
2020-03-11,1736.0,1783.0,1736.0,1750.0,49875770.0,
2020-03-12,1750.0,1779.0,1702.0,1739.0,200255425.0,
2020-03-13,1690.0,1853.0,1590.0,1830.0,275792120.0,
2020-03-16,1792.0,1920.0,1681.0,1920.0,172081330.0,
2020-03-19,1740.0,1899.0,1706.0,1745.0,191023230.0,
2020-03-20,1745.0,1769.0,1650.0,1658.0,174422950.0,
2020-03-23,1650.0,1850.0,1650.0,1850.0,150570980.0,
2020-03-24,1840.0,1890.0,1760.0,1816.0,119714685.0,
2020-03-25,1837.0,1885.0,1820.0,1840.0,85688915.0,
2020-03-26,1840.0,1980.0,1840.0,1930.0,235862070.0,
2020-03-27,1950.0,1976.0,1908.0,1949.0,186327185.0,
2020-03-30,1910.0,1949.0,1910.0,1912.0,107426260.0,
2020-03-31,1916.0,1949.0,1913.0,1930.0,149865820.0,
2020-04-01,1912.0,2000.0,1912.0,2000.0,158138405.0,
2020-04-02,2000.0,2000.0,1973.0,2000.0,105006625.0,
2020-04-03,2006.0,2050.0,1978.0,2050.0,223032065.0,
2020-04-06,2050.0,2300.0,2050.0,2300.0,248100510.0,
2020-04-07,2280.0,2280.0,2130.0,2194.0,198577600.0,
2020-04-08,2186.0,2186.0,2104.0,2160.0,174438370.0,
2020-04-13,2200.0,2238.0,2160.0,2224.0,120283590.0,
2020-04-14,2220.0,2258.0,2200.0,2230.0,262024360.0,
2020-04-15,2206.0,2242.0,2170.0,2206.0,321825600.0,
2020-04-16,2190.0,2190.0,2100.0,2100.0,228506190.0,
2020-04-17,2150.0,2230.0,2100.0,2230.0,110447000.0,
2020-04-20,2220.0,2220.0,2154.0,2180.0,82782610.0,
2020-04-21,2160.0,2176.0,2106.0,2106.0,105536280.0,
2020-04-22,2096.0,2192.0,2096.0,2168.0,149864670.0,
2020-04-23,2200.0,2220.0,2174.0,2200.0,104967430.0,
2020-04-24,2200.0,2216.0,2172.0,2208.0,119128610.0,
2020-04-27,2208.0,2248.0,2156.0,2210.0,137858430.0,
2020-04-28,2210.0,2268.0,2210.0,2258.0,52029160.0,
2020-04-29,2258.0,2258.0,2186.0,2230.0,59787390.0,
2020-04-30,2250.0,2256.0,2196.0,2196.0,142429590.0,
2020-05-04,2196.0,2258.0,2182.0,2258.0,85863760.0,
2020-05-05,2214.0,2300.0,2214.0,2300.0,167178240.0,
2020-05-06,2296.0,2296.0,2230.0,2242.0,186080120.0,
2020-05-07,2242.0,2258.0,2202.0,2202.0,197285760.0,
2020-05-08,2202.0,2240.0,2150.0,2150.0,225710480.0,
2020-05-11,2150.0,2202.0,2080.0,2080.0,229880360.0,
2020-05-12,2100.0,2160.0,2062.0,2130.0,218782160.0,
2020-05-13,2128.0,2150.0,2104.0,2104.0,136116740.0,
2020-05-14,2130.0,2182.0,2112.0,2170.0,245088890.0,
2020-05-15,2176.0,2242.0,2176.0,2220.0,161045610.0,
2020-05-18,2224.0,2224.0,2160.0,2218.0,45363680.0,
2020-05-19,2220.0,2226.0,2174.0,2212.0,64818210.0,
2020-05-20,2182.0,2276.0,2182.0,2276.0,201375510.0,
2020-05-21,2232.0,2280.0,2232.0,2270.0,235195040.0,
2020-05-22,2284.0,2290.0,2200.0,2232.0,205707150.0,
2020-05-26,2220.0,2260.0,2182.0,2250.0,186780000.0,
2020-05-27,2274.0,2280.0,2190.0,2220.0,309729080.0,
2020-05-28,2220.0,2220.0,2190.0,2200.0,147745860.0,
2020-05-29,2190.0,2294.0,2180.0,2294.0,1360829880.0,
2020-06-01,2260.0,2270.0,2228.0,2244.0,85633660.0,
2020-06-02,2258.0,2258.0,2180.0,2192.0,337864340.0,
2020-06-03,2236.0,2250.0,2174.0,2176.0,223952260.0,
2020-06-04,2150.0,2200.0,2130.0,2200.0,247181140.0,
2020-06-05,2200.0,2200.0,2168.0,2170.0,243938580.0,
2020-06-08,2170.0,2186.0,2106.0,2120.0,177541590.0,
2020-06-09,2120.0,2170.0,2110.0,2170.0,134991720.0,
2020-06-10,2162.0,2174.0,2122.0,2160.0,152597760.0,
2020-06-11,2176.0,2218.0,2140.0,2218.0,131176400.0,
2020-06-15,2220.0,2220.0,2160.0,2160.0,228792260.0,
2020-06-16,2160.0,2182.0,2122.0,2160.0,158300450.0,
2020-06-17,2170.0,2204.0,2160.0,2186.0,116150190.0,
2020-06-18,2190.0,2224.0,2162.0,2206.0,163961840.0,
2020-06-19,2200.0,2200.0,2126.0,2154.0,777322410.0,
2020-06-22,2156.0,2182.0,2130.0,2130.0,128383120.0,
2020-06-23,2132.0,2144.0,2072.0,2140.0,212418240.0,
2020-06-24,2130.0,2130.0,2082.0,2094.0,115468440.0,
2020-06-25,2096.0,2096.0,2050.0,2058.0,153095040.0,
2020-06-26,2058.0,2130.0,2050.0,2130.0,131912890.0,
2020-06-29,2110.0,2112.0,2054.0,2088.0,107643970.0,
2020-06-30,2082.0,2100.0,2060.0,2070.0,259070580.0,
2020-07-01,2100.0,2128.0,2074.0,2100.0,95426530.0,
2020-07-02,2100.0,2130.0,2072.0,2120.0,362691240.0,
2020-07-03,2130.0,2150.0,2090.0,2110.0,99277380.0,
2020-07-06,2120.0,2150.0,2092.0,2140.0,275580830.0,
2020-07-07,2140.0,2146.0,2062.0,2062.0,168842390.0,
2020-07-08,2090.0,2110.0,2064.0,2096.0,154457840.0,
2020-07-09,2100.0,2102.0,2066.0,2066.0,96900610.0,
2020-07-10,2092.0,2092.0,2070.0,2076.0,92733500.0,
2020-07-13,2082.0,2090.0,2068.0,2080.0,68379910.0,
2020-07-14,2080.0,2084.0,2062.0,2062.0,59503000.0,
2020-07-15,2072.0,2094.0,1980.0,2006.0,229078170.0,
2020-07-16,2030.0,2066.0,2026.0,2066.0,48252630.0,
2020-07-17,2066.0,2078.0,2038.0,2078.0,100254020.0,
2020-07-20,2080.0,2126.0,2080.0,2114.0,87565410.0,
2020-07-21,2110.0,2114.0,2090.0,2090.0,54302540.0,
2020-07-22,2090.0,2130.0,2090.0,2110.0,136464120.0,
2020-07-23,2120.0,2120.0,2030.0,2116.0,99479840.0,
2020-07-24,2116.0,2116.0,2054.0,2090.0,46125850.0,
2020-07-27,2100.0,2110.0,2006.0,2010.0,96007080.0,
2020-07-28,2000.0,2024.0,1942.0,2000.0,123666450.0,
2020-07-29,2000.0,2026.0,1991.0,2020.0,41040205.0,
2020-07-30,2020.0,2078.0,2008.0,2064.0,259924730.0,
2020-08-03,2054.0,2054.0,2004.0,2014.0,105255950.0,
2020-08-04,,,,2070.0,,86565.0
2020-08-05,,,,2106.0,,70160.0
2020-08-06,,,,2118.0,,66005.0
2020-08-07,,,,2120.0,,49715.0
2020-08-10,,,,2200.0,,38720.0
2020-08-11,,,,2180.0,,37170.0
2020-08-12,,,,2164.0,,43775.0
2020-08-13,,,,2148.0,,57875.0
2020-08-14,,,,2136.0,,42365.0
2020-08-17,,,,2118.0,,12945.0
2020-08-18,,,,2130.0,,30890.0
2020-08-19,,,,2130.0,,37640.0
2020-08-20,,,,2112.0,,40420.0
2020-08-24,,,,2100.0,,38440.0
2020-08-25,,,,2110.0,,43045.0
2020-08-26,,,,2130.0,,32055.0
2020-08-27,,,,2134.0,,42770.0
2020-08-28,,,,2088.0,,133135.0
2020-09-01,,,,2030.0,,78900.0
2020-09-02,,,,2050.0,,30770.0
2020-09-03,,,,2090.0,,38920.0
2020-09-04,,,,2040.0,,68320.0
2020-09-07,,,,2088.0,,33800.0
2020-09-08,,,,2120.0,,31635.0
2020-09-09,,,,2132.0,,21160.0
2020-09-10,,,,2080.0,,29750.0
2020-09-11,,,,2080.0,,43230.0
2020-09-14,,,,2126.0,,29650.0
2020-09-15,,,,2074.0,,32850.0
2020-09-16,,,,2062.0,,30375.0
2020-09-17,,,,2090.0,,40050.0
2020-09-18,,,,2140.0,,42110.0
2020-09-21,,,,2114.0,,12615.0
2020-09-22,,,,2080.0,,20830.0
2020-09-23,,,,2100.0,,29260.0
2020-09-24,,,,2120.0,,20915.0
2020-09-25,,,,2120.0,,45095.0
2020-09-28,,,,2086.0,,19395.0
