dt,open,high,low,close,value,volume
2020-03-02,5.27,5.29,5.21,5.26,2310616.0,
2020-03-03,5.3,5.3,5.21,5.25,1639792.0,
2020-03-04,5.3,5.3,5.24,5.25,2747241.0,
2020-03-05,5.3,5.32,5.24,5.25,1391877.0,
2020-03-06,5.3,5.3,5.23,5.23,2707324.0,
2020-03-09,5.25,5.25,5.12,5.13,4999929.0,
2020-03-10,5.12,5.15,5.02,5.13,1642453.0,
2020-03-11,5.12,5.21,5.12,5.15,829178.0,
2020-03-12,5.15,5.15,4.96,5.0,5150565.0,
2020-03-13,5.0,5.1,4.7,5.1,2235041.0,
2020-03-16,5.25,5.25,5.05,5.1,546929.0,
2020-03-19,5.05,5.05,4.55,4.65,1738145.0,
2020-03-20,4.65,4.73,4.35,4.73,1539430.0,
2020-03-23,4.71,4.71,4.28,4.5,644350.0,
2020-03-24,4.5,4.69,4.5,4.69,237400.0,
2020-03-25,4.7,5.05,4.65,5.0,1827050.0,
2020-03-26,5.0,5.19,4.9,5.0,1668495.0,
2020-03-27,4.9,5.18,4.88,5.18,3195241.0,
2020-03-30,5.16,5.2,5.0,5.18,4670649.0,
2020-03-31,5.18,5.26,5.15,5.24,343776.0,
2020-04-01,5.29,5.29,5.0,5.0,1815023.0,
2020-04-02,4.95,5.05,4.89,5.05,4151116.0,
2020-04-03,5.1,5.15,5.1,5.1,909959.0,
2020-04-06,5.09,5.15,5.08,5.1,1137551.0,
2020-04-07,5.1,5.15,5.0,5.0,2262863.0,
2020-04-08,5.0,5.1,4.97,5.09,1417765.0,
2020-04-13,5.0,5.0,4.97,4.99,1153445.0,
2020-04-14,4.99,5.1,4.98,5.0,1689930.0,
2020-04-15,5.0,5.1,4.95,4.97,1917082.0,
2020-04-16,4.97,5.0,4.9,4.94,1946610.0,
2020-04-17,5.05,5.05,4.97,4.97,573100.0,
2020-04-20,4.98,4.98,4.95,4.95,758030.0,
2020-04-21,4.98,5.0,4.86,4.87,1224760.0,
2020-04-22,5.0,5.0,4.85,4.87,669660.0,
2020-04-23,4.99,4.99,4.88,4.88,408330.0,
2020-04-24,4.93,4.93,4.92,4.93,266030.0,
2020-04-27,4.9,4.9,4.8,4.85,841510.0,
2020-04-28,4.85,4.85,4.79,4.8,678430.0,
2020-04-29,4.8,4.8,4.77,4.8,637110.0,
2020-04-30,4.8,4.89,4.78,4.87,1153260.0,
2020-05-04,4.8,4.84,4.7,4.84,1269640.0,
2020-05-05,4.84,4.84,4.75,4.77,354800.0,
2020-05-06,7.15,7.15,5.67,5.9,186738300.0,
2020-05-07,5.99,5.99,5.29,5.46,53245751.0,
2020-05-08,5.4,5.45,5.1,5.17,27138886.0,
2020-05-11,5.2,5.45,5.1,5.21,20229143.0,
2020-05-12,5.3,5.3,4.91,5.12,10068494.0,
2020-05-13,5.07,5.2,5.0,5.03,5771249.0,
2020-05-14,5.0,5.01,4.85,4.9,8545060.0,
2020-05-15,4.96,5.09,4.85,5.03,4752050.0,
2020-05-18,5.04,5.15,4.9,4.9,4004421.0,
2020-05-19,4.96,5.05,4.91,5.02,2256980.0,
2020-05-20,5.05,5.05,4.85,4.94,2418800.0,
2020-05-21,4.98,4.98,4.85,4.92,911740.0,
2020-05-22,4.94,4.94,4.85,4.85,3144160.0,
2020-05-26,4.85,4.9,4.7,4.7,6507200.0,
2020-05-27,4.66,4.85,4.65,4.79,1521090.0,
2020-05-28,4.8,4.8,4.7,4.79,1211390.0,
2020-05-29,4.8,4.8,4.73,4.79,1408930.0,
2020-06-01,4.88,4.88,4.78,4.8,1257710.0,
2020-06-02,4.82,4.94,4.81,4.9,2175670.0,
2020-06-03,4.9,4.93,4.84,4.88,2142320.0,
2020-06-04,4.86,4.92,4.85,4.92,3373480.0,
2020-06-05,4.95,4.95,4.88,4.91,1594160.0,
2020-06-08,4.91,4.93,4.86,4.92,2807180.0,
2020-06-09,4.95,5.15,4.95,5.14,8622250.0,
2020-06-10,5.17,5.2,5.0,5.11,4597625.0,
2020-06-11,5.11,5.12,5.01,5.05,3248016.0,
2020-06-15,5.06,5.1,5.04,5.1,3617868.0,
2020-06-16,5.1,5.15,5.09,5.14,4368435.0,
2020-06-17,5.14,5.25,5.13,5.2,5597709.0,
2020-06-18,5.21,5.29,5.18,5.2,9042436.0,
2020-06-19,4.8,5.0,4.8,4.93,7487701.0,
2020-06-22,4.92,4.92,4.83,4.85,2786880.0,
2020-06-23,4.95,4.95,4.86,4.91,1152530.0,
2020-06-24,4.91,4.91,4.88,4.88,1526680.0,
2020-06-25,4.88,4.88,4.81,4.82,1560890.0,
2020-06-26,4.87,4.89,4.8,4.87,1092640.0,
2020-06-29,4.98,4.98,4.7,4.8,2548260.0,
2020-06-30,4.8,4.92,4.8,4.85,1314860.0,
2020-07-01,5.0,5.17,4.87,5.02,8463670.0,
2020-07-02,5.08,5.1,4.92,5.07,3885559.0,
2020-07-03,5.03,5.03,4.96,4.99,1306717.0,
2020-07-06,5.0,5.0,4.87,4.91,1965270.0,
2020-07-07,5.0,5.26,5.0,5.23,16119870.0,
2020-07-08,5.23,5.5,5.0,5.49,25262585.0,
2020-07-09,5.6,5.99,5.5,5.71,66709601.0,
2020-07-10,5.86,6.05,5.71,6.03,63673850.0,
2020-07-13,7.0,8.5,6.65,6.65,498414480.0,
2020-07-14,6.53,6.53,5.71,5.77,129376245.0,
2020-07-15,5.59,5.76,5.2,5.36,32078843.0,
2020-07-16,5.38,5.64,5.3,5.5,13400536.0,
2020-07-17,5.59,5.6,5.36,5.53,9242636.0,
2020-07-20,5.6,5.9,5.53,5.75,24891474.0,
2020-07-21,5.83,6.05,5.83,5.88,25710114.0,
2020-07-22,5.91,6.05,5.76,5.8,14652185.0,
2020-07-23,5.81,5.85,5.51,5.55,12637913.0,
2020-07-24,5.55,5.74,5.46,5.63,10420553.0,
2020-07-27,5.62,5.63,5.46,5.47,12529918.0,
2020-07-28,5.47,5.48,5.26,5.39,8877734.0,
2020-07-29,5.4,5.41,5.22,5.28,7755041.0,
2020-07-30,5.3,5.31,5.2,5.23,4147950.0,
2020-08-03,5.18,5.18,5.0,5.06,8491576.0,
2020-08-04,,,,5.06,,718400.0
2020-08-05,,,,5.02,,1714500.0
2020-08-06,,,,5.0,,958400.0
2020-08-07,,,,4.95,,1448100.0
2020-08-10,,,,5.01,,918000.0
2020-08-11,,,,4.99,,900700.0
2020-08-12,,,,4.91,,1422000.0
2020-08-13,,,,4.95,,1021000.0
2020-08-14,,,,4.93,,1231000.0
2020-08-17,,,,5.09,,1082000.0
2020-08-18,,,,5.13,,952700.0
2020-08-19,,,,5.15,,711800.0
2020-08-20,,,,5.08,,583400.0
2020-08-24,,,,5.01,,637300.0
2020-08-25,,,,5.04,,756500.0
2020-08-26,,,,5.05,,502600.0
2020-08-27,,,,5.14,,1073600.0
2020-08-28,,,,5.04,,560800.0
2020-09-01,,,,5.13,,712300.0
2020-09-02,,,,5.04,,318700.0
2020-09-03,,,,5.06,,338200.0
2020-09-04,,,,5.05,,490100.0
2020-09-07,,,,5.15,,711700.0
2020-09-08,,,,5.14,,536800.0
2020-09-09,,,,5.14,,444900.0
2020-09-10,,,,5.12,,223000.0
2020-09-11,,,,5.12,,212000.0
2020-09-14,,,,5.1,,2072100.0
