dt,open,high,low,close,value,volume
2020-03-02,5.1,5.1,5.1,5.1,71400.0,
2020-03-03,5.1,5.1,5.09,5.1,200429.0,
2020-03-04,5.09,5.09,5.05,5.05,34364.0,
2020-03-05,,,,,,
2020-03-06,5.1,5.1,5.03,5.03,1936450.0,
2020-03-09,5.02,5.02,4.95,4.95,2778177.0,
2020-03-10,4.94,5.0,4.9,4.95,217870.0,
2020-03-11,5.22,5.22,5.09,5.09,30770.0,
2020-03-12,5.08,5.09,5.08,5.09,72266.0,
2020-03-13,4.7,5.07,4.55,5.07,267715.0,
2020-03-16,5.0,5.0,5.0,5.0,34000.0,
2020-03-19,5.0,5.0,4.99,4.99,28493.0,
2020-03-20,4.9,4.9,4.9,4.9,9800000.0,
2020-03-23,4.8,4.8,4.8,4.8,14400000.0,
2020-03-24,,,,,,
2020-03-25,4.8,5.0,4.8,5.0,15029000.0,
2020-03-26,5.0,5.0,5.0,5.0,357000.0,
2020-03-27,4.99,5.0,4.9,5.0,27489979.0,
2020-03-30,4.9,5.3,4.9,5.3,25411040.0,
2020-03-31,4.91,5.25,4.9,5.25,34385.0,
2020-04-01,5.24,5.24,4.9,4.9,927026.0,
2020-04-02,4.9,4.9,4.9,4.9,49000.0,
2020-04-03,4.9,4.9,4.9,4.9,749700.0,
2020-04-06,4.9,4.9,4.9,4.9,524300.0,
2020-04-07,4.9,4.9,4.9,4.9,279300.0,
2020-04-08,4.9,4.9,4.8,4.89,174180.0,
2020-04-13,4.89,4.89,4.89,4.89,58680.0,
2020-04-14,4.9,4.9,4.9,4.9,274400.0,
2020-04-15,4.9,4.9,4.89,4.89,107700.0,
2020-04-16,4.89,4.9,4.89,4.89,308520.0,
2020-04-17,,,,,,
2020-04-20,4.87,4.89,4.87,4.89,24410.0,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,4.88,4.9,4.88,4.89,249350.0,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,4.83,4.83,4.83,4.83,62790.0,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,6.2,6.9,5.26,5.29,21184470.0,
2020-05-07,5.4,5.4,5.01,5.13,879493.0,
