dt,open,high,low,close,value,volume
2020-03-02,13.46,13.46,13.46,13.46,1346.0,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,9.7,11.88,9.7,11.88,4208.0,
2020-03-09,9.9,13.5,9.9,12.64,49884.0,
2020-03-10,12.64,12.98,12.64,12.98,2562.0,
2020-03-11,,,,,,
2020-03-12,12.88,12.88,12.88,12.88,2576.0,
2020-03-13,12.88,12.88,12.88,12.88,1288.0,
2020-03-16,12.88,12.88,12.88,12.88,1288.0,
2020-03-19,12.86,12.86,12.86,12.86,1286.0,
2020-03-20,,,,,,
2020-03-23,12.8,12.8,12.8,12.8,1280.0,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,9.12,12.76,9.12,12.76,5330.0,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,9.17,12.58,9.12,12.58,41192.0,
2020-04-07,12.72,12.72,12.72,12.72,1272.0,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,9.11,12.44,9.11,12.42,20613.0,
2020-05-11,12.54,12.54,12.54,12.54,1254.0,
2020-05-12,12.66,12.66,12.66,12.66,1266.0,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,9.57,18.98,9.57,18.88,148320.0,
2020-06-03,17.7,17.7,13.22,13.26,760998.0,
2020-06-04,13.28,13.38,11.8,13.38,62618.0,
2020-06-05,13.38,13.38,13.38,13.38,12042.0,
2020-06-08,13.0,13.0,12.5,12.5,20650.0,
2020-06-09,12.02,13.36,12.02,13.36,29000.0,
2020-06-10,13.36,13.36,13.36,13.36,73480.0,
2020-06-11,13.0,13.0,13.0,13.0,42900.0,
2020-06-15,12.02,12.02,12.02,12.02,6010.0,
2020-06-16,,,,,,
2020-06-17,13.8,13.8,13.8,13.8,6900.0,
2020-06-18,,,,,,
2020-06-19,12.02,12.5,12.02,12.5,38744.0,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,12.02,12.02,12.02,12.02,3606.0,
2020-06-25,,,,,,
2020-06-26,13.76,13.76,13.72,13.72,2748.0,
2020-06-29,13.7,13.7,12.02,12.02,2572.0,
2020-06-30,13.5,13.5,13.4,13.4,5388.0,
2020-07-01,12.02,12.04,12.02,12.04,2406.0,
2020-07-02,13.16,13.16,12.02,12.02,18600.0,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,12.06,12.06,12.0,12.0,14410.0,
2020-07-14,,,,,,
2020-07-15,11.04,11.98,11.04,11.98,13436.0,
2020-07-16,12.66,12.66,12.66,12.66,3798.0,
2020-07-17,12.66,12.66,12.66,12.66,10128.0,
2020-07-20,12.96,12.96,12.96,12.96,1296.0,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-27,,,,,,
2020-07-28,11.26,12.76,11.26,12.76,5780.0,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,,,,,,
2020-08-04,,,,11.84,,4800.0
2020-08-05,,,,11.92,,3900.0
2020-08-07,,,,11.72,,200.0
2020-08-13,,,,11.2,,800.0
2020-08-17,,,,11.74,,300.0
2020-08-25,,,,10.58,,200.0
2020-08-26,,,,11.66,,200.0
2020-09-04,,,,10.72,,1700.0
2020-09-09,,,,11.52,,900.0
2020-09-11,,,,10.6,,100.0
2020-09-21,,,,10.64,,500.0
2020-09-28,,,,10.6,,1100.0
