dt,open,high,low,close,value,volume
2020-03-02,1.29,1.33,1.25,1.28,1272280.0,
2020-03-03,1.26,1.31,1.26,1.28,1178140.0,
2020-03-04,1.26,1.3,1.24,1.28,4952280.0,
2020-03-05,1.26,1.27,1.23,1.23,1960600.0,
2020-03-06,1.23,1.23,1.14,1.15,4015280.0,
2020-03-09,1.13,1.13,1.01,1.02,6392090.0,
2020-03-10,1.0,1.13,1.0,1.06,5335780.0,
2020-03-11,1.06,1.06,1.03,1.06,4132240.0,
2020-03-12,1.06,1.06,0.94,0.97,1332840.0,
2020-03-13,0.94,0.94,0.83,0.9,1477430.0,
2020-03-16,0.9,0.9,0.8,0.81,208610.0,
2020-03-19,0.75,0.75,0.66,0.66,3635540.0,
2020-03-20,0.66,0.75,0.66,0.7,861990.0,
2020-03-23,0.7,0.7,0.65,0.65,49840.0,
2020-03-24,0.65,0.7,0.65,0.68,137440.0,
2020-03-25,0.66,0.71,0.66,0.7,325310.0,
2020-03-26,0.7,0.81,0.7,0.79,1471840.0,
2020-03-27,0.83,0.85,0.77,0.8,1410910.0,
2020-03-30,0.8,0.8,0.75,0.78,272260.0,
2020-03-31,0.8,0.81,0.78,0.8,2086740.0,
2020-04-01,0.82,0.82,0.79,0.81,431070.0,
2020-04-02,0.8,0.81,0.75,0.81,294670.0,
2020-04-03,0.82,0.82,0.79,0.79,200480.0,
2020-04-06,0.78,0.79,0.75,0.78,484630.0,
2020-04-07,0.79,0.8,0.77,0.79,579180.0,
2020-04-08,0.79,0.79,0.74,0.77,426750.0,
2020-04-13,0.76,0.8,0.76,0.8,242290.0,
2020-04-14,0.8,0.94,0.8,0.94,3633320.0,
2020-04-15,0.95,0.96,0.88,0.91,2433300.0,
2020-04-16,0.92,0.92,0.85,0.9,1350520.0,
2020-04-17,0.9,1.0,0.88,1.0,5574180.0,
2020-04-20,1.0,1.09,1.0,1.09,8851020.0,
2020-04-21,1.1,1.11,1.02,1.07,3960280.0,
2020-04-22,1.05,1.13,1.02,1.13,5410150.0,
2020-04-23,1.15,1.18,1.12,1.17,4883520.0,
2020-04-24,1.17,1.22,1.12,1.22,6356510.0,
2020-04-27,1.24,1.26,1.17,1.24,3822110.0,
2020-04-28,1.26,1.28,1.22,1.24,5083690.0,
2020-04-29,1.24,1.34,1.22,1.33,6886540.0,
2020-04-30,1.34,1.34,1.28,1.3,3742750.0,
2020-05-04,1.28,1.29,1.21,1.22,3015410.0,
2020-05-05,1.21,1.3,1.21,1.3,1741520.0,
2020-05-06,1.3,1.32,1.27,1.32,4480280.0,
2020-05-07,1.32,1.32,1.28,1.28,1554530.0,
2020-05-08,1.27,1.3,1.23,1.28,2541800.0,
2020-05-11,1.28,1.28,1.24,1.24,1629460.0,
2020-05-12,1.23,1.29,1.23,1.26,1636590.0,
2020-05-13,1.26,1.27,1.23,1.24,1543920.0,
2020-05-14,1.27,1.27,1.23,1.27,665590.0,
2020-05-15,1.28,1.28,1.24,1.24,1717190.0,
2020-05-18,1.22,1.27,1.22,1.25,648550.0,
2020-05-19,1.25,1.34,1.25,1.33,5694810.0,
2020-05-20,1.35,1.44,1.35,1.43,12348780.0,
2020-05-21,1.46,1.47,1.37,1.41,6208640.0,
2020-05-22,1.43,1.43,1.37,1.42,2903920.0,
2020-05-26,1.43,1.44,1.35,1.41,4849380.0,
2020-05-27,1.41,1.52,1.36,1.52,12534250.0,
2020-05-28,1.53,1.59,1.5,1.56,11455600.0,
2020-05-29,1.56,1.64,1.54,1.62,14297010.0,
2020-06-01,1.63,1.67,1.59,1.67,7469260.0,
2020-06-02,1.67,1.73,1.64,1.73,8730510.0,
2020-06-03,1.75,1.75,1.6,1.6,17765460.0,
2020-06-04,1.6,1.64,1.59,1.63,6087810.0,
2020-06-05,1.64,1.66,1.59,1.63,6446760.0,
2020-06-08,1.63,1.63,1.58,1.61,8378990.0,
2020-06-09,1.61,1.65,1.59,1.65,10328250.0,
2020-06-10,1.66,1.68,1.65,1.68,10332910.0,
2020-06-11,1.69,1.7,1.62,1.63,9389090.0,
2020-06-15,1.6,1.61,1.52,1.6,10206340.0,
2020-06-16,1.6,1.65,1.6,1.63,5084840.0,
2020-06-17,1.66,1.66,1.61,1.62,2600220.0,
2020-06-18,1.6,1.65,1.57,1.64,9656240.0,
2020-06-19,1.65,1.72,1.64,1.72,20289110.0,
2020-06-22,1.73,1.85,1.73,1.85,38531000.0,
2020-06-23,1.88,1.88,1.77,1.85,17211380.0,
2020-06-24,1.84,1.85,1.79,1.82,7637360.0,
