dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,34.95,36.0,34.95,35.5,893645.0,
2020-03-04,,,,,,
2020-03-05,36.25,36.25,36.0,36.0,32575.0,
2020-03-06,35.5,36.0,30.55,35.45,188755.0,
2020-03-09,32.35,35.75,32.1,35.7,541480.0,
2020-03-10,32.1,36.75,32.05,36.75,872450.0,
2020-03-11,37.0,37.0,37.0,37.0,11100.0,
2020-03-12,36.5,36.5,30.0,33.9,2208710.0,
2020-03-13,33.8,33.8,31.9,33.7,304110.0,
2020-03-16,29.1,33.2,29.1,33.2,120970.0,
2020-03-19,33.2,33.2,31.0,32.9,575130.0,
2020-03-20,32.8,32.9,32.0,32.8,318100.0,
2020-03-23,32.8,32.8,25.0,29.95,1351380.0,
2020-03-24,29.95,30.0,27.0,30.0,190460.0,
2020-03-25,30.0,30.0,27.8,30.0,4934570.0,
2020-03-26,28.5,31.0,28.5,30.05,250605.0,
2020-03-27,31.95,31.95,31.85,31.85,15935.0,
2020-03-30,31.95,32.0,28.8,32.0,386005.0,
2020-03-31,32.2,32.5,31.9,32.0,2560020.0,
2020-04-01,32.0,32.2,32.0,32.2,44359060.0,
2020-04-02,31.5,32.0,31.1,32.0,12082860.0,
2020-04-03,32.9,32.9,32.9,32.9,3290.0,
2020-04-06,32.9,32.9,32.0,32.0,14455650.0,
2020-04-07,32.0,32.5,31.3,32.0,21380420.0,
2020-04-08,31.7,32.0,31.1,32.0,1152855.0,
2020-04-13,32.0,32.0,31.0,31.95,1646030.0,
2020-04-14,31.05,32.0,31.05,32.0,651990.0,
2020-04-15,32.0,32.6,32.0,32.5,1647550.0,
2020-04-16,34.0,36.0,32.55,33.9,5714175.0,
2020-04-17,33.8,33.8,32.5,32.6,3888280.0,
2020-04-20,33.8,33.8,32.6,32.6,1327400.0,
2020-04-21,32.5,32.6,32.5,32.6,45570.0,
2020-04-22,32.6,32.6,31.05,32.5,958595.0,
2020-04-23,32.2,33.15,32.0,33.15,90165.0,
2020-04-24,,,,,,
2020-04-27,32.4,32.4,32.0,32.4,32350.0,
2020-04-28,32.4,32.4,31.5,32.4,29070.0,
2020-04-29,32.3,32.4,32.0,32.0,1810370.0,
2020-04-30,32.4,32.4,31.05,32.35,107835.0,
2020-05-04,31.9,32.3,31.05,31.6,1338620.0,
2020-05-05,31.6,32.15,31.5,31.5,800700.0,
2020-05-06,31.55,31.6,30.05,31.0,399320.0,
2020-05-07,31.0,31.0,30.0,30.95,1429530.0,
2020-05-08,31.35,31.35,30.0,31.3,238895.0,
2020-05-11,30.05,30.95,30.0,30.95,523615.0,
2020-05-12,30.95,31.0,30.95,30.95,18575.0,
2020-05-13,30.2,30.9,30.0,30.9,1035215.0,
2020-05-14,30.9,30.9,30.0,30.0,296535.0,
2020-05-15,30.9,30.9,29.6,30.45,248190.0,
2020-05-18,30.9,30.9,30.0,30.0,914010.0,
2020-05-19,30.5,30.5,29.7,30.0,1550505.0,
2020-05-20,30.45,30.45,29.2,30.0,1247460.0,
2020-05-21,29.95,29.95,29.95,29.95,8985.0,
2020-05-22,29.4,30.0,29.4,30.0,97340.0,
2020-05-26,29.3,30.0,29.0,29.9,1064995.0,
2020-05-27,29.85,29.85,29.8,29.85,23865.0,
2020-05-28,30.0,30.0,29.1,29.85,38355.0,
2020-05-29,30.0,30.3,29.0,30.15,1833880.0,
2020-06-01,30.0,30.5,29.0,30.4,1488300.0,
2020-06-02,30.1,32.4,30.1,31.5,1378085.0,
2020-06-03,31.7,32.4,31.2,31.75,1166535.0,
2020-06-04,31.5,31.75,31.0,31.75,625800.0,
2020-06-05,31.75,31.75,31.0,31.75,2109245.0,
2020-06-08,31.75,33.0,31.5,33.0,3583380.0,
2020-06-09,33.5,35.0,33.5,34.0,3013565.0,
2020-06-10,35.0,37.0,34.9,36.8,4302265.0,
2020-06-11,36.85,36.85,35.0,36.0,1308190.0,
2020-06-15,35.5,35.5,34.5,34.8,5463430.0,
2020-06-16,34.8,34.9,34.7,34.8,5042585.0,
2020-06-17,34.9,35.0,34.8,35.0,2880170.0,
2020-06-18,35.0,35.0,34.8,34.8,2955280.0,
2020-06-19,34.6,34.6,31.4,31.4,7038690.0,
2020-06-22,31.6,32.55,31.55,31.6,3196485.0,
2020-06-23,31.6,31.7,31.5,31.6,2697375.0,
2020-06-24,33.0,33.3,32.0,32.5,928420.0,
2020-06-25,32.8,32.8,31.5,31.6,1792465.0,
2020-06-26,32.0,32.4,31.5,31.6,7129280.0,
2020-06-29,31.5,31.5,31.25,31.5,3414885.0,
2020-06-30,31.25,31.25,30.95,31.0,11088700.0,
2020-07-01,31.5,32.0,30.75,31.95,295935.0,
2020-07-02,31.0,32.4,31.0,31.5,3120750.0,
2020-07-03,32.4,32.4,31.5,32.0,124180.0,
2020-07-06,32.0,32.0,31.6,31.6,306640.0,
2020-07-07,31.6,32.0,31.5,31.5,246545.0,
2020-07-08,31.5,32.0,31.0,31.6,2184810.0,
2020-07-09,31.6,31.6,31.5,31.5,1496280.0,
2020-07-10,31.55,31.55,31.5,31.55,1710600.0,
2020-07-13,31.55,31.55,31.5,31.55,1388185.0,
2020-07-14,31.55,31.6,31.5,31.5,1694790.0,
2020-07-15,31.6,31.6,31.0,31.5,2966925.0,
2020-07-16,31.5,31.6,31.5,31.5,2126510.0,
2020-07-17,32.0,32.0,32.0,32.0,374400.0,
2020-07-20,32.0,32.0,32.0,32.0,124800.0,
2020-07-21,31.8,31.8,31.8,31.8,3180.0,
2020-07-22,30.75,31.0,30.7,31.0,441385.0,
2020-07-23,30.55,31.3,30.4,31.3,204755.0,
2020-07-24,31.6,31.6,31.55,31.55,25255.0,
2020-07-27,30.5,31.0,30.4,31.0,1361775.0,
2020-07-28,30.2,30.95,30.2,30.9,18335.0,
2020-07-29,30.9,30.9,30.9,30.9,2938590.0,
2020-07-30,31.95,33.9,31.9,33.0,4415330.0,
2020-08-03,33.0,33.3,32.0,33.0,3589620.0,
2020-08-04,,,,33.7,,2600.0
2020-08-05,,,,33.9,,86000.0
2020-08-06,,,,35.0,,230100.0
2020-08-07,,,,36.6,,137700.0
2020-08-10,,,,38.0,,82300.0
2020-08-11,,,,38.6,,118700.0
2020-08-12,,,,38.55,,8100.0
2020-08-13,,,,39.0,,35500.0
2020-08-14,,,,39.7,,41800.0
2020-08-17,,,,39.45,,10300.0
2020-08-18,,,,40.0,,12700.0
2020-08-19,,,,39.9,,1900.0
