dt,open,high,low,close,value,volume
2020-03-02,711.0,740.0,705.0,721.5,70760840.0,
2020-03-03,721.5,730.0,715.0,721.0,37977580.0,
2020-03-04,718.0,748.5,715.0,748.5,43864810.0,
2020-03-05,735.0,748.0,720.5,722.0,52386605.0,
2020-03-06,720.0,720.0,710.0,710.0,149027630.0,
2020-03-09,700.0,700.0,612.0,612.0,163653605.0,
2020-03-10,610.0,639.5,600.0,618.0,64763355.0,
2020-03-11,620.0,643.0,610.5,622.0,54997575.0,
2020-03-12,612.0,612.0,551.5,580.0,171631855.0,
2020-03-13,550.0,586.0,470.0,570.0,94684706.0,
2020-03-16,570.0,570.0,501.0,511.5,32792770.0,
2020-03-19,486.0,509.0,290.0,475.8,71907689.0,
2020-03-20,475.8,496.4,407.0,407.0,79791400.0,
2020-03-23,400.0,410.0,381.0,390.0,74111708.0,
2020-03-24,400.2,418.0,389.0,389.0,45377730.0,
2020-03-25,418.0,430.0,402.2,430.0,60617316.0,
2020-03-26,448.0,448.0,410.2,419.0,90544350.0,
2020-03-27,429.0,440.0,401.2,409.0,128217236.0,
2020-03-30,419.8,419.8,382.0,390.0,133070978.0,
2020-03-31,402.6,415.4,402.0,407.0,94972570.0,
2020-04-01,408.2,410.0,402.0,403.0,79650806.0,
2020-04-02,403.0,409.0,400.2,403.2,51051624.0,
2020-04-03,405.2,407.6,395.2,399.0,82905470.0,
2020-04-06,403.0,409.8,399.0,400.0,106154744.0,
2020-04-07,410.0,419.8,403.4,404.0,134370204.0,
2020-04-08,404.0,404.0,399.0,399.0,84790682.0,
2020-04-13,401.0,411.0,400.0,400.0,54684836.0,
2020-04-14,405.2,438.8,405.2,430.0,117530206.0,
2020-04-15,441.0,490.0,441.0,490.0,168041578.0,
2020-04-16,475.0,480.0,450.0,450.0,197754204.0,
2020-04-17,475.0,490.0,470.0,490.0,109330804.0,
2020-04-20,498.0,513.0,480.0,494.0,69123788.0,
2020-04-21,492.8,494.0,467.0,475.0,96097168.0,
2020-04-22,463.0,463.0,433.0,450.8,155112780.0,
2020-04-23,461.0,464.0,449.8,450.8,134470256.0,
2020-04-24,449.0,449.0,441.2,443.4,94371850.0,
2020-04-27,444.0,449.8,433.0,435.6,83965410.0,
2020-04-28,448.0,453.6,440.0,450.0,99339224.0,
2020-04-29,452.0,464.0,451.0,460.0,59462150.0,
2020-04-30,464.0,469.0,447.0,453.0,78917472.0,
2020-05-04,451.8,451.8,433.4,435.2,47625606.0,
2020-05-05,440.0,444.2,440.0,443.0,33198934.0,
2020-05-06,444.8,445.0,420.0,422.0,129469842.0,
2020-05-07,430.0,435.0,416.0,416.0,79105650.0,
2020-05-08,420.4,424.0,408.0,412.2,70081614.0,
2020-05-11,415.6,425.0,415.0,420.0,73917312.0,
2020-05-12,420.4,431.8,420.0,420.0,15896466.0,
2020-05-13,424.0,424.6,415.2,420.0,44299054.0,
2020-05-14,422.8,422.8,402.0,404.0,107055624.0,
2020-05-15,404.0,409.0,400.2,400.4,87982838.0,
2020-05-18,402.0,402.0,388.2,388.4,87042374.0,
2020-05-19,400.0,405.0,380.4,382.0,127300098.0,
2020-05-20,390.0,390.0,374.0,374.0,96600270.0,
2020-05-21,376.0,380.0,364.0,368.0,90474988.0,
2020-05-22,370.0,389.6,368.4,372.2,70761142.0,
2020-05-26,375.0,380.0,372.8,375.4,52751142.0,
2020-05-27,380.0,383.0,366.0,370.0,90156718.0,
2020-05-28,370.0,378.8,360.0,370.0,133107620.0,
2020-05-29,370.0,387.0,365.0,387.0,253004062.0,
2020-06-01,387.0,387.0,368.0,376.0,520047528.0,
2020-06-02,374.8,374.8,360.2,371.0,317401752.0,
2020-06-03,376.0,387.0,373.0,385.0,638310980.0,
2020-06-04,401.0,449.0,399.6,444.0,950338056.0,
2020-06-05,448.2,496.0,425.0,480.0,852335096.0,
2020-06-08,500.0,534.0,484.8,512.5,718084873.0,
2020-06-09,518.0,530.0,485.0,530.0,306122899.0,
2020-06-10,519.0,519.0,495.0,503.0,401764805.0,
2020-06-11,490.0,498.0,480.0,490.0,277180912.0,
2020-06-15,465.0,487.0,450.0,462.0,246157942.0,
2020-06-16,473.4,493.0,473.0,491.0,154842222.0,
2020-06-17,501.0,504.5,471.0,476.0,162725464.0,
2020-06-18,485.0,485.0,470.0,482.0,91166594.0,
2020-06-19,479.6,484.0,470.0,474.0,178677712.0,
2020-06-22,476.0,476.0,465.0,469.0,99500552.0,
2020-06-23,470.4,489.0,465.2,484.0,252604082.0,
2020-06-24,485.0,487.6,470.4,470.4,55516886.0,
2020-06-25,466.0,466.0,455.0,456.0,148528574.0,
2020-06-26,457.0,464.0,455.0,455.0,65879132.0,
2020-06-29,450.0,450.2,439.0,449.0,81812998.0,
2020-06-30,451.0,459.0,451.0,454.2,64920924.0,
2020-07-01,456.0,465.0,456.0,459.0,162124876.0,
2020-07-02,463.0,470.0,460.0,468.0,187696446.0,
2020-07-03,473.0,482.0,459.0,460.0,106306424.0,
2020-07-06,459.8,469.0,448.0,459.6,77528066.0,
2020-07-07,460.2,464.4,450.4,455.0,179702418.0,
2020-07-08,454.0,454.0,450.0,450.0,74257470.0,
2020-07-09,451.0,453.0,448.0,448.0,86405298.0,
2020-07-10,448.0,450.0,439.4,450.0,56755450.0,
2020-07-13,450.0,453.0,445.0,451.0,47030008.0,
2020-07-14,451.0,457.0,445.6,452.0,46565964.0,
2020-07-15,455.0,455.0,421.0,430.0,77841238.0,
2020-07-16,428.2,450.0,428.2,450.0,47897266.0,
2020-07-17,450.0,453.8,440.2,448.0,49293690.0,
2020-07-20,450.0,455.0,444.0,452.0,23725852.0,
2020-07-21,450.0,450.0,439.8,439.8,37436732.0,
2020-07-22,439.8,444.8,439.8,441.8,26308274.0,
2020-07-23,441.8,441.8,434.8,438.0,60399386.0,
2020-07-24,438.0,438.8,435.0,437.8,35510698.0,
2020-07-27,437.0,437.6,423.0,433.4,117821780.0,
2020-07-28,433.0,433.0,418.0,425.0,49533920.0,
2020-07-29,424.6,430.0,423.0,425.0,43120464.0,
2020-07-30,425.4,439.0,424.0,439.0,40706656.0,
2020-08-03,419.0,422.0,405.0,415.0,77043486.0,
2020-08-04,,,,409.0,,75080.0
2020-08-05,,,,405.2,,208610.0
2020-08-06,,,,409.6,,192680.0
2020-08-07,,,,400.6,,162890.0
2020-08-10,,,,401.6,,69060.0
2020-08-11,,,,400.0,,309420.0
2020-08-12,,,,404.0,,163420.0
2020-08-13,,,,410.0,,283530.0
2020-08-14,,,,401.0,,242400.0
2020-08-17,,,,424.0,,248110.0
2020-08-18,,,,424.0,,220730.0
2020-08-19,,,,407.0,,345050.0
2020-08-20,,,,407.0,,199490.0
2020-08-24,,,,400.0,,400170.0
2020-08-25,,,,401.0,,237820.0
2020-08-26,,,,404.0,,188960.0
2020-08-27,,,,405.0,,142550.0
2020-08-28,,,,400.0,,261300.0
2020-09-01,,,,388.0,,411960.0
2020-09-02,,,,384.6,,261840.0
2020-09-03,,,,380.0,,371360.0
2020-09-04,,,,380.0,,243100.0
2020-09-07,,,,385.0,,381400.0
2020-09-08,,,,400.0,,268440.0
2020-09-09,,,,404.8,,169870.0
2020-09-10,,,,402.8,,262250.0
2020-09-11,,,,406.0,,197240.0
2020-09-14,,,,403.0,,264650.0
2020-09-15,,,,403.0,,131600.0
2020-09-16,,,,404.8,,96980.0
2020-09-17,,,,397.0,,164720.0
2020-09-18,,,,404.8,,173890.0
2020-09-21,,,,399.2,,98230.0
2020-09-22,,,,394.4,,84670.0
2020-09-23,,,,392.0,,243730.0
2020-09-24,,,,390.0,,106570.0
2020-09-25,,,,395.0,,132590.0
2020-09-28,,,,397.0,,67330.0
