dt,open,high,low,close,value,volume
2020-03-02,4.59,4.59,4.59,4.59,18360.0,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,4.59,4.59,4.59,4.59,22950.0,
2020-03-06,,,,,,
2020-03-09,4.31,4.58,4.31,4.31,51990.0,
2020-03-10,4.3,4.3,4.3,4.3,55900.0,
2020-03-11,4.02,4.08,4.02,4.08,109260.0,
2020-03-12,4.08,4.08,4.0,4.0,508660.0,
2020-03-13,3.6,3.6,3.6,3.6,1004400.0,
2020-03-16,,,,,,
2020-03-19,3.6,3.6,3.6,3.6,18000.0,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,3.6,3.6,3.6,3.6,36000.0,
2020-03-25,3.6,3.6,3.6,3.6,14400.0,
2020-03-26,3.6,3.6,3.6,3.6,360000.0,
2020-03-27,3.6,3.8,3.6,3.6,873500.0,
2020-03-30,3.65,3.65,3.6,3.6,428600.0,
2020-03-31,3.6,3.7,3.6,3.7,1064300.0,
2020-04-01,3.6,3.61,3.6,3.61,252200.0,
2020-04-02,3.61,3.7,3.61,3.61,54240.0,
2020-04-03,3.7,3.7,3.7,3.7,3700.0,
2020-04-06,3.8,3.8,3.6,3.71,432110.0,
2020-04-07,3.71,3.79,3.6,3.79,564920.0,
2020-04-08,3.8,3.8,3.8,3.8,41800.0,
2020-04-13,3.8,3.82,3.8,3.82,292860.0,
2020-04-14,3.61,3.9,3.61,3.82,588290.0,
2020-04-15,3.82,3.88,3.82,3.88,779360.0,
2020-04-16,3.88,3.88,3.88,3.88,3880.0,
2020-04-17,3.9,3.9,3.89,3.89,42870.0,
2020-04-20,3.95,3.95,3.94,3.95,35480.0,
2020-04-21,3.95,3.95,3.95,3.95,7900.0,
2020-04-22,3.94,3.94,3.94,3.94,63040.0,
2020-04-23,3.94,3.94,3.94,3.94,3940.0,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,3.61,3.92,3.6,3.7,241500.0,
2020-04-29,3.71,3.71,3.7,3.7,551310.0,
2020-04-30,,,,,,
2020-05-04,3.63,3.69,3.62,3.69,83400.0,
2020-05-05,,,,,,
2020-05-06,3.65,3.65,3.64,3.64,10930.0,
2020-05-07,3.69,3.69,3.69,3.69,7380.0,
2020-05-08,3.69,3.69,3.6,3.6,140640.0,
2020-05-11,3.8,3.8,3.79,3.8,98740.0,
2020-05-12,,,,,,
2020-05-13,3.8,3.8,3.8,3.8,76000.0,
2020-05-14,3.53,3.67,3.5,3.67,56850.0,
