dt,open,high,low,close,value,volume
2020-03-02,13.2,13.36,13.0,13.2,15827232.0,
2020-03-03,13.1,13.4,13.04,13.2,18614908.0,
2020-03-04,13.2,13.2,13.0,13.14,26336224.0,
2020-03-05,13.1,13.38,13.1,13.36,37267920.0,
2020-03-06,13.36,13.36,13.28,13.36,5224208.0,
2020-03-09,13.34,13.36,12.5,13.24,16087344.0,
2020-03-10,12.9,14.08,12.9,13.6,21598386.0,
2020-03-11,13.6,13.6,13.3,13.6,3286490.0,
2020-03-12,13.3,13.3,12.9,13.1,9108806.0,
2020-03-13,12.5,13.1,11.02,13.1,3654200.0,
2020-03-16,12.02,13.0,12.02,12.22,518344.0,
2020-03-19,12.22,12.22,11.04,11.8,1293066.0,
2020-03-20,11.2,12.4,10.08,12.4,5250636.0,
2020-03-23,10.7,12.36,10.7,12.36,13430.0,
2020-03-24,10.32,12.3,10.32,12.3,13332.0,
2020-03-25,10.7,12.3,10.7,12.28,1411684.0,
2020-03-26,,,,,,
2020-03-27,12.0,12.36,11.8,12.36,4423930.0,
2020-03-30,11.6,12.4,11.6,12.3,199116.0,
2020-03-31,12.28,12.28,12.28,12.28,2763000.0,
2020-04-01,12.28,12.28,12.2,12.2,6103678.0,
2020-04-02,11.62,12.2,11.62,11.84,8303164.0,
2020-04-03,11.98,11.98,11.98,11.98,20366.0,
2020-04-06,11.98,12.3,11.8,12.3,1920760.0,
2020-04-07,12.3,12.3,12.06,12.2,6190334.0,
2020-04-08,,,,,,
2020-04-13,12.16,12.2,11.6,12.2,2126652.0,
2020-04-14,12.18,12.2,11.7,12.0,7117500.0,
2020-04-15,12.18,12.18,11.64,12.0,6424210.0,
2020-04-16,11.7,11.96,11.58,11.58,4935756.0,
2020-04-17,11.58,11.98,11.5,11.98,4916050.0,
2020-04-20,11.5,11.96,11.36,11.6,4322546.0,
2020-04-21,11.44,11.62,11.22,11.48,1636934.0,
2020-04-22,11.48,11.48,11.02,11.4,1705550.0,
2020-04-23,11.02,11.4,11.02,11.36,3439778.0,
2020-04-24,11.4,11.4,10.9,11.28,6487928.0,
2020-04-27,11.94,11.94,11.0,11.18,6295240.0,
2020-04-28,11.22,11.3,11.08,11.2,8139400.0,
2020-04-29,11.2,11.2,10.98,11.2,7454012.0,
2020-04-30,11.2,11.5,11.2,11.5,6572410.0,
2020-05-04,11.3,11.56,11.3,11.5,2466640.0,
2020-05-05,11.5,11.6,11.48,11.6,6523618.0,
2020-05-06,11.62,11.72,11.1,11.48,16939680.0,
2020-05-07,11.48,11.6,11.2,11.3,18063366.0,
2020-05-08,11.3,11.3,11.12,11.3,11789446.0,
2020-05-11,9.94,9.94,8.21,8.75,39422915.0,
2020-05-12,8.7,8.7,7.5,7.81,29318701.0,
2020-05-13,7.69,8.21,7.55,7.84,27707512.0,
2020-05-14,7.9,7.9,7.58,7.68,6507984.0,
2020-05-15,7.79,7.79,7.56,7.68,2726841.0,
2020-05-18,7.68,7.9,6.6,7.89,10124880.0,
2020-05-19,7.92,8.0,7.0,7.9,5330410.0,
2020-05-20,7.75,7.89,7.69,7.8,2266657.0,
2020-05-21,7.75,7.85,7.66,7.79,1573324.0,
2020-05-22,7.78,7.78,7.61,7.77,1521743.0,
2020-05-26,7.77,7.84,7.35,7.6,3498082.0,
2020-05-27,7.7,7.73,7.6,7.68,1041056.0,
2020-05-28,7.7,7.74,7.63,7.7,1282235.0,
2020-05-29,7.68,7.75,7.6,7.68,2449453.0,
2020-06-01,7.68,7.76,7.5,7.6,5139240.0,
2020-06-02,7.6,7.73,7.49,7.68,3179139.0,
2020-06-03,7.68,7.9,7.65,7.87,7156500.0,
2020-06-04,7.95,7.95,7.88,7.91,7409406.0,
2020-06-05,7.92,7.92,7.71,7.82,10478005.0,
2020-06-08,7.92,8.5,7.9,8.41,81978806.0,
2020-06-09,8.8,8.93,8.0,8.18,72983929.0,
2020-06-10,8.2,8.21,7.61,7.7,36887163.0,
2020-06-11,7.69,7.84,7.52,7.72,23519948.0,
2020-06-15,7.65,7.65,7.12,7.47,16515262.0,
2020-06-16,7.5,7.65,7.47,7.53,11712053.0,
2020-06-17,7.59,7.59,7.35,7.36,12182700.0,
2020-06-18,7.36,7.4,7.02,7.05,15008146.0,
2020-06-19,7.0,7.04,6.8,6.84,54200235.0,
2020-06-22,6.87,6.88,6.2,6.52,53878969.0,
2020-06-23,6.52,6.54,6.18,6.3,55639487.0,
2020-06-24,6.45,7.2,6.35,6.96,94967529.0,
2020-06-25,7.2,7.2,6.5,6.58,34751176.0,
