dt,open,high,low,close,value,volume
2020-03-02,9.3,9.93,9.21,9.93,14318729.0,
2020-03-03,9.6,10.0,9.6,10.0,6914898.0,
2020-03-04,9.8,9.98,9.71,9.98,9209917.0,
2020-03-05,9.98,9.98,9.82,9.98,9596863.0,
2020-03-06,9.98,9.98,9.82,9.98,7846395.0,
2020-03-09,9.6,9.8,9.02,9.8,11844400.0,
2020-03-10,9.69,9.69,9.14,9.4,13363522.0,
2020-03-11,9.35,9.5,9.35,9.47,2930378.0,
2020-03-12,9.37,9.37,8.12,8.25,7390469.0,
2020-03-13,8.19,8.19,7.03,7.49,14927794.0,
2020-03-16,7.0,7.49,6.53,6.99,11080548.0,
2020-03-19,6.6,6.6,5.03,5.5,9671087.0,
2020-03-20,5.42,5.99,5.0,5.05,10954727.0,
2020-03-23,5.04,5.16,4.5,4.5,3256923.0,
2020-03-24,4.5,4.8,4.5,4.5,3765210.0,
2020-03-25,4.79,4.79,4.51,4.51,4952910.0,
2020-03-26,4.79,4.79,4.55,4.58,5477050.0,
2020-03-27,4.68,4.85,4.25,4.6,15593430.0,
2020-03-30,4.6,4.6,4.31,4.49,8562070.0,
2020-03-31,4.5,4.8,4.49,4.68,36159830.0,
2020-04-01,4.74,5.35,4.74,4.94,67991650.0,
2020-04-02,5.0,5.22,4.85,4.9,32925010.0,
2020-04-03,5.0,5.03,4.71,4.72,16836960.0,
2020-04-06,4.8,4.8,4.53,4.58,19879250.0,
2020-04-07,4.75,4.79,4.64,4.65,6913270.0,
2020-04-08,4.62,4.74,4.62,4.7,4098310.0,
2020-04-13,4.74,5.06,4.74,4.95,10941010.0,
2020-04-14,5.05,5.74,5.05,5.54,35348970.0,
2020-04-15,6.1,6.25,5.8,6.0,32733872.0,
2020-04-16,5.85,5.88,5.44,5.44,19738798.0,
2020-04-17,5.5,5.9,5.48,5.8,12298297.0,
2020-04-20,5.95,6.35,5.54,6.2,26866666.0,
2020-04-21,6.1,6.1,5.7,5.94,18192177.0,
2020-04-22,5.86,5.95,5.61,5.89,13651618.0,
2020-04-23,5.99,6.0,5.75,5.95,17122020.0,
2020-04-24,5.9,5.9,5.7,5.75,9488023.0,
2020-04-27,5.75,5.8,5.5,5.67,6002251.0,
2020-04-28,5.67,5.9,5.62,5.83,10129246.0,
2020-04-29,5.83,5.83,5.7,5.7,83171578.0,
2020-04-30,5.8,6.35,5.8,6.18,39515995.0,
2020-05-04,6.18,6.2,5.8,5.95,21324344.0,
2020-05-05,6.0,6.2,5.95,5.98,5115633.0,
2020-05-06,6.01,6.1,6.01,6.1,6371480.0,
