dt,open,high,low,close,value,volume
2020-03-02,14.0,14.2,14.0,14.16,24691310.0,
2020-03-03,14.16,14.18,14.1,14.1,18064966.0,
2020-03-04,14.1,14.2,14.1,14.18,9094764.0,
2020-03-05,14.2,14.2,14.18,14.18,8801600.0,
2020-03-06,14.2,14.2,14.16,14.16,13160082.0,
2020-03-09,14.1,14.2,14.1,14.1,26007898.0,
2020-03-10,13.94,14.16,13.94,14.0,7876396.0,
2020-03-11,14.1,14.22,14.1,14.14,9467260.0,
2020-03-12,14.14,14.14,14.08,14.08,12067204.0,
2020-03-13,14.0,14.02,14.0,14.0,8209860.0,
2020-03-16,14.0,14.1,14.0,14.0,2699432.0,
2020-03-19,14.0,14.0,13.5,13.5,6542658.0,
2020-03-20,13.5,14.0,13.4,14.0,19003878.0,
2020-03-23,13.5,13.5,13.5,13.5,9525600.0,
2020-03-24,13.0,13.24,12.8,13.0,15991932.0,
2020-03-25,13.0,13.16,12.8,13.0,11686922.0,
2020-03-26,13.0,13.2,12.9,12.9,4269400.0,
2020-03-27,12.9,12.9,12.5,12.5,5654442.0,
2020-03-30,11.82,12.48,11.6,11.98,278602.0,
2020-03-31,11.98,12.0,11.8,11.96,1821982.0,
2020-04-01,11.98,12.0,11.78,11.96,4055694.0,
2020-04-02,11.9,11.9,11.8,11.8,1034798.0,
2020-04-03,11.8,11.9,11.6,11.6,1324762.0,
2020-04-06,11.6,11.88,11.6,11.6,857510.0,
2020-04-07,11.6,11.64,11.6,11.64,1245166.0,
2020-04-08,11.8,11.8,11.54,11.6,2494808.0,
2020-04-13,11.96,11.96,11.54,11.56,76410.0,
2020-04-14,11.6,11.66,11.54,11.6,990876.0,
2020-04-15,11.58,11.66,11.58,11.66,1723446.0,
2020-04-16,11.66,12.1,11.62,12.0,2907868.0,
2020-04-17,11.98,11.98,11.54,11.8,3286704.0,
2020-04-20,11.8,11.8,11.58,11.58,1868374.0,
2020-04-21,11.58,11.7,11.58,11.6,492968.0,
2020-04-22,11.6,11.6,11.5,11.5,1228220.0,
2020-04-23,11.56,11.56,11.5,11.5,106956.0,
2020-04-24,11.48,11.48,10.0,10.5,585218.0,
2020-04-27,10.88,10.88,10.72,10.8,299164.0,
2020-04-28,11.0,11.0,10.72,10.74,19382.0,
2020-04-29,10.72,11.0,10.7,10.7,212214.0,
2020-04-30,10.7,10.9,10.68,10.9,82884.0,
2020-05-04,10.9,10.9,10.68,10.68,32128.0,
2020-05-05,10.68,10.8,10.62,10.62,80220.0,
2020-05-06,10.64,10.96,10.6,10.62,132850.0,
2020-05-07,10.6,10.6,10.5,10.52,189850.0,
2020-05-08,10.5,10.5,10.4,10.4,213420.0,
2020-05-11,10.4,10.5,10.3,10.3,157862.0,
2020-05-12,10.3,10.3,10.22,10.22,227584.0,
2020-05-13,10.3,10.3,10.26,10.26,264022.0,
2020-05-14,10.2,10.22,10.2,10.22,85732.0,
2020-05-15,10.18,10.2,10.14,10.2,275560.0,
2020-05-18,10.2,10.36,10.2,10.32,245406.0,
2020-05-19,10.18,10.18,10.12,10.12,169478.0,
2020-05-20,10.12,10.36,9.9,10.36,31556.0,
2020-05-21,9.9,10.36,9.9,10.0,250682.0,
2020-05-22,9.91,10.3,9.9,10.3,198750.0,
2020-05-26,10.1,10.12,10.06,10.06,113220.0,
2020-05-27,10.1,10.1,10.1,10.1,30300.0,
2020-05-28,10.02,10.02,10.02,10.02,44088.0,
2020-05-29,9.8,10.02,9.8,9.82,61250.0,
2020-06-01,10.28,10.3,10.28,10.3,38090.0,
2020-06-02,10.02,10.3,10.02,10.3,4092.0,
2020-06-03,,,,,,
