dt,open,high,low,close,value,volume
2020-03-02,404.2,429.6,403.2,410.0,32494186.0,
2020-03-03,405.0,410.0,405.0,410.0,12200.0,
2020-03-04,410.0,410.0,410.0,410.0,82000.0,
2020-03-05,404.0,429.8,403.2,414.0,33608020.0,
2020-03-06,,,,,,
2020-03-09,404.0,429.0,390.0,403.0,34598352.0,
2020-03-10,383.2,400.0,370.2,375.0,408544.0,
2020-03-11,375.0,375.0,370.0,370.0,74500.0,
2020-03-12,370.0,370.0,348.0,364.0,154580.0,
2020-03-13,300.2,355.4,270.0,355.0,468202.0,
2020-03-16,348.8,354.8,348.8,349.0,178042.0,
2020-03-19,339.0,339.0,339.0,339.0,71190.0,
2020-03-20,338.0,338.0,335.0,335.0,37150.0,
2020-03-23,334.0,335.0,334.0,335.0,174180.0,
2020-03-24,334.0,340.0,330.0,330.0,56916.0,
2020-03-25,300.0,300.0,300.0,300.0,3000.0,
2020-03-26,301.4,399.8,301.4,340.0,669974.0,
2020-03-27,341.0,371.0,341.0,371.0,103580.0,
2020-03-30,,,,,,
2020-03-31,360.0,396.0,330.0,368.0,289264.0,
2020-04-01,365.0,365.0,365.0,365.0,14600.0,
2020-04-02,,,,,,
2020-04-03,350.0,378.8,350.0,378.8,38788.0,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,369.0,369.0,368.0,369.0,36890.0,
2020-04-14,360.0,360.0,304.0,336.0,237500.0,
2020-04-15,336.0,341.0,330.0,341.0,689946.0,
2020-04-16,341.0,341.0,330.0,337.0,77220.0,
2020-04-17,323.0,340.0,323.0,330.0,106610.0,
2020-04-20,330.0,330.0,320.0,330.0,190000.0,
2020-04-21,330.0,330.0,320.0,330.0,68650.0,
2020-04-22,330.0,330.0,330.0,330.0,135300.0,
2020-04-23,320.0,320.0,320.0,320.0,32000.0,
2020-04-24,320.0,320.0,320.0,320.0,19200.0,
2020-04-27,323.0,323.0,323.0,323.0,9690.0,
2020-04-28,319.0,323.0,317.0,317.0,44506.0,
2020-04-29,320.0,329.0,310.8,310.8,363740.0,
2020-04-30,339.8,339.8,312.4,312.4,106992.0,
2020-05-04,315.0,324.0,307.0,307.0,44110.0,
2020-05-05,306.0,306.0,306.0,306.0,70380.0,
2020-05-06,334.6,334.6,334.6,334.6,3346.0,
2020-05-07,306.2,325.0,306.2,312.0,50612.0,
2020-05-08,312.0,312.0,311.8,311.8,34310.0,
2020-05-11,311.8,320.0,311.8,320.0,284336.0,
2020-05-12,320.0,320.0,320.0,320.0,3200.0,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,306.0,306.0,300.0,302.0,693150.0,
2020-05-18,290.0,290.2,290.0,290.2,8704.0,
2020-05-19,300.0,300.0,300.0,300.0,123000.0,
2020-05-20,300.0,300.0,300.0,300.0,81000.0,
2020-05-21,300.0,300.0,300.0,300.0,15000.0,
2020-05-22,315.0,315.4,315.0,315.4,15758.0,
2020-05-26,300.0,300.0,295.0,295.0,20950.0,
2020-05-27,294.8,295.0,294.8,295.0,23594.0,
2020-05-28,290.0,290.4,290.0,290.4,58040.0,
2020-05-29,290.0,290.0,290.0,290.0,292900.0,
