dt,open,high,low,close,value,volume
2020-03-02,104.5,108.9,104.4,106.0,195666637.0,
2020-03-03,108.4,108.4,106.0,106.0,175729614.0,
2020-03-04,105.9,106.5,104.1,105.7,302848701.0,
2020-03-05,107.0,109.0,104.1,105.1,259522021.0,
2020-03-06,104.0,104.0,98.6,102.0,314408027.5,
2020-03-09,97.0,98.0,87.3,89.0,210236202.5,
2020-03-10,86.7,92.95,84.35,92.0,557429717.5,
2020-03-11,92.2,100.0,89.95,90.05,371934004.5,
2020-03-12,87.0,87.0,80.0,80.05,361136431.5,
2020-03-13,80.05,88.0,72.0,85.0,373548400.5,
2020-03-16,80.75,86.5,75.0,85.0,172813230.0,
2020-03-19,75.95,76.0,61.85,71.5,335784967.5,
2020-03-20,71.65,77.0,71.65,76.0,255917415.0,
2020-03-23,72.5,73.0,66.1,69.5,108757830.5,
2020-03-24,68.5,71.0,66.05,66.05,200883892.5,
2020-03-25,69.5,70.95,68.0,69.0,153867546.5,
2020-03-26,70.2,75.5,70.0,74.1,123390811.5,
2020-03-27,76.2,78.5,74.2,74.25,160694580.0,
2020-03-30,74.2,74.2,69.0,74.0,78327630.5,
2020-03-31,73.95,76.25,72.5,74.7,143785881.5,
2020-04-01,73.0,77.0,72.5,77.0,104875753.5,
2020-04-02,73.15,74.0,72.0,72.0,155630570.5,
2020-04-03,72.5,73.75,70.0,70.0,182048192.0,
2020-04-06,71.15,74.0,71.0,74.0,114387304.0,
2020-04-07,76.1,77.3,73.05,75.0,155774950.0,
2020-04-08,74.9,75.95,72.85,73.75,99338981.5,
2020-04-13,73.5,74.8,73.5,74.8,242928415.5,
2020-04-14,75.2,84.0,75.2,80.9,174166567.5,
2020-04-15,82.0,86.0,82.0,84.5,201581641.5,
2020-04-16,82.5,83.0,75.2,75.2,207994458.0,
2020-04-17,78.2,81.0,78.2,80.5,251585533.5,
2020-04-20,82.0,82.95,79.95,80.45,50010507.0,
2020-04-21,79.4,79.4,77.0,77.0,194645480.0,
2020-04-22,76.6,81.05,75.3,81.05,76679990.5,
2020-04-23,81.0,83.45,80.0,82.2,95146779.5,
2020-04-24,82.2,82.2,78.0,78.0,63779560.0,
