dt,open,high,low,close,value,volume
2020-03-02,2.5,2.55,2.35,2.5,817900.0,
2020-03-03,2.67,2.87,2.56,2.61,1326180.0,
2020-03-04,2.6,2.65,2.45,2.51,599790.0,
2020-03-05,2.52,2.6,2.52,2.55,333570.0,
2020-03-06,2.52,2.64,2.49,2.52,300440.0,
2020-03-09,2.4,2.4,2.08,2.1,1528700.0,
2020-03-10,2.08,2.15,2.0,2.1,1036020.0,
2020-03-11,2.14,2.2,1.98,1.98,1162080.0,
2020-03-12,1.98,1.98,1.8,1.8,850370.0,
2020-03-13,1.56,1.9,1.5,1.9,1112340.0,
2020-03-16,1.89,1.98,1.79,1.9,542390.0,
2020-03-19,1.89,1.89,1.5,1.6,429800.0,
2020-03-20,1.8,1.9,1.6,1.71,226690.0,
2020-03-23,1.65,1.72,1.65,1.72,142740.0,
2020-03-24,1.72,1.85,1.7,1.71,198240.0,
2020-03-25,1.75,1.9,1.75,1.83,705620.0,
2020-03-26,1.88,2.08,1.86,2.0,1002300.0,
2020-03-27,2.07,2.08,1.86,2.04,942430.0,
2020-03-30,2.0,2.0,1.89,2.0,767570.0,
2020-03-31,1.98,2.27,1.98,2.09,1113180.0,
2020-04-01,2.08,2.09,2.01,2.02,605620.0,
2020-04-02,1.96,1.98,1.9,1.96,1288430.0,
2020-04-03,1.91,1.98,1.88,1.9,256620.0,
2020-04-06,1.9,1.91,1.84,1.85,328390.0,
2020-04-07,1.93,1.93,1.8,1.8,1257160.0,
2020-04-08,1.8,1.87,1.61,1.61,5229060.0,
2020-04-13,1.65,1.65,1.4,1.53,19399920.0,
2020-04-14,1.53,1.63,1.45,1.59,16406130.0,
2020-04-15,1.64,1.75,1.6,1.73,17944700.0,
2020-04-16,1.76,1.76,1.56,1.59,19134850.0,
2020-04-17,1.57,1.66,1.57,1.64,9571790.0,
2020-04-20,1.68,2.05,1.63,2.05,52818790.0,
2020-04-21,2.09,2.28,1.8,1.99,88771150.0,
2020-04-22,1.9,2.35,1.88,2.35,54005060.0,
2020-04-23,2.35,2.45,2.22,2.27,49609450.0,
2020-04-24,2.25,2.33,2.13,2.18,19911690.0,
2020-04-27,2.18,2.3,2.05,2.06,20187960.0,
2020-04-28,2.12,2.35,2.06,2.24,28031870.0,
