dt,open,high,low,close,value,volume
2020-03-02,4.92,4.96,4.53,4.69,2794650.0,
2020-03-03,4.75,4.8,4.57,4.61,4100920.0,
2020-03-04,4.61,4.61,4.5,4.54,3550600.0,
2020-03-05,4.61,4.74,4.48,4.72,3162940.0,
2020-03-06,4.74,4.8,4.51,4.65,4875750.0,
2020-03-09,4.48,4.48,4.28,4.29,2236570.0,
2020-03-10,4.28,4.52,4.27,4.39,832300.0,
2020-03-11,4.4,4.85,4.4,4.68,3203480.0,
2020-03-12,4.55,4.79,4.3,4.31,3625730.0,
2020-03-13,4.25,4.35,4.0,4.16,3876440.0,
2020-03-16,4.0,4.2,4.0,4.2,454540.0,
2020-03-19,4.08,4.08,3.2,3.38,3329090.0,
2020-03-20,3.42,3.52,3.38,3.52,131050.0,
2020-03-23,3.52,3.54,3.3,3.31,281840.0,
2020-03-24,3.54,3.7,3.33,3.6,1685910.0,
2020-03-25,3.71,3.99,3.71,3.84,929210.0,
2020-03-26,3.99,4.33,3.99,4.27,1165150.0,
2020-03-27,4.5,4.57,4.4,4.55,2308600.0,
2020-03-30,4.32,4.6,4.3,4.57,1227840.0,
2020-03-31,4.64,4.64,4.53,4.53,279030.0,
2020-04-01,4.5,4.69,4.5,4.52,305440.0,
2020-04-02,4.51,4.52,4.49,4.52,1240400.0,
2020-04-03,4.45,4.51,4.45,4.45,3675900.0,
2020-04-06,4.5,4.5,4.43,4.45,9490600.0,
2020-04-07,4.6,4.6,4.51,4.59,1022500.0,
2020-04-08,4.59,4.59,4.45,4.46,31330.0,
2020-04-13,4.47,4.6,4.47,4.47,233240.0,
2020-04-14,4.6,4.69,4.55,4.6,1233920.0,
2020-04-15,4.73,4.9,4.7,4.8,2989910.0,
2020-04-16,5.0,5.61,4.9,5.6,10399720.0,
2020-04-17,5.82,7.2,5.82,6.5,33412179.0,
2020-04-20,6.78,6.78,5.63,6.37,11911344.0,
2020-04-21,6.36,6.36,5.8,6.0,5306426.0,
2020-04-22,5.78,6.3,5.75,6.03,4505575.0,
2020-04-23,6.23,6.23,5.83,5.95,5000636.0,
2020-04-24,5.91,6.0,5.7,5.8,3605959.0,
2020-04-27,5.7,6.15,5.7,5.82,3774059.0,
2020-04-28,5.85,6.0,5.81,6.0,6242840.0,
2020-04-29,6.07,6.1,5.8,5.85,3616171.0,
2020-04-30,5.85,5.92,5.78,5.91,964713.0,
2020-05-04,5.89,5.89,5.46,5.56,5112643.0,
2020-05-05,5.66,5.7,5.53,5.56,4707125.0,
2020-05-06,5.56,5.67,5.48,5.5,4030063.0,
2020-05-07,5.59,5.59,5.25,5.3,3298658.0,
2020-05-08,5.3,5.43,5.26,5.32,1359232.0,
2020-05-11,5.43,5.43,5.2,5.21,1198074.0,
2020-05-12,5.2,5.4,5.0,5.26,2568601.0,
2020-05-13,5.45,5.45,5.26,5.26,261702.0,
2020-05-14,5.26,5.35,5.18,5.29,1291843.0,
2020-05-15,5.29,5.38,5.2,5.22,1734212.0,
2020-05-18,5.12,5.25,5.05,5.2,338572.0,
2020-05-19,5.22,5.49,5.22,5.46,1626618.0,
2020-05-20,5.6,5.9,5.48,5.5,7633538.0,
2020-05-21,5.52,5.54,5.24,5.5,3980582.0,
2020-05-22,5.5,5.51,5.27,5.4,2081665.0,
2020-05-26,5.58,5.58,5.25,5.26,2044170.0,
2020-05-27,5.25,5.35,5.2,5.35,164760.0,
2020-05-28,5.3,5.35,5.2,5.27,988736.0,
2020-05-29,5.39,5.7,5.3,5.43,484991.0,
2020-06-01,5.45,5.58,5.31,5.45,249109.0,
2020-06-02,5.46,5.55,5.4,5.48,724429.0,
2020-06-03,5.5,5.62,5.45,5.53,4023261.0,
2020-06-04,5.57,5.92,5.57,5.91,4636164.0,
2020-06-05,5.91,6.1,5.7,6.05,2598211.0,
2020-06-08,6.0,6.3,5.83,6.2,3295048.0,
2020-06-09,6.2,6.2,5.9,6.0,2403457.0,
2020-06-10,6.0,6.0,5.69,5.71,3267290.0,
2020-06-11,5.69,5.79,5.5,5.63,1113342.0,
2020-06-15,5.63,5.63,5.36,5.39,4459015.0,
2020-06-16,5.42,5.7,5.42,5.65,951622.0,
2020-06-17,5.68,5.98,5.68,5.9,2488906.0,
2020-06-18,5.92,5.99,5.75,5.86,771215.0,
2020-06-19,5.77,6.0,5.67,5.79,2740765.0,
2020-06-22,5.9,5.94,5.5,5.55,2033169.0,
2020-06-23,5.51,5.7,5.51,5.59,1034228.0,
2020-06-24,5.79,5.79,5.55,5.7,3816700.0,
2020-06-25,5.7,5.7,5.59,5.6,1033562.0,
2020-06-26,5.6,5.86,5.6,5.69,635669.0,
2020-06-29,5.7,5.85,5.6,5.84,1099626.0,
2020-06-30,5.9,6.18,5.9,6.08,6379138.0,
2020-07-01,6.1,6.15,5.76,5.8,2590130.0,
2020-07-02,5.8,5.8,5.6,5.71,1798171.0,
2020-07-03,5.7,5.8,5.7,5.8,284100.0,
2020-07-06,5.7,5.82,5.7,5.8,633404.0,
2020-07-07,5.92,6.04,5.8,5.9,1631529.0,
2020-07-08,5.9,5.9,5.81,5.85,1327020.0,
2020-07-09,5.9,5.9,5.77,5.82,1281553.0,
2020-07-10,5.8,5.9,5.75,5.9,710620.0,
2020-07-13,5.9,5.9,5.78,5.8,6592567.0,
2020-07-14,5.95,5.95,5.8,5.8,1330721.0,
2020-07-15,5.8,5.83,5.32,5.38,3354639.0,
2020-07-16,5.35,5.5,5.2,5.35,592682.0,
2020-07-17,5.38,5.38,5.0,5.04,1200133.0,
2020-07-20,5.06,5.1,5.05,5.05,534075.0,
2020-07-21,5.1,5.1,5.0,5.05,880120.0,
2020-07-22,5.06,5.1,5.06,5.07,901565.0,
2020-07-23,5.04,5.04,4.8,4.85,1718495.0,
2020-07-24,4.85,5.0,4.85,5.0,284500.0,
2020-07-27,5.1,5.1,4.82,4.83,303002.0,
2020-07-28,4.83,4.83,4.82,4.83,101390.0,
2020-07-29,4.82,4.85,4.8,4.8,624550.0,
2020-07-30,4.75,4.75,4.61,4.63,786050.0,
