dt,open,high,low,close,value,volume
2020-03-02,1.53,1.53,1.53,1.53,1530.0,
2020-03-03,1.09,1.24,1.09,1.24,39190.0,
2020-03-04,1.2,1.2,1.2,1.2,7200.0,
2020-03-05,1.3,1.3,1.3,1.3,13000.0,
2020-03-06,,,,,,
2020-03-09,,,,,,
2020-03-10,1.18,1.2,1.18,1.18,13000.0,
2020-03-11,1.4,1.49,1.4,1.49,20770.0,
2020-03-12,,,,,,
2020-03-13,1.1,1.14,1.1,1.1,50880.0,
2020-03-16,1.1,1.1,1.1,1.1,5500.0,
2020-03-19,1.09,1.09,1.09,1.09,7630.0,
2020-03-20,1.09,1.09,1.0,1.0,26460.0,
2020-03-23,1.0,1.0,1.0,1.0,15000.0,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,1.47,1.47,1.47,1.47,14700.0,
2020-04-16,1.47,1.47,1.47,1.47,14700.0,
2020-04-17,,,,,,
2020-04-20,1.12,1.45,1.12,1.45,50060.0,
2020-04-21,1.45,1.45,1.45,1.45,18850.0,
2020-04-22,,,,,,
2020-04-23,1.45,1.45,1.45,1.45,21750.0,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,1.12,1.26,1.12,1.25,64480.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,1.25,1.25,1.25,1.25,12500.0,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,1.8,1.8,1.6,1.6,73520.0,
2020-05-19,1.6,1.6,1.5,1.55,79550.0,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,1.21,1.25,1.21,1.25,38710.0,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,1.25,1.25,1.22,1.22,2470.0,
2020-06-04,1.22,1.23,1.21,1.23,20710.0,
2020-06-05,1.25,1.25,1.25,1.25,5000.0,
2020-06-08,1.2,1.25,1.2,1.25,3700.0,
2020-06-09,,,,,,
2020-06-10,1.3,1.3,1.26,1.26,11470.0,
2020-06-11,,,,,,
2020-06-15,,,,,,
2020-06-16,1.26,1.26,1.26,1.26,12600.0,
2020-06-17,1.21,1.21,1.21,1.21,18150.0,
2020-06-18,1.22,1.22,1.22,1.22,6100.0,
2020-06-19,1.22,1.22,1.22,1.22,2440.0,
2020-06-22,1.23,1.23,1.22,1.22,15890.0,
2020-06-23,1.4,1.41,1.3,1.3,84840.0,
2020-06-24,1.38,1.38,1.3,1.3,13640.0,
2020-06-25,1.25,1.25,1.23,1.23,12460.0,
2020-06-26,1.23,1.23,1.23,1.23,36900.0,
2020-06-29,1.23,1.23,1.21,1.21,25480.0,
2020-06-30,1.21,1.21,1.21,1.21,6050.0,
2020-07-01,,,,,,
2020-07-02,1.2,1.65,1.2,1.57,119280.0,
2020-07-03,1.6,1.6,1.57,1.57,31910.0,
2020-07-06,1.17,1.65,1.17,1.65,44810.0,
2020-07-07,,,,,,
2020-07-08,1.32,1.65,1.32,1.65,21610.0,
2020-07-09,1.32,1.63,1.32,1.62,22520.0,
2020-07-10,1.66,2.05,1.62,1.63,1376210.0,
2020-07-13,1.63,1.63,1.31,1.4,90730.0,
2020-07-14,1.35,1.5,1.22,1.48,156620.0,
2020-07-15,1.4,1.43,1.3,1.43,28430.0,
2020-07-16,1.49,1.5,1.49,1.5,2990.0,
2020-07-17,,,,,,
2020-07-20,1.29,1.4,1.29,1.4,93710.0,
2020-07-21,1.35,1.38,1.35,1.38,16410.0,
2020-07-22,,,,,,
2020-07-23,1.38,1.38,1.38,1.38,82800.0,
2020-07-24,,,,,,
2020-07-27,1.3,1.3,1.3,1.3,55900.0,
2020-07-28,1.29,1.3,1.29,1.3,44120.0,
2020-07-29,1.29,1.29,1.26,1.27,35670.0,
2020-07-30,,,,,,
2020-08-03,1.27,1.27,1.27,1.27,7620.0,
2020-08-04,,,,1.4,,21000.0
2020-08-07,,,,1.3,,6000.0
2020-08-12,,,,1.24,,1000.0
2020-08-13,,,,1.24,,3000.0
2020-08-18,,,,1.28,,2000.0
2020-08-20,,,,1.23,,3000.0
2020-08-24,,,,1.22,,6000.0
2020-08-27,,,,1.22,,1000.0
2020-08-28,,,,1.28,,4000.0
2020-09-01,,,,1.23,,1000.0
2020-09-03,,,,1.14,,32000.0
2020-09-04,,,,1.67,,69000.0
2020-09-07,,,,1.47,,231000.0
2020-09-08,,,,1.43,,34000.0
2020-09-09,,,,1.41,,7000.0
2020-09-10,,,,1.45,,6000.0
2020-09-15,,,,1.44,,13000.0
2020-09-21,,,,1.4,,5000.0
2020-09-23,,,,1.37,,20000.0
2020-09-24,,,,1.4,,14000.0
2020-09-25,,,,1.4,,1000.0
2020-09-28,,,,1.38,,12000.0
