dt,open,high,low,close,value,volume
2020-03-02,1.18,1.18,1.12,1.14,135900.0,
2020-03-03,1.14,1.24,1.14,1.15,902920.0,
2020-03-04,1.15,1.15,1.12,1.12,315070.0,
2020-03-05,1.13,1.13,1.13,1.13,67800.0,
2020-03-06,1.13,1.14,1.11,1.14,21420.0,
2020-03-09,1.11,1.2,1.0,1.15,396030.0,
2020-03-10,1.02,1.12,1.0,1.1,546570.0,
2020-03-11,1.1,1.14,1.01,1.01,282980.0,
2020-03-12,1.0,1.09,1.0,1.02,285110.0,
2020-03-13,1.01,1.07,0.91,0.91,413390.0,
2020-03-16,0.91,1.04,0.91,0.95,655030.0,
2020-03-19,0.92,0.99,0.85,0.92,302590.0,
2020-03-20,0.89,0.96,0.86,0.96,531170.0,
2020-03-23,0.9,0.97,0.9,0.96,243250.0,
2020-03-24,0.91,0.98,0.91,0.98,197770.0,
2020-03-25,0.98,1.02,0.92,0.98,403820.0,
2020-03-26,0.96,1.05,0.91,1.02,1007330.0,
2020-03-27,1.0,1.01,0.93,1.01,1219100.0,
2020-03-30,0.96,1.0,0.93,0.99,498450.0,
2020-03-31,0.94,1.04,0.94,0.99,745390.0,
2020-04-01,0.96,1.01,0.93,0.99,524430.0,
2020-04-02,0.98,0.99,0.93,0.99,372030.0,
2020-04-03,0.94,0.99,0.94,0.95,463870.0,
2020-04-06,0.94,0.99,0.94,0.97,220590.0,
2020-04-07,0.97,0.97,0.94,0.97,87100.0,
2020-04-08,0.96,0.96,0.95,0.96,6710.0,
2020-04-13,0.96,1.0,0.95,0.99,400660.0,
2020-04-14,0.99,0.99,0.95,0.99,368110.0,
2020-04-15,0.96,1.04,0.96,1.01,540750.0,
2020-04-16,1.01,1.09,0.95,1.08,2522340.0,
2020-04-17,1.11,1.16,1.05,1.07,2124790.0,
2020-04-20,1.07,1.13,1.0,1.12,972560.0,
2020-04-21,1.17,1.2,1.13,1.18,2382770.0,
2020-04-22,1.18,1.18,1.11,1.14,598370.0,
2020-04-23,1.14,1.16,1.11,1.14,268260.0,
2020-04-24,1.13,1.15,1.13,1.15,298270.0,
2020-04-27,1.12,1.37,1.12,1.2,6663840.0,
2020-04-28,1.2,1.24,1.14,1.22,890840.0,
2020-04-29,1.2,1.2,1.17,1.18,424350.0,
2020-04-30,1.2,1.2,1.17,1.19,9699600.0,
2020-05-04,1.2,1.2,1.14,1.18,498590.0,
2020-05-05,1.18,1.18,1.15,1.18,148380.0,
2020-05-06,1.14,1.19,1.13,1.16,328370.0,
2020-05-07,1.12,1.18,1.12,1.16,67990.0,
2020-05-08,1.14,1.2,1.13,1.19,401920.0,
2020-05-11,1.17,1.2,1.13,1.2,548060.0,
