dt,open,high,low,close,value,volume
2020-03-02,7.9,8.48,7.5,8.39,209547.0,
2020-03-03,,,,,,
2020-03-04,7.17,8.24,7.17,8.24,5950.0,
2020-03-05,7.21,8.17,7.21,8.17,16054.0,
2020-03-06,8.0,8.0,7.17,7.99,92218.0,
2020-03-09,7.16,8.1,7.16,8.1,5106.0,
2020-03-10,7.16,8.07,7.0,7.99,444534.0,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,7.0,7.44,7.0,7.44,69502.0,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,7.0,8.49,5.22,8.49,20224.0,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,8.4,8.4,8.4,8.4,5880.0,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,8.4,8.4,8.4,8.4,8400.0,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,7.8,8.39,7.8,8.39,486117.0,
2020-05-04,8.38,8.38,8.38,8.38,3352.0,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,8.33,8.33,8.32,8.32,1665.0,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,8.26,8.26,8.26,8.26,826.0,
2020-05-19,,,,,,
2020-05-20,6.01,6.27,6.0,6.27,448899.0,
2020-05-21,7.35,7.35,6.7,7.27,76941.0,
2020-05-22,6.33,7.99,6.33,7.99,125368.0,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,7.98,7.98,7.98,7.98,1596.0,
2020-06-02,7.5,7.9,7.5,7.86,18322.0,
2020-06-03,6.33,7.99,6.33,7.99,75838.0,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,7.6,8.99,7.6,8.99,76759.0,
2020-06-09,8.99,8.99,8.98,8.98,9888.0,
2020-06-10,,,,,,
2020-06-11,6.6,8.88,6.6,8.8,107908.0,
2020-06-15,8.5,8.5,7.6,7.62,13213.0,
2020-06-16,8.47,8.89,8.15,8.2,14301.0,
2020-06-17,8.89,8.89,8.85,8.85,17776.0,
2020-06-18,8.02,8.84,8.02,8.84,11802.0,
2020-06-19,,,,,,
2020-06-22,8.0,8.84,8.0,8.84,8420.0,
2020-06-23,8.84,8.84,8.84,8.84,4420.0,
2020-06-24,8.84,8.84,8.84,8.84,2652.0,
2020-06-25,,,,,,
2020-06-26,7.51,8.83,7.51,8.83,8950.0,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,8.8,8.8,8.7,8.7,47485.0,
2020-07-02,,,,,,
2020-07-03,,,,,,
2020-07-06,8.4,8.4,7.67,7.67,16837.0,
2020-07-07,8.79,8.79,8.79,8.79,879.0,
2020-07-08,8.79,8.79,8.79,8.79,879.0,
2020-07-09,,,,,,
2020-07-10,7.77,7.77,7.77,7.77,3885.0,
2020-07-13,7.78,7.78,7.78,7.78,2334.0,
2020-07-14,,,,,,
2020-07-15,7.82,8.78,7.82,8.69,15412.0,
2020-07-16,8.66,8.66,7.86,7.86,30508.0,
2020-07-17,,,,,,
2020-07-20,7.81,7.81,7.81,7.81,7810.0,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-27,,,,,,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,7.71,7.71,7.71,7.71,6168.0,
2020-08-05,,,,7.01,,500.0
2020-08-10,,,,7.18,,2400.0
2020-08-11,,,,8.45,,100.0
2020-08-17,,,,8.17,,3200.0
2020-08-20,,,,7.24,,30100.0
2020-08-25,,,,7.49,,3600.0
2020-08-26,,,,7.78,,1300.0
2020-08-27,,,,7.5,,600.0
2020-08-28,,,,7.4,,800.0
2020-09-01,,,,8.14,,7100.0
2020-09-04,,,,7.46,,2600.0
2020-09-08,,,,7.99,,200.0
2020-09-10,,,,7.29,,100.0
2020-09-11,,,,7.29,,100.0
2020-09-16,,,,7.4,,8100.0
2020-09-17,,,,7.22,,7700.0
2020-09-18,,,,7.74,,22600.0
2020-09-25,,,,7.64,,1000.0
2020-09-28,,,,7.34,,10400.0
