dt,open,high,low,close,value,volume
2020-03-02,0.96,0.96,0.9,0.94,1204720.0,
2020-03-03,0.95,0.96,0.93,0.95,961690.0,
2020-03-04,0.94,0.95,0.93,0.95,318100.0,
2020-03-05,0.93,0.95,0.92,0.95,810140.0,
2020-03-06,0.95,0.95,0.91,0.91,780790.0,
2020-03-09,0.9,0.9,0.71,0.75,4787060.0,
2020-03-10,0.76,0.81,0.68,0.77,1090070.0,
2020-03-11,0.8,0.85,0.75,0.8,1286630.0,
2020-03-12,0.8,0.8,0.69,0.69,977260.0,
2020-03-13,0.68,0.7,0.55,0.7,2319860.0,
2020-03-16,0.65,0.7,0.65,0.68,864120.0,
2020-03-19,0.66,0.66,0.54,0.59,384920.0,
2020-03-20,0.59,0.68,0.59,0.63,344710.0,
2020-03-23,0.63,0.63,0.55,0.6,536150.0,
2020-03-24,0.6,0.66,0.6,0.6,361640.0,
2020-03-25,0.67,0.67,0.63,0.63,425500.0,
2020-03-26,0.67,0.69,0.66,0.69,794980.0,
2020-03-27,0.69,0.71,0.67,0.67,1117890.0,
2020-03-30,0.64,0.67,0.62,0.65,4713960.0,
2020-03-31,0.7,0.7,0.68,0.68,477460.0,
2020-04-01,0.68,0.72,0.68,0.7,294460.0,
2020-04-02,0.69,0.7,0.68,0.7,81070.0,
2020-04-03,0.74,0.74,0.69,0.74,288730.0,
2020-04-06,0.73,0.73,0.69,0.72,764870.0,
2020-04-07,0.7,0.73,0.7,0.7,411670.0,
2020-04-08,0.72,0.73,0.72,0.73,320870.0,
2020-04-13,0.73,0.76,0.71,0.76,379730.0,
2020-04-14,0.76,0.79,0.72,0.79,1323980.0,
2020-04-15,0.8,0.87,0.79,0.81,1431080.0,
2020-04-16,0.81,0.81,0.77,0.81,725810.0,
2020-04-17,0.75,0.82,0.75,0.8,206940.0,
2020-04-20,0.82,0.85,0.81,0.85,1179170.0,
2020-04-21,0.85,0.85,0.79,0.82,877470.0,
2020-04-22,0.79,0.8,0.77,0.8,491230.0,
2020-04-23,0.8,0.83,0.79,0.8,892740.0,
2020-04-24,0.85,0.85,0.81,0.82,369480.0,
2020-04-27,0.82,0.82,0.8,0.8,277910.0,
2020-04-28,0.81,0.84,0.81,0.83,547240.0,
2020-04-29,0.84,0.88,0.83,0.86,850740.0,
2020-04-30,0.84,0.87,0.84,0.87,395290.0,
2020-05-04,0.88,0.88,0.8,0.83,636560.0,
2020-05-05,0.84,0.84,0.81,0.83,439320.0,
2020-05-06,0.81,0.83,0.81,0.82,177770.0,
2020-05-07,0.8,0.83,0.8,0.8,431990.0,
2020-05-08,0.8,0.8,0.78,0.8,288920.0,
2020-05-11,0.79,0.81,0.79,0.79,219070.0,
2020-05-12,0.8,0.81,0.8,0.8,284460.0,
