dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,1.73,1.9,1.73,1.9,8820.0,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,1.43,1.97,1.43,1.97,18590.0,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,1.41,1.78,1.4,1.78,16290.0,
2020-04-07,1.78,1.78,1.78,1.78,8900.0,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,1.78,1.78,1.78,1.78,5340.0,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,1.98,1.98,1.78,1.78,22480.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,1.68,1.68,1.68,1.68,25200.0,
2020-05-29,1.86,1.86,1.86,1.86,3720.0,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,1.36,1.79,1.36,1.79,51560.0,
2020-06-11,1.75,1.85,1.75,1.85,5350.0,
2020-06-15,1.74,1.74,1.74,1.74,26100.0,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,1.45,1.65,1.45,1.65,19390.0,
2020-06-19,,,,,,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,1.75,1.75,1.75,1.75,1750.0,
2020-06-29,,,,,,
2020-06-30,1.74,1.74,1.6,1.6,56020.0,
2020-07-01,,,,,,
2020-07-02,1.73,2.4,1.73,2.4,425280.0,
2020-07-03,2.65,3.57,2.2,2.3,49844900.0,
2020-07-06,2.3,2.54,1.93,2.04,4470390.0,
2020-07-07,2.06,2.07,1.9,1.9,2257070.0,
2020-07-08,1.9,1.9,1.73,1.75,1641450.0,
2020-07-09,1.78,1.92,1.78,1.8,501210.0,
2020-07-10,1.79,1.9,1.74,1.74,700030.0,
2020-07-13,1.71,1.71,1.65,1.66,357680.0,
2020-07-14,1.78,1.78,1.61,1.62,497220.0,
2020-07-15,1.6,1.6,1.57,1.57,127220.0,
2020-07-16,1.55,1.56,1.5,1.56,201040.0,
2020-07-17,1.59,1.64,1.59,1.62,141500.0,
2020-07-20,1.54,1.54,1.52,1.54,70530.0,
2020-07-21,1.53,1.6,1.53,1.54,115090.0,
2020-07-22,1.54,1.98,1.52,1.8,2028190.0,
2020-07-23,1.8,1.8,1.58,1.62,534010.0,
2020-07-24,1.62,1.78,1.62,1.66,202850.0,
2020-07-27,1.56,1.79,1.56,1.58,174390.0,
2020-07-28,1.58,1.73,1.57,1.72,133240.0,
2020-07-29,1.6,1.6,1.58,1.58,7940.0,
2020-07-30,1.65,1.72,1.61,1.72,137820.0,
2020-08-03,1.6,1.68,1.58,1.59,147800.0,
2020-08-04,,,,1.66,,61000.0
2020-08-05,,,,1.61,,47000.0
2020-08-06,,,,1.61,,4000.0
2020-08-07,,,,1.61,,39000.0
2020-08-10,,,,1.6,,46000.0
2020-08-11,,,,1.64,,12000.0
2020-08-12,,,,1.59,,112000.0
2020-08-13,,,,1.62,,25000.0
2020-08-14,,,,1.6,,133000.0
2020-08-17,,,,1.61,,54000.0
2020-08-18,,,,1.6,,3000.0
2020-08-19,,,,1.6,,17000.0
2020-08-20,,,,1.66,,11000.0
2020-08-24,,,,1.6,,21000.0
2020-08-25,,,,1.64,,55000.0
2020-08-26,,,,1.6,,73000.0
2020-08-27,,,,1.6,,16000.0
2020-08-28,,,,1.59,,25000.0
2020-09-01,,,,1.55,,100000.0
2020-09-02,,,,1.56,,7000.0
2020-09-03,,,,1.56,,11000.0
2020-09-04,,,,1.61,,23000.0
2020-09-07,,,,1.62,,38000.0
2020-09-08,,,,1.55,,50000.0
2020-09-09,,,,1.57,,104000.0
2020-09-10,,,,1.58,,15000.0
2020-09-14,,,,1.6,,77000.0
2020-09-15,,,,1.58,,61000.0
2020-09-16,,,,1.66,,207000.0
2020-09-17,,,,1.63,,72000.0
2020-09-18,,,,1.62,,13000.0
2020-09-21,,,,1.64,,52000.0
2020-09-22,,,,1.6,,30000.0
2020-09-23,,,,1.67,,82000.0
2020-09-24,,,,1.7,,43000.0
2020-09-25,,,,1.66,,93000.0
2020-09-28,,,,1.59,,31000.0
