dt,open,high,low,close,value,volume
2020-03-02,169.9,172.0,165.0,167.1,166602985.0,
2020-03-03,168.1,172.0,168.0,168.0,195781742.0,
2020-03-04,168.7,174.6,167.2,174.6,148264727.0,
2020-03-05,175.0,184.0,171.3,184.0,207505372.0,
2020-03-06,183.0,183.0,173.4,176.5,112852248.0,
2020-03-09,170.0,170.1,161.5,163.0,186996783.0,
2020-03-10,160.0,160.9,153.0,158.0,198022833.0,
2020-03-11,159.0,166.3,159.0,166.3,149809107.0,
2020-03-12,162.0,162.0,150.0,153.0,184133107.0,
2020-03-13,145.0,145.0,124.5,140.5,305207512.0,
2020-03-16,133.0,134.0,120.5,121.0,280545474.0,
2020-03-19,105.0,106.2,91.1,91.1,330014709.5,
2020-03-20,97.5,103.7,95.65,100.0,198180334.5,
2020-03-23,98.0,99.9,91.5,95.0,247233692.0,
2020-03-24,98.95,99.85,95.0,95.0,155368275.0,
2020-03-25,101.8,101.8,98.0,98.45,399879070.5,
2020-03-26,100.0,104.5,99.0,102.2,329083270.5,
2020-03-27,107.4,111.0,103.0,107.0,384761090.0,
2020-03-30,106.9,106.9,100.1,103.0,82543465.0,
2020-03-31,105.0,109.5,105.0,106.4,166562737.0,
2020-04-01,107.0,109.6,103.0,103.2,267016685.0,
2020-04-02,102.9,103.2,102.0,102.0,131839911.0,
2020-04-03,102.3,105.0,102.0,102.0,87392308.0,
2020-04-06,104.6,106.4,103.5,106.0,196347114.0,
2020-04-07,110.2,112.5,109.0,110.5,304363805.0,
2020-04-08,111.0,120.0,108.1,120.0,337149716.0,
2020-04-13,121.0,136.1,121.0,135.0,338845204.0,
2020-04-14,139.9,148.0,139.8,146.5,512847946.0,
2020-04-15,150.0,152.1,143.5,148.6,586506672.0,
2020-04-16,147.0,147.0,137.4,141.5,329576249.0,
2020-04-17,142.0,147.0,141.4,145.0,705905471.0,
2020-04-20,148.5,149.9,143.0,143.0,230578052.0,
2020-04-21,142.5,142.5,133.0,136.1,430326061.0,
2020-04-22,135.0,135.0,131.0,134.0,775857960.0,
2020-04-23,137.0,140.0,135.5,136.0,349137851.0,
2020-04-24,137.8,137.8,133.7,134.3,140113927.0,
2020-04-27,135.0,136.5,134.3,134.5,215981572.0,
2020-04-28,136.0,141.4,135.6,141.2,321709005.0,
2020-04-29,141.2,147.0,139.1,147.0,212998092.0,
2020-04-30,148.0,149.0,143.0,143.1,278959709.0,
2020-05-04,143.1,143.1,137.0,138.2,174687308.0,
2020-05-05,141.0,141.0,139.3,139.6,76191848.0,
2020-05-06,141.0,141.8,138.5,138.5,70536338.0,
2020-05-07,138.9,140.9,136.0,136.5,127306921.0,
2020-05-08,138.5,139.5,135.2,136.0,85801443.0,
2020-05-11,137.2,141.0,136.5,140.5,61500628.0,
2020-05-12,141.2,141.8,138.6,139.4,132428379.0,
2020-05-13,140.6,141.0,137.1,138.0,55039424.0,
2020-05-14,139.0,139.6,135.9,136.6,81869327.0,
2020-05-15,139.0,140.0,136.2,137.2,84786970.0,
2020-05-18,139.0,139.0,135.9,136.4,122554585.0,
2020-05-19,138.0,140.0,137.4,140.0,108122324.0,
2020-05-20,140.0,140.0,137.2,137.2,66076362.0,
2020-05-21,138.0,139.0,136.3,136.5,90036903.0,
2020-05-22,138.0,138.0,133.0,133.0,183927657.0,
2020-05-26,133.0,134.0,117.0,119.0,571921056.0,
2020-05-27,120.1,123.0,120.0,122.0,127911460.0,
2020-05-28,120.0,120.0,115.2,116.1,358527160.0,
2020-05-29,116.5,118.8,108.7,108.7,1504297030.0,
2020-06-01,113.0,118.7,112.0,115.1,412144759.0,
2020-06-02,119.0,125.0,117.0,123.6,276075478.0,
2020-06-03,125.7,131.8,125.7,130.0,367902126.0,
2020-06-04,132.0,135.0,129.5,133.0,274344079.0,
2020-06-05,133.0,133.9,126.0,130.0,221010691.0,
2020-06-08,133.0,133.0,128.0,132.5,290059983.0,
2020-06-09,133.1,139.0,132.5,138.9,403187858.0,
2020-06-10,139.9,145.0,139.1,145.0,422679194.0,
2020-06-11,144.0,145.3,140.5,145.0,404936553.0,
2020-06-15,145.0,146.0,141.0,144.2,351155033.0,
2020-06-16,144.0,146.3,141.5,142.5,266897821.0,
2020-06-17,142.7,145.4,142.7,145.0,400972548.0,
