dt,open,high,low,close,value,volume
2020-03-02,66.4,68.5,66.0,66.5,200511060.5,
2020-03-03,67.9,69.1,67.1,68.2,124446961.5,
2020-03-04,67.05,71.0,65.6,71.0,131652954.5,
2020-03-05,69.95,71.25,69.1,71.25,55158684.5,
2020-03-06,71.25,71.25,69.25,70.65,82683572.0,
2020-03-09,66.1,68.0,63.0,63.2,137692781.5,
2020-03-10,62.4,62.4,59.3,61.0,166942422.0,
2020-03-11,62.0,63.2,61.95,62.85,129477873.5,
2020-03-12,61.6,61.6,52.4,53.65,128512912.0,
2020-03-13,50.45,54.7,42.0,54.2,314185324.0,
2020-03-16,48.0,54.2,46.2,50.6,88824611.5,
2020-03-19,44.0,45.0,28.0,44.45,150393250.5,
2020-03-20,46.0,48.9,43.0,43.35,99715140.0,
2020-03-23,42.0,45.0,38.5,45.0,98268560.0,
2020-03-24,45.0,47.9,43.05,45.7,101093105.0,
2020-03-25,48.2,51.0,46.05,49.0,113438260.0,
2020-03-26,51.0,54.0,49.55,53.75,101380385.0,
2020-03-27,53.8,57.9,50.3,51.2,87937625.5,
2020-03-30,51.0,52.7,46.15,49.5,95560523.0,
2020-03-31,49.85,52.55,49.85,52.3,172163080.0,
2020-04-01,53.5,56.0,52.4,56.0,167678081.0,
2020-04-02,54.0,54.0,51.5,53.0,223502547.5,
2020-04-03,53.6,54.0,52.9,53.2,38001123.5,
2020-04-06,53.4,55.0,52.05,55.0,51356455.0,
2020-04-07,55.8,56.5,55.05,56.5,120750488.0,
2020-04-08,55.15,56.0,53.75,54.5,198046094.0,
2020-04-13,54.0,55.4,53.2,53.7,95641875.5,
2020-04-14,54.65,55.9,53.5,55.0,139020512.0,
2020-04-15,55.0,57.5,55.0,57.0,218153342.0,
2020-04-16,56.9,56.9,52.0,52.0,224733511.0,
2020-04-17,53.2,54.55,53.2,53.8,189307750.5,
2020-04-20,53.85,54.5,53.3,53.3,73822594.5,
2020-04-21,53.1,53.1,49.4,50.0,84199929.5,
2020-04-22,49.45,51.55,49.05,50.9,79521557.0,
2020-04-23,51.6,52.0,50.25,50.6,29610731.5,
2020-04-24,50.6,51.5,48.0,49.0,81183146.0,
2020-04-27,49.0,50.5,48.5,50.0,66073950.0,
2020-04-28,50.0,51.95,49.75,50.6,48081170.5,
2020-04-29,50.6,51.7,50.25,50.95,52332990.5,
2020-04-30,51.0,51.8,50.8,50.9,153329129.5,
2020-05-04,49.8,49.8,48.5,49.5,60919025.0,
2020-05-05,49.5,50.15,49.2,50.0,37446330.0,
2020-05-06,50.0,50.4,48.55,49.4,98187796.5,
2020-05-07,48.7,49.95,48.7,49.25,106681410.0,
2020-05-08,49.6,49.65,48.95,49.25,74029995.0,
2020-05-11,49.65,49.65,48.75,48.8,72885485.0,
2020-05-12,49.0,49.4,48.65,48.8,97950980.0,
2020-05-13,48.8,49.4,48.1,48.4,105068485.0,
2020-05-14,48.0,49.25,47.5,49.0,63613120.0,
2020-05-15,49.0,49.0,47.0,47.0,83556305.0,
2020-05-18,47.0,47.0,44.5,45.2,85911825.0,
2020-05-19,46.0,47.8,45.2,47.8,101457910.0,
2020-05-20,47.8,49.4,46.2,48.6,36320575.0,
2020-05-21,48.6,49.1,47.55,48.6,97664325.0,
2020-05-22,47.8,49.35,47.65,49.1,64086870.0,
2020-05-26,49.0,49.0,45.5,48.8,36917445.0,
2020-05-27,48.75,48.75,46.25,48.4,62237200.0,
2020-05-28,48.4,48.8,47.25,48.75,49893490.0,
2020-05-29,48.2,48.95,47.75,48.8,301188675.0,
2020-06-01,48.5,51.75,48.5,50.0,76820485.0,
2020-06-02,50.05,53.95,50.05,53.95,117215317.5,
2020-06-03,54.0,59.9,54.0,58.95,190441377.5,
2020-06-04,59.0,63.1,59.0,62.5,290250297.5,
2020-06-05,63.0,63.3,59.9,62.5,140639069.0,
2020-06-08,61.1,66.5,61.1,66.0,230073718.5,
2020-06-09,66.0,67.0,64.0,66.5,223536338.0,
2020-06-10,66.8,66.8,63.1,65.0,119080952.5,
2020-06-11,63.2,65.0,62.15,65.0,102679923.0,
2020-06-15,64.75,64.75,60.25,61.0,163057059.5,
2020-06-16,61.1,63.95,61.1,63.35,95250454.0,
2020-06-17,63.4,63.4,61.0,61.0,123015971.5,
2020-06-18,61.05,64.3,59.3,64.3,99483689.5,
2020-06-19,64.0,65.0,62.0,63.25,247636268.0,
2020-06-22,63.5,63.5,61.05,61.5,85317123.5,
2020-06-23,61.55,61.8,60.5,60.5,124133073.0,
2020-06-24,61.5,63.0,60.5,61.0,117106125.5,
2020-06-25,60.4,61.0,60.2,60.6,69960541.0,
2020-06-26,60.8,62.8,60.8,62.0,68467464.0,
2020-06-29,61.0,62.55,60.75,62.5,58684689.5,
2020-06-30,61.6,64.95,61.6,64.85,140550522.5,
2020-07-01,64.8,64.85,62.05,64.8,94764391.5,
2020-07-02,64.0,66.75,63.0,65.25,146263052.0,
2020-07-03,66.0,67.6,65.05,67.25,112292637.0,
2020-07-06,67.25,68.8,65.2,67.25,121691205.0,
2020-07-07,67.25,67.6,66.0,66.0,95844946.5,
2020-07-08,66.0,66.5,64.0,66.5,119876997.5,
2020-07-09,66.0,68.45,66.0,68.0,146020231.0,
2020-07-10,68.2,70.0,67.2,69.7,264787889.5,
2020-07-13,69.95,69.95,68.2,69.0,109634704.0,
2020-07-14,69.05,69.5,67.1,68.5,56357695.5,
2020-07-15,68.1,68.1,67.25,67.6,161252642.5,
2020-07-16,67.15,68.45,67.15,67.6,40938175.0,
2020-07-17,67.4,67.6,65.25,67.6,88583133.0,
2020-07-20,67.5,67.5,65.4,67.1,95251396.0,
2020-07-21,67.15,69.0,67.1,68.3,103466486.0,
2020-07-22,68.3,68.95,66.2,66.2,120089810.0,
2020-07-23,66.4,66.6,65.4,66.0,85075282.5,
2020-07-24,65.3,65.95,62.4,65.0,80669818.0,
2020-07-27,65.0,65.0,62.2,63.0,59291449.0,
2020-07-28,62.0,64.0,61.8,63.4,86598498.0,
2020-07-29,62.25,63.15,62.25,63.1,82293773.5,
2020-07-30,63.7,63.7,62.4,62.45,135183400.0,
2020-08-03,61.8,61.8,60.0,60.5,135872294.0,
2020-08-04,,,,61.1,,2250870.0
2020-08-05,,,,60.75,,618950.0
2020-08-06,,,,61.25,,2052160.0
2020-08-07,,,,61.4,,2053340.0
2020-08-10,,,,62.3,,907250.0
2020-08-11,,,,64.05,,1541720.0
2020-08-12,,,,64.8,,262720.0
2020-08-13,,,,64.5,,1529150.0
2020-08-14,,,,61.3,,7474330.0
2020-08-17,,,,64.0,,1736320.0
2020-08-18,,,,65.6,,1466130.0
2020-08-19,,,,63.5,,1151640.0
2020-08-20,,,,63.45,,532810.0
2020-08-24,,,,62.0,,2261610.0
2020-08-25,,,,63.0,,653200.0
2020-08-26,,,,64.4,,1740890.0
2020-08-27,,,,63.6,,912450.0
2020-08-28,,,,64.3,,6153660.0
2020-09-01,,,,61.45,,2004330.0
2020-09-02,,,,60.7,,1565830.0
2020-09-03,,,,61.05,,1086630.0
2020-09-04,,,,61.7,,1112460.0
2020-09-07,,,,62.0,,1567480.0
2020-09-08,,,,62.15,,1282390.0
2020-09-09,,,,61.7,,2223380.0
2020-09-10,,,,60.55,,1432300.0
2020-09-11,,,,61.35,,828350.0
2020-09-14,,,,62.9,,843700.0
2020-09-15,,,,62.9,,1817380.0
2020-09-16,,,,62.9,,692270.0
2020-09-17,,,,61.7,,1057560.0
2020-09-18,,,,62.1,,2636150.0
2020-09-21,,,,61.6,,936900.0
2020-09-22,,,,61.2,,1404740.0
2020-09-23,,,,62.9,,1606280.0
2020-09-24,,,,60.55,,1187120.0
2020-09-25,,,,60.55,,564430.0
2020-09-28,,,,60.0,,860960.0
