dt,open,high,low,close,value,volume
2020-03-02,8.35,8.35,8.0,8.01,886610.0,
2020-03-03,8.01,8.3,8.01,8.15,132599.0,
2020-03-04,8.05,8.15,8.02,8.02,138305.0,
2020-03-05,8.02,8.81,8.02,8.69,1645106.0,
2020-03-06,8.7,8.7,8.4,8.5,552079.0,
2020-03-09,8.3,8.3,6.8,6.8,1088552.0,
2020-03-10,6.8,6.8,6.22,6.57,1401310.0,
2020-03-11,7.15,7.15,6.6,6.76,366861.0,
2020-03-12,7.09,7.09,6.0,6.0,1338171.0,
2020-03-13,5.9,6.5,5.0,6.4,755962.0,
2020-03-16,6.0,6.1,6.0,6.1,54550.0,
2020-03-19,6.0,6.0,5.65,5.8,166870.0,
2020-03-20,5.8,5.99,5.65,5.7,336150.0,
2020-03-23,5.7,5.7,5.1,5.13,151694.0,
2020-03-24,5.13,5.47,5.13,5.47,70785.0,
2020-03-25,5.49,6.0,5.49,5.6,271298.0,
2020-03-26,5.9,6.18,5.63,6.15,873411.0,
2020-03-27,6.4,6.4,5.8,5.85,325880.0,
2020-03-30,5.85,6.0,5.8,5.8,128045.0,
2020-03-31,5.8,5.9,5.65,5.85,222250.0,
2020-04-01,5.7,6.5,5.7,6.05,3146366.0,
2020-04-02,6.19,6.19,5.92,6.0,310926.0,
2020-04-03,6.04,6.04,5.9,6.0,118089.0,
2020-04-06,6.0,6.0,5.75,5.98,543272.0,
2020-04-07,5.99,6.19,5.8,5.9,615157.0,
2020-04-08,5.9,6.0,5.7,5.7,268371.0,
2020-04-13,5.7,5.94,5.7,5.89,199527.0,
2020-04-14,5.7,6.2,5.7,6.14,481355.0,
2020-04-15,6.2,6.48,6.14,6.4,511131.0,
2020-04-16,6.44,6.44,6.1,6.37,590591.0,
2020-04-17,6.1,6.39,6.1,6.35,309219.0,
2020-04-20,6.2,6.35,6.16,6.35,217607.0,
2020-04-21,6.3,6.75,6.2,6.7,1084988.0,
2020-04-22,6.75,7.5,6.7,7.3,3348611.0,
2020-04-23,7.34,7.49,6.8,7.25,1572878.0,
2020-04-24,7.2,7.25,6.9,7.15,632729.0,
2020-04-27,6.75,7.15,6.65,7.05,334456.0,
2020-04-28,7.14,7.14,6.81,7.09,363922.0,
2020-04-29,6.9,7.72,6.9,7.5,1804465.0,
2020-04-30,7.7,7.87,7.51,7.79,1787747.0,
2020-05-04,7.88,7.88,7.5,7.73,230970.0,
2020-05-05,7.72,7.72,7.2,7.47,755566.0,
2020-05-06,7.21,7.25,7.03,7.24,576427.0,
2020-05-07,7.3,7.46,7.25,7.44,139966.0,
2020-05-08,7.44,7.44,7.13,7.2,480950.0,
2020-05-11,7.2,7.24,7.02,7.24,403978.0,
2020-05-12,7.04,7.2,6.95,7.0,540286.0,
2020-05-13,6.94,7.13,6.5,6.5,668737.0,
2020-05-14,6.78,6.78,6.3,6.3,447124.0,
2020-05-15,6.3,6.57,6.2,6.35,354109.0,
2020-05-18,6.35,6.35,6.0,6.23,273948.0,
