dt,open,high,low,close,value,volume
2020-03-02,0.77,0.77,0.77,0.77,1540.0,
2020-03-03,,,,,,
2020-03-04,0.76,0.76,0.76,0.76,760.0,
2020-03-05,0.75,0.75,0.75,0.75,750.0,
2020-03-06,,,,,,
2020-03-09,0.71,0.75,0.71,0.75,14950.0,
2020-03-10,0.75,0.75,0.75,0.75,27000.0,
2020-03-11,0.75,0.75,0.75,0.75,2250.0,
2020-03-12,,,,,,
2020-03-13,0.7,0.7,0.65,0.7,240420.0,
2020-03-16,,,,,,
2020-03-19,0.65,0.69,0.65,0.65,4590.0,
2020-03-20,0.69,0.69,0.69,0.69,13800.0,
2020-03-23,,,,,,
2020-03-24,0.68,0.68,0.68,0.68,17680.0,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,0.7,0.7,0.68,0.68,7520.0,
2020-04-01,,,,,,
2020-04-02,0.54,0.59,0.54,0.59,2750.0,
2020-04-03,0.62,0.74,0.62,0.74,53190.0,
2020-04-06,0.75,0.75,0.75,0.75,2250.0,
2020-04-07,0.74,0.74,0.74,0.74,740.0,
2020-04-08,0.72,0.72,0.72,0.72,2160.0,
2020-04-13,,,,,,
2020-04-14,0.74,0.74,0.74,0.74,740.0,
2020-04-15,,,,,,
2020-04-16,0.74,0.74,0.68,0.74,2900.0,
2020-04-17,0.7,0.72,0.7,0.72,14380.0,
2020-04-20,0.72,0.72,0.7,0.72,15100.0,
2020-04-21,,,,,,
2020-04-22,0.75,0.75,0.75,0.75,750.0,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,0.74,0.74,0.74,0.74,740.0,
2020-04-29,,,,,,
2020-04-30,0.74,0.74,0.74,0.74,1480.0,
2020-05-04,,,,,,
2020-05-05,0.74,0.76,0.72,0.76,30630.0,
2020-05-06,0.72,0.75,0.72,0.75,1470.0,
2020-05-07,0.72,0.72,0.72,0.72,44640.0,
2020-05-08,,,,,,
2020-05-11,0.72,0.72,0.72,0.72,9360.0,
2020-05-12,,,,,,
2020-05-13,0.72,0.72,0.72,0.72,12960.0,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,0.77,0.77,0.72,0.72,45470.0,
2020-05-19,0.72,0.72,0.71,0.71,9290.0,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,0.64,0.67,0.64,0.66,2610.0,
2020-05-26,,,,,,
2020-05-27,0.68,0.68,0.68,0.68,31280.0,
2020-05-28,0.76,0.76,0.69,0.69,37450.0,
2020-05-29,0.71,0.71,0.71,0.71,7100.0,
2020-06-01,,,,,,
2020-06-02,0.69,0.69,0.69,0.69,6900.0,
2020-06-03,0.69,0.69,0.69,0.69,4830.0,
2020-06-04,0.69,0.69,0.64,0.64,6450.0,
2020-06-05,0.74,0.74,0.69,0.69,48870.0,
2020-06-08,0.7,0.72,0.7,0.72,51040.0,
2020-06-09,0.72,0.73,0.7,0.7,45130.0,
2020-06-10,,,,,,
2020-06-11,0.7,0.7,0.7,0.7,700.0,
2020-06-15,0.72,0.72,0.72,0.72,15120.0,
2020-06-16,0.7,0.7,0.7,0.7,3500.0,
2020-06-17,0.69,0.7,0.69,0.7,18040.0,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,0.7,0.7,0.69,0.69,10370.0,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,0.69,0.69,0.69,0.69,10350.0,
2020-06-26,0.69,0.69,0.69,0.69,690.0,
2020-06-29,0.68,0.69,0.68,0.69,15040.0,
2020-06-30,0.74,0.75,0.74,0.75,14890.0,
2020-07-01,0.75,0.75,0.75,0.75,19500.0,
2020-07-02,,,,,,
2020-07-03,0.74,0.74,0.74,0.74,14800.0,
2020-07-06,,,,,,
2020-07-07,0.74,0.74,0.74,0.74,5920.0,
2020-07-08,0.74,0.74,0.74,0.74,9620.0,
2020-07-09,0.7,0.75,0.7,0.75,26940.0,
2020-07-10,,,,,,
2020-07-13,0.74,0.74,0.74,0.74,5180.0,
2020-07-14,0.72,0.72,0.72,0.72,1440.0,
2020-07-15,0.74,0.74,0.74,0.74,3700.0,
2020-07-16,0.75,0.75,0.71,0.71,32100.0,
2020-07-17,0.71,0.71,0.71,0.71,12070.0,
2020-07-20,,,,,,
2020-07-21,0.7,0.7,0.7,0.7,700.0,
2020-07-22,0.71,0.71,0.71,0.71,710.0,
2020-07-23,0.71,0.71,0.71,0.71,2130.0,
2020-07-24,,,,,,
2020-07-27,,,,,,
2020-07-28,0.71,0.71,0.66,0.66,116110.0,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,0.75,0.75,0.7,0.7,26610.0,
2020-08-04,,,,0.67,,118000.0
2020-08-05,,,,0.68,,2000.0
2020-08-10,,,,0.68,,6000.0
2020-08-19,,,,0.7,,22000.0
2020-08-24,,,,0.7,,40000.0
2020-08-26,,,,0.73,,21000.0
2020-08-27,,,,0.73,,42000.0
2020-09-01,,,,0.73,,29000.0
2020-09-02,,,,0.7,,152000.0
2020-09-03,,,,0.73,,56000.0
2020-09-08,,,,0.71,,6000.0
2020-09-09,,,,0.7,,53000.0
2020-09-10,,,,0.73,,129000.0
2020-09-11,,,,0.74,,85000.0
2020-09-14,,,,0.74,,195000.0
2020-09-15,,,,0.7,,12000.0
2020-09-16,,,,0.75,,108000.0
2020-09-17,,,,0.72,,31000.0
2020-09-25,,,,0.72,,3000.0
