dt,open,high,low,close,value,volume
2020-03-02,12.6,12.6,12.6,12.6,1260.0,
2020-03-03,,,,,,
2020-03-04,12.38,12.38,12.38,12.38,2476.0,
2020-03-05,12.38,12.4,12.36,12.4,226738.0,
2020-03-06,12.0,12.0,11.54,11.54,69410.0,
2020-03-09,12.5,12.8,12.48,12.8,127970.0,
2020-03-10,13.0,13.0,11.54,11.54,12840.0,
2020-03-11,11.54,13.1,11.5,13.1,93606.0,
2020-03-12,13.1,13.1,13.1,13.1,1310.0,
2020-03-13,11.32,11.32,11.0,11.0,1451764.0,
2020-03-16,11.1,11.2,11.1,11.1,11130.0,
2020-03-19,11.0,11.0,11.0,11.0,2200.0,
2020-03-20,7.51,12.74,7.51,11.08,39265.0,
2020-03-23,12.48,12.48,11.9,11.9,29374.0,
2020-03-24,11.96,11.96,11.86,11.86,20246.0,
2020-03-25,11.76,11.76,11.76,11.76,1176.0,
2020-03-26,11.78,11.78,11.64,11.64,28070.0,
2020-03-27,11.64,11.64,11.0,11.5,168396.0,
2020-03-30,11.64,11.98,11.5,11.64,18668.0,
2020-03-31,11.6,11.6,11.6,11.6,37120.0,
2020-04-01,11.6,11.6,10.5,10.5,14920.0,
2020-04-02,13.0,13.0,11.0,11.0,65014.0,
2020-04-03,12.48,12.48,11.12,11.98,103566.0,
2020-04-06,11.98,11.98,11.6,11.6,46538.0,
2020-04-07,11.8,12.2,11.62,12.18,140228.0,
2020-04-08,12.18,12.18,12.18,12.18,1218.0,
2020-04-13,12.18,12.18,12.18,12.18,6090.0,
2020-04-14,12.18,12.18,10.8,10.8,45178.0,
2020-04-15,11.04,12.16,11.04,12.06,28420.0,
2020-04-16,12.1,12.48,12.0,12.48,421042.0,
2020-04-17,12.5,12.5,11.9,12.5,363440.0,
2020-04-20,12.5,12.5,11.94,12.5,17444.0,
2020-04-21,12.98,13.0,12.6,12.9,43578.0,
2020-04-22,12.9,13.0,12.8,13.0,132380.0,
2020-04-23,13.0,13.0,13.0,13.0,1300.0,
2020-04-24,13.0,13.5,13.0,13.4,22650.0,
2020-04-27,13.5,13.5,13.3,13.3,17520.0,
2020-04-28,13.3,13.7,13.3,13.7,36580.0,
2020-04-29,13.7,13.7,13.6,13.7,38310.0,
2020-04-30,13.7,13.7,13.6,13.6,66780.0,
2020-05-04,13.6,13.7,13.6,13.7,8200.0,
2020-05-05,13.7,13.7,13.5,13.7,284850.0,
2020-05-06,13.98,13.98,13.7,13.7,38550.0,
2020-05-07,13.98,13.98,13.98,13.98,62910.0,
2020-05-08,13.98,13.98,13.98,13.98,74094.0,
2020-05-11,13.3,13.7,12.1,13.7,71020.0,
2020-05-12,14.0,14.0,13.98,13.98,18196.0,
2020-05-13,13.96,13.98,12.12,13.98,14674.0,
2020-05-14,13.98,13.98,13.98,13.98,2796.0,
2020-05-15,13.98,13.98,13.8,13.8,2778.0,
2020-05-18,13.8,13.8,13.8,13.8,23460.0,
2020-05-19,13.78,13.78,13.78,13.78,6890.0,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,14.0,14.0,12.54,13.9,24524.0,
2020-05-26,13.88,13.88,13.88,13.88,2776.0,
2020-05-27,13.88,13.88,13.88,13.88,20820.0,
2020-05-28,,,,,,
2020-05-29,13.0,13.0,13.0,13.0,10400.0,
2020-06-01,13.5,13.8,13.0,13.0,17554.0,
2020-06-02,12.86,13.7,12.82,13.7,198120.0,
2020-06-03,12.66,12.66,12.66,12.66,2532.0,
2020-06-04,13.0,13.58,13.0,13.56,65222.0,
2020-06-05,13.48,13.5,13.0,13.24,294390.0,
2020-06-08,13.26,13.26,13.26,13.26,22542.0,
2020-06-09,13.82,13.82,13.3,13.34,13368.0,
2020-06-10,13.76,13.8,13.4,13.4,85140.0,
2020-06-11,13.8,14.9,13.8,14.28,935536.0,
2020-06-15,14.28,14.3,13.4,14.0,286594.0,
2020-06-16,14.0,14.0,13.4,13.8,147010.0,
2020-06-17,14.0,14.3,13.34,14.2,231500.0,
2020-06-18,13.5,13.98,13.48,13.98,635214.0,
2020-06-19,13.5,13.94,13.5,13.5,57696.0,
2020-06-22,13.4,13.5,13.3,13.5,54992.0,
2020-06-23,13.0,13.5,13.0,13.5,35332.0,
2020-06-24,13.5,13.5,13.0,13.2,290352.0,
2020-06-25,12.68,13.18,12.68,13.18,58678.0,
2020-06-26,12.68,13.16,12.5,13.16,809384.0,
2020-06-29,12.56,13.1,12.56,13.08,19010.0,
2020-06-30,13.1,13.1,12.62,12.66,55884.0,
2020-07-01,12.72,12.72,12.72,12.72,7632.0,
2020-07-02,13.18,13.18,12.9,12.9,20744.0,
2020-07-03,12.54,12.8,12.54,12.8,52166.0,
2020-07-06,12.72,13.0,12.7,13.0,39590.0,
2020-07-07,13.3,13.3,13.0,13.24,53354.0,
2020-07-08,,,,,,
2020-07-09,13.0,13.1,12.5,13.1,16870.0,
2020-07-10,13.1,13.1,13.1,13.1,6550.0,
2020-07-13,13.22,13.22,13.22,13.22,5288.0,
2020-07-14,13.1,13.1,13.1,13.1,22270.0,
2020-07-15,12.82,12.82,12.82,12.82,53844.0,
2020-07-16,13.0,13.1,13.0,13.1,27480.0,
2020-07-17,12.82,13.08,12.82,13.08,6436.0,
2020-07-20,12.14,13.18,12.12,13.18,11028.0,
2020-07-21,13.18,13.18,13.18,13.18,1318.0,
2020-07-22,13.18,13.18,13.18,13.18,1318.0,
2020-07-23,13.1,13.16,13.1,13.14,38146.0,
2020-07-24,12.14,13.0,12.14,13.0,12226.0,
2020-07-27,12.22,13.32,12.22,13.2,473586.0,
2020-07-28,13.4,14.2,12.4,14.2,505024.0,
2020-07-29,14.2,14.2,13.52,13.9,60154.0,
2020-07-30,13.9,14.2,13.9,14.0,142364.0,
2020-08-03,14.0,14.1,13.52,14.1,26604.0,
2020-08-04,,,,14.44,,3200.0
2020-08-05,,,,14.36,,2400.0
2020-08-06,,,,14.0,,4600.0
2020-08-07,,,,14.2,,9900.0
2020-08-10,,,,15.5,,70400.0
2020-08-11,,,,16.0,,86100.0
2020-08-12,,,,15.52,,2400.0
2020-08-13,,,,15.8,,2700.0
2020-08-14,,,,15.8,,6800.0
2020-08-17,,,,15.8,,2600.0
2020-08-19,,,,15.7,,1500.0
2020-08-20,,,,15.4,,16600.0
2020-08-24,,,,15.38,,4300.0
2020-08-25,,,,15.36,,80800.0
2020-08-26,,,,15.0,,9200.0
2020-08-27,,,,15.88,,2200.0
2020-08-28,,,,15.8,,2100.0
2020-09-01,,,,15.3,,600.0
2020-09-02,,,,15.0,,3000.0
2020-09-03,,,,14.98,,4500.0
2020-09-04,,,,14.98,,700.0
2020-09-08,,,,14.62,,1900.0
2020-09-10,,,,15.6,,22700.0
2020-09-11,,,,16.02,,147300.0
2020-09-14,,,,15.56,,29100.0
2020-09-15,,,,15.5,,2200.0
2020-09-16,,,,15.16,,4300.0
2020-09-17,,,,15.22,,1500.0
2020-09-18,,,,15.22,,1700.0
2020-09-21,,,,15.16,,3700.0
2020-09-22,,,,15.4,,56100.0
2020-09-23,,,,15.16,,2500.0
2020-09-24,,,,15.14,,6600.0
2020-09-28,,,,13.04,,25700.0
