dt,open,high,low,close,value,volume
2020-03-02,0.47,0.47,0.46,0.46,83900.0,
2020-03-03,0.47,0.47,0.455,0.455,422700.0,
2020-03-04,0.455,0.455,0.45,0.455,532300.0,
2020-03-05,0.455,0.465,0.45,0.465,18300.0,
2020-03-06,0.465,0.465,0.455,0.465,83500.0,
2020-03-09,0.46,0.47,0.46,0.465,60100.0,
2020-03-10,0.455,0.46,0.45,0.455,194450.0,
2020-03-11,0.455,0.455,0.45,0.45,150100.0,
2020-03-12,0.45,0.45,0.43,0.43,198450.0,
2020-03-13,0.43,0.43,0.415,0.415,164350.0,
2020-03-16,0.455,0.455,0.41,0.41,86550.0,
2020-03-19,0.405,0.405,0.38,0.38,337250.0,
2020-03-20,0.38,0.38,0.375,0.375,251300.0,
2020-03-23,0.39,0.39,0.37,0.375,11350.0,
2020-03-24,0.38,0.4,0.37,0.4,38150.0,
2020-03-25,0.4,0.455,0.395,0.405,50950.0,
2020-03-26,0.4,0.45,0.4,0.42,21450.0,
2020-03-27,0.455,0.455,0.415,0.415,25500.0,
2020-03-30,0.41,0.425,0.41,0.41,12450.0,
2020-03-31,0.4,0.415,0.4,0.405,28350.0,
2020-04-01,,,,,,
2020-04-02,0.405,0.41,0.405,0.41,122000.0,
2020-04-03,0.41,0.41,0.405,0.405,8150.0,
2020-04-06,0.4,0.425,0.4,0.425,8250.0,
2020-04-07,0.425,0.435,0.42,0.42,12800.0,
2020-04-08,0.425,0.43,0.425,0.43,128000.0,
2020-04-13,0.43,0.49,0.43,0.455,64200.0,
2020-04-14,0.455,0.52,0.455,0.465,33850.0,
2020-04-15,0.47,0.47,0.45,0.455,227950.0,
2020-04-16,0.455,0.465,0.435,0.435,150350.0,
2020-04-17,0.45,0.45,0.435,0.45,17850.0,
2020-04-20,0.445,0.45,0.435,0.45,17800.0,
2020-04-21,0.455,0.46,0.45,0.45,31650.0,
2020-04-22,0.45,0.46,0.45,0.45,31600.0,
2020-04-23,0.455,0.465,0.45,0.46,36300.0,
2020-04-24,0.46,0.5,0.46,0.47,71200.0,
2020-04-27,0.475,0.52,0.475,0.485,73400.0,
2020-04-28,0.485,0.5,0.48,0.48,88500.0,
2020-04-29,0.495,0.495,0.485,0.485,14650.0,
2020-04-30,0.49,0.495,0.48,0.48,19500.0,
2020-05-04,0.48,0.485,0.475,0.485,38400.0,
2020-05-05,0.485,0.55,0.485,0.5,67100.0,
2020-05-06,0.54,0.61,0.495,0.51,41305.0,
2020-05-07,0.53,0.55,0.51,0.52,37760.0,
2020-05-08,0.51,0.55,0.51,0.53,35980.0,
2020-05-11,0.52,0.55,0.52,0.52,38700.0,
2020-05-12,0.52,0.57,0.52,0.54,168200.0,
2020-05-13,0.54,0.56,0.53,0.55,117270.0,
2020-05-14,0.56,0.56,0.52,0.53,43260.0,
