dt,open,high,low,close,value,volume
2020-03-02,5.0,5.3,4.8,4.8,1204635.0,
2020-03-03,4.81,5.03,4.55,4.95,275020.0,
2020-03-04,4.97,5.0,4.97,5.0,74870.0,
2020-03-05,4.94,5.0,4.71,5.0,367966.0,
2020-03-06,4.97,4.97,4.71,4.71,94620.0,
2020-03-09,4.6,4.98,4.6,4.98,50980.0,
2020-03-10,4.6,4.9,4.45,4.9,94700.0,
2020-03-11,,,,,,
2020-03-12,4.5,4.81,4.4,4.4,187010.0,
2020-03-13,4.3,4.8,3.8,4.8,326000.0,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,3.5,3.8,3.5,3.8,7300.0,
2020-03-31,4.8,4.8,4.4,4.4,46000.0,
2020-04-01,,,,,,
2020-04-02,4.6,4.6,4.6,4.6,9200.0,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,4.6,4.7,4.6,4.7,23200.0,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,4.6,4.6,4.6,4.6,36800.0,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,4.7,4.7,4.7,4.7,4700.0,
2020-04-20,4.7,4.7,4.7,4.7,4700.0,
2020-04-21,4.6,4.6,4.45,4.6,40600.0,
2020-04-22,4.7,4.7,4.7,4.7,4700.0,
2020-04-23,,,,,,
2020-04-24,4.6,4.6,4.6,4.6,4600.0,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,4.5,4.59,4.5,4.59,9090.0,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,4.45,4.45,4.45,4.45,4450.0,
2020-05-28,4.59,4.59,4.59,4.59,4590.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,4.5,4.59,4.3,4.59,97890.0,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,4.45,4.59,4.4,4.59,17890.0,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,,,,,,
2020-06-23,4.5,4.59,4.5,4.59,9090.0,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,4.5,4.59,4.35,4.59,53880.0,
2020-06-29,4.58,4.58,4.58,4.58,183200.0,
2020-06-30,,,,,,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,4.5,4.58,4.5,4.58,13580.0,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,,,,,,
2020-07-14,,,,,,
2020-07-15,4.45,4.54,4.1,4.54,107090.0,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,4.5,4.54,4.5,4.54,9040.0,
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-27,,,,,,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,4.5,4.5,4.5,4.5,4500.0,
2020-08-03,,,,,,
2020-08-10,,,,4.98,,238000.0
2020-08-11,,,,4.61,,44000.0
2020-08-12,,,,4.97,,12000.0
2020-08-13,,,,4.52,,5000.0
2020-08-14,,,,4.52,,14000.0
2020-08-24,,,,4.51,,10000.0
2020-08-28,,,,4.5,,12000.0
2020-09-01,,,,4.5,,5000.0
2020-09-04,,,,4.5,,7000.0
2020-09-07,,,,4.49,,20000.0
2020-09-08,,,,4.45,,8000.0
2020-09-09,,,,4.4,,3000.0
2020-09-10,,,,4.4,,1000.0
2020-09-14,,,,4.45,,57000.0
2020-09-15,,,,4.4,,1000.0
2020-09-16,,,,4.21,,15000.0
2020-09-17,,,,4.5,,3658000.0
2020-09-18,,,,4.22,,1000.0
2020-09-21,,,,4.21,,1550000.0
2020-09-23,,,,4.5,,1348000.0
2020-09-28,,,,4.22,,5361000.0
