dt,open,high,low,close,value,volume
2020-03-02,1.88,1.96,1.87,1.96,80490.0,
2020-03-03,1.96,2.03,1.95,1.98,29530.0,
2020-03-04,1.98,1.98,1.98,1.98,3960.0,
2020-03-05,,,,,,
2020-03-06,1.98,1.98,1.95,1.98,51120.0,
2020-03-09,1.94,1.94,1.86,1.93,32200.0,
2020-03-10,1.85,1.9,1.84,1.9,38940.0,
2020-03-11,1.9,1.9,1.9,1.9,3800.0,
2020-03-12,1.84,1.89,1.8,1.89,81230.0,
2020-03-13,1.8,1.8,1.7,1.73,99610.0,
2020-03-16,,,,,,
2020-03-19,1.75,1.75,1.57,1.57,16520.0,
2020-03-20,1.58,1.58,1.53,1.54,31000.0,
2020-03-23,1.52,1.52,1.49,1.5,85540.0,
2020-03-24,1.6,1.6,1.6,1.6,9600.0,
2020-03-25,,,,,,
2020-03-26,1.6,1.6,1.5,1.6,53450.0,
2020-03-27,1.6,1.6,1.6,1.6,11200.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,1.6,1.6,1.6,1.6,3200.0,
2020-04-02,,,,,,
2020-04-03,1.6,1.6,1.6,1.6,1600.0,
2020-04-06,1.7,1.79,1.7,1.79,69790.0,
2020-04-07,1.78,1.79,1.75,1.75,70600.0,
2020-04-08,1.79,1.79,1.75,1.75,3540.0,
2020-04-13,1.75,1.75,1.75,1.75,19250.0,
2020-04-14,1.75,1.79,1.72,1.72,210950.0,
2020-04-15,1.72,1.72,1.6,1.71,224410.0,
2020-04-16,1.71,1.71,1.7,1.7,28920.0,
2020-04-17,1.7,1.7,1.69,1.69,20290.0,
2020-04-20,1.7,1.7,1.68,1.68,75620.0,
2020-04-21,1.68,1.74,1.68,1.74,62760.0,
2020-04-22,1.74,1.74,1.74,1.74,5220.0,
2020-04-23,1.7,1.74,1.67,1.74,189820.0,
2020-04-24,1.68,1.69,1.65,1.69,348770.0,
2020-04-27,1.7,1.75,1.66,1.66,36120.0,
2020-04-28,1.65,1.65,1.65,1.65,1650.0,
2020-04-29,,,,,,
2020-04-30,1.74,1.75,1.7,1.73,103890.0,
2020-05-04,1.75,2.14,1.75,2.0,1248940.0,
2020-05-05,2.09,2.09,1.95,2.02,301590.0,
2020-05-06,1.95,2.0,1.9,2.0,270970.0,
2020-05-07,1.95,2.0,1.95,2.0,55860.0,
2020-05-08,1.96,2.01,1.95,2.0,64560.0,
2020-05-11,1.95,1.95,1.94,1.94,81680.0,
2020-05-12,1.95,1.95,1.94,1.94,27210.0,
2020-05-13,1.94,1.95,1.93,1.95,77540.0,
2020-05-14,1.93,1.95,1.87,1.95,95740.0,
2020-05-15,1.88,1.88,1.88,1.88,31960.0,
2020-05-18,1.87,1.87,1.84,1.87,135100.0,
2020-05-19,1.83,1.85,1.83,1.85,98920.0,
2020-05-20,1.9,1.92,1.9,1.91,51380.0,
2020-05-21,1.91,1.91,1.91,1.91,1910.0,
2020-05-22,1.86,1.91,1.86,1.91,5630.0,
2020-05-26,1.82,1.91,1.82,1.91,21930.0,
2020-05-27,1.9,1.9,1.9,1.9,9500.0,
2020-05-28,1.69,1.89,1.67,1.89,54370.0,
2020-05-29,1.89,1.89,1.89,1.89,17010.0,
2020-06-01,1.8,1.89,1.8,1.89,10890.0,
2020-06-02,1.9,1.9,1.9,1.9,1900.0,
2020-06-03,1.9,1.95,1.9,1.95,83670.0,
2020-06-04,1.95,1.95,1.88,1.94,40080.0,
2020-06-05,1.94,1.94,1.94,1.94,1940.0,
2020-06-08,1.95,1.95,1.93,1.95,250690.0,
2020-06-09,1.91,1.96,1.91,1.96,292850.0,
2020-06-10,1.96,1.97,1.96,1.96,129520.0,
2020-06-11,1.97,1.98,1.96,1.98,436330.0,
2020-06-15,1.96,2.1,1.95,2.08,340420.0,
2020-06-16,2.08,2.18,2.08,2.17,658730.0,
2020-06-17,2.19,2.29,2.1,2.17,1152400.0,
2020-06-18,2.17,2.17,2.02,2.05,183340.0,
2020-06-19,2.02,2.05,1.9,2.05,271490.0,
2020-06-22,2.06,2.06,1.88,2.01,153150.0,
2020-06-23,2.0,2.05,1.87,2.05,338350.0,
2020-06-24,2.05,2.09,2.05,2.09,70820.0,
2020-06-25,2.08,2.09,1.8,2.04,520400.0,
2020-06-26,2.04,2.06,1.89,1.89,96930.0,
2020-06-29,1.89,1.99,1.85,1.86,175710.0,
2020-06-30,,,,,,
2020-07-01,1.85,1.86,1.85,1.86,146530.0,
2020-07-02,2.03,2.03,1.88,1.89,28070.0,
2020-07-03,1.89,1.99,1.88,1.99,142010.0,
2020-07-06,1.89,1.91,1.89,1.89,20920.0,
2020-07-07,1.89,1.89,1.89,1.89,1890.0,
2020-07-08,1.89,1.89,1.89,1.89,22680.0,
2020-07-09,1.95,1.95,1.95,1.95,3900.0,
2020-07-10,,,,,,
2020-07-13,1.89,1.89,1.88,1.88,75360.0,
2020-07-14,1.88,1.88,1.88,1.88,47000.0,
2020-07-15,1.89,1.89,1.89,1.89,51030.0,
2020-07-16,1.89,1.89,1.89,1.89,5670.0,
2020-07-17,1.97,1.98,1.97,1.98,43350.0,
2020-07-20,1.98,2.0,1.87,2.0,98900.0,
2020-07-21,2.02,2.09,2.0,2.0,280410.0,
2020-07-22,2.0,2.15,2.0,2.01,132730.0,
2020-07-23,2.05,2.22,2.02,2.13,656530.0,
2020-07-24,2.03,2.09,2.03,2.09,75670.0,
2020-07-27,2.01,2.1,2.01,2.1,158080.0,
2020-07-28,2.02,2.1,2.02,2.09,304180.0,
2020-07-29,,,,,,
2020-07-30,2.1,2.1,2.04,2.05,160370.0,
2020-08-03,2.05,2.1,2.0,2.08,360680.0,
2020-08-04,,,,2.08,,23000.0
2020-08-05,,,,2.07,,68000.0
2020-08-06,,,,2.0,,58000.0
2020-08-07,,,,2.07,,39000.0
2020-08-10,,,,2.05,,84000.0
2020-08-11,,,,2.0,,32000.0
2020-08-12,,,,2.0,,32000.0
2020-08-13,,,,1.99,,40000.0
2020-08-14,,,,1.99,,31000.0
2020-08-17,,,,1.98,,25000.0
2020-08-18,,,,1.99,,32000.0
2020-08-19,,,,2.06,,33000.0
2020-08-20,,,,2.0,,20000.0
2020-08-24,,,,2.0,,50000.0
2020-08-25,,,,1.94,,34000.0
2020-08-26,,,,1.94,,35000.0
2020-08-27,,,,1.94,,62000.0
2020-08-28,,,,1.98,,18000.0
2020-09-01,,,,1.99,,38000.0
2020-09-02,,,,1.99,,40000.0
2020-09-03,,,,1.95,,124000.0
2020-09-04,,,,1.91,,83000.0
2020-09-07,,,,1.92,,36000.0
2020-09-08,,,,2.0,,25000.0
2020-09-09,,,,1.99,,71000.0
2020-09-10,,,,1.99,,4000.0
2020-09-11,,,,1.99,,104000.0
2020-09-14,,,,1.94,,19000.0
2020-09-15,,,,1.91,,77000.0
2020-09-17,,,,1.94,,19000.0
2020-09-18,,,,1.94,,133000.0
2020-09-21,,,,1.96,,32000.0
2020-09-23,,,,1.96,,12000.0
2020-09-24,,,,1.87,,110000.0
2020-09-25,,,,1.95,,42000.0
2020-09-28,,,,1.91,,80000.0
