dt,open,high,low,close,value,volume
2020-03-02,3.7,3.84,3.7,3.71,1381490.0,
2020-03-03,3.83,3.83,3.7,3.71,4190330.0,
2020-03-04,3.71,3.71,3.7,3.7,1582390.0,
2020-03-05,3.71,3.73,3.7,3.7,4532290.0,
2020-03-06,3.7,3.75,3.7,3.7,237810.0,
2020-03-09,3.69,3.69,3.68,3.69,5589840.0,
2020-03-10,3.67,3.71,3.67,3.71,2397590.0,
2020-03-11,3.71,3.84,3.7,3.71,226650.0,
2020-03-12,3.71,3.71,3.68,3.68,18747520.0,
2020-03-13,3.68,3.68,3.48,3.66,2823440.0,
2020-03-16,3.48,3.48,3.4,3.4,280600.0,
2020-03-19,3.45,3.45,2.62,2.9,5517460.0,
2020-03-20,3.0,3.01,2.9,2.9,3120580.0,
2020-03-23,3.0,3.0,2.76,2.79,1801060.0,
2020-03-24,2.85,2.85,2.81,2.83,277360.0,
2020-03-25,2.8,2.83,2.78,2.83,831230.0,
2020-03-26,2.83,3.0,2.78,3.0,964160.0,
2020-03-27,2.92,3.1,2.82,2.98,320290.0,
2020-03-30,2.83,2.83,2.82,2.83,688890.0,
2020-03-31,2.9,2.9,2.79,2.79,3094550.0,
2020-04-01,2.82,2.86,2.82,2.86,96680.0,
2020-04-02,2.86,2.86,2.79,2.79,669610.0,
2020-04-03,2.83,2.89,2.79,2.81,886840.0,
2020-04-06,2.93,2.93,2.82,2.85,1001940.0,
2020-04-07,3.54,3.54,2.91,2.96,2254550.0,
2020-04-08,3.0,3.0,2.81,2.87,3117470.0,
2020-04-13,2.81,2.84,2.81,2.82,1096710.0,
2020-04-14,2.83,2.87,2.81,2.85,3368300.0,
2020-04-15,2.86,2.92,2.86,2.89,1297640.0,
2020-04-16,2.89,2.92,2.8,2.88,4425590.0,
2020-04-17,2.81,2.87,2.78,2.79,7646360.0,
2020-04-20,2.8,2.83,2.78,2.78,5307690.0,
2020-04-21,2.8,2.82,2.77,2.77,1363620.0,
2020-04-22,2.77,2.77,2.73,2.74,1792800.0,
2020-04-23,2.75,2.78,2.73,2.73,1695700.0,
2020-04-24,2.72,2.73,2.62,2.69,2175100.0,
2020-04-27,2.69,2.69,2.63,2.63,898440.0,
2020-04-28,2.85,2.85,2.67,2.68,3179420.0,
2020-04-29,2.68,2.7,2.67,2.67,936680.0,
2020-04-30,2.67,2.68,2.62,2.62,10735930.0,
2020-05-04,2.62,2.64,2.47,2.57,15175270.0,
2020-05-05,2.69,2.69,2.55,2.55,14083180.0,
2020-05-06,2.49,2.5,2.4,2.45,26138250.0,
2020-05-07,2.5,2.68,2.45,2.68,30673280.0,
2020-05-08,2.69,2.79,2.56,2.76,13239690.0,
2020-05-11,2.72,2.74,2.65,2.71,8434180.0,
2020-05-12,2.74,2.74,2.61,2.62,7489530.0,
2020-05-13,2.61,2.63,2.56,2.57,4543130.0,
2020-05-14,2.75,2.77,2.67,2.69,10506420.0,
2020-05-15,2.69,2.69,2.61,2.63,1072360.0,
2020-05-18,2.61,2.61,2.5,2.5,11231930.0,
2020-05-19,2.5,2.61,2.45,2.45,13770820.0,
2020-05-20,2.44,2.48,2.44,2.48,1675550.0,
2020-05-21,2.45,2.5,2.45,2.46,4614640.0,
2020-05-22,2.46,2.46,2.43,2.45,4028730.0,
2020-05-26,2.45,2.48,2.45,2.45,4176340.0,
2020-05-27,2.44,2.45,2.43,2.43,8687030.0,
2020-05-28,2.42,2.5,2.4,2.41,6093700.0,
2020-05-29,2.5,2.5,2.4,2.4,8411000.0,
2020-06-01,2.44,2.44,2.38,2.43,3878900.0,
2020-06-02,2.47,2.48,2.42,2.45,1398680.0,
2020-06-03,2.48,2.58,2.48,2.58,880170.0,
2020-06-04,2.59,2.6,2.55,2.58,2352720.0,
2020-06-05,2.57,2.66,2.52,2.63,3681780.0,
2020-06-08,2.63,2.73,2.63,2.7,6386200.0,
2020-06-09,2.7,2.72,2.7,2.71,3176880.0,
2020-06-10,2.72,2.72,2.68,2.68,2545410.0,
2020-06-11,2.65,2.71,2.65,2.69,1276160.0,
2020-06-15,2.69,2.69,2.6,2.61,1233900.0,
2020-06-16,2.61,2.64,2.6,2.63,533320.0,
2020-06-17,2.65,2.65,2.62,2.63,204810.0,
2020-06-18,2.63,2.69,2.62,2.63,2046880.0,
2020-06-19,2.63,2.64,2.61,2.64,1361100.0,
2020-06-22,2.65,2.65,2.63,2.65,1798520.0,
2020-06-23,2.65,2.74,2.65,2.73,430990.0,
2020-06-24,2.7,2.72,2.66,2.7,604660.0,
2020-06-25,2.68,2.68,2.66,2.67,670280.0,
2020-06-26,2.67,2.73,2.66,2.72,329420.0,
2020-06-29,2.72,2.72,2.68,2.69,1784670.0,
2020-06-30,2.67,2.8,2.67,2.74,32417370.0,
2020-07-01,2.73,2.79,2.73,2.74,2538290.0,
2020-07-02,2.73,2.83,2.73,2.81,2009780.0,
2020-07-03,2.84,2.88,2.84,2.87,3404570.0,
2020-07-06,2.86,2.95,2.77,2.77,2852740.0,
2020-07-07,2.77,2.8,2.75,2.79,553590.0,
2020-07-08,2.79,2.8,2.73,2.73,4296140.0,
2020-07-09,2.73,2.73,2.68,2.71,3897310.0,
2020-07-10,2.68,2.71,2.65,2.66,1531690.0,
2020-07-13,2.56,2.63,2.45,2.56,9350760.0,
2020-07-14,2.56,2.56,2.45,2.45,3128800.0,
2020-07-15,2.43,2.46,2.42,2.43,400500.0,
2020-07-16,2.43,2.45,2.43,2.43,8035520.0,
2020-07-17,2.43,2.45,2.43,2.43,297850.0,
2020-07-20,2.43,2.46,2.43,2.46,5086010.0,
2020-07-21,2.43,2.47,2.43,2.43,14539620.0,
2020-07-22,2.43,2.46,2.43,2.43,336220.0,
2020-07-23,2.45,2.45,2.41,2.41,5239420.0,
2020-07-24,2.41,2.41,2.4,2.41,905580.0,
2020-07-27,2.4,2.42,2.39,2.41,2865230.0,
2020-07-28,2.39,2.45,2.39,2.39,1791460.0,
2020-07-29,2.39,2.45,2.33,2.45,4446410.0,
2020-07-30,2.38,2.45,2.35,2.35,901260.0,
2020-08-03,2.35,2.35,2.34,2.34,63350.0,
2020-08-04,,,,2.34,,37000.0
2020-08-05,,,,2.33,,659000.0
2020-08-06,,,,2.33,,1002000.0
2020-08-07,,,,2.33,,432000.0
2020-08-10,,,,2.33,,629000.0
2020-08-11,,,,2.31,,852000.0
2020-08-12,,,,2.3,,611000.0
2020-08-13,,,,2.31,,48000.0
2020-08-14,,,,2.32,,214000.0
2020-08-17,,,,2.32,,125000.0
2020-08-18,,,,2.33,,643000.0
2020-08-19,,,,2.31,,168000.0
2020-08-27,,,,2.26,,4151000.0
2020-08-28,,,,2.36,,562000.0
2020-09-01,,,,2.37,,1128000.0
2020-09-02,,,,2.37,,250000.0
2020-09-03,,,,2.38,,75000.0
2020-09-04,,,,2.38,,91000.0
2020-09-07,,,,2.45,,3709000.0
2020-09-08,,,,2.46,,100000.0
2020-09-09,,,,2.42,,585000.0
2020-09-10,,,,2.41,,832000.0
2020-09-11,,,,2.45,,44000.0
2020-09-14,,,,2.47,,645000.0
2020-09-15,,,,2.41,,1678000.0
2020-09-16,,,,2.42,,669000.0
2020-09-17,,,,2.42,,75000.0
2020-09-18,,,,2.38,,1312000.0
2020-09-21,,,,2.3,,1203000.0
2020-09-22,,,,2.29,,1657000.0
2020-09-23,,,,2.29,,2410000.0
2020-09-24,,,,2.29,,1091000.0
2020-09-25,,,,2.3,,58000.0
2020-09-28,,,,2.3,,1309000.0
