dt,open,high,low,close,value,volume
2020-03-02,1.9,1.95,1.9,1.92,130690.0,
2020-03-03,1.9,1.9,1.9,1.9,121600.0,
2020-03-04,1.9,1.9,1.85,1.87,587300.0,
2020-03-05,1.95,1.95,1.87,1.88,108820.0,
2020-03-06,1.86,1.9,1.8,1.8,606010.0,
2020-03-09,1.78,1.78,1.53,1.53,520360.0,
2020-03-10,1.51,1.65,1.5,1.62,347870.0,
2020-03-11,1.64,1.64,1.53,1.53,523830.0,
2020-03-12,1.53,1.53,1.4,1.4,201980.0,
2020-03-13,1.33,1.33,1.13,1.25,24963750.0,
2020-03-16,1.27,1.31,1.18,1.25,242540.0,
2020-03-19,1.15,1.15,1.02,1.15,145100.0,
2020-03-20,1.15,1.2,1.15,1.15,37050.0,
2020-03-23,1.19,1.3,1.15,1.3,219090.0,
2020-03-24,1.29,1.29,1.27,1.29,210970.0,
2020-03-25,1.31,1.4,1.3,1.3,1001050.0,
2020-03-26,1.38,1.38,1.3,1.37,433680.0,
2020-03-27,1.37,1.5,1.28,1.38,1746580.0,
2020-03-30,1.3,1.5,1.3,1.34,13466860.0,
2020-03-31,1.41,1.42,1.41,1.41,157930.0,
2020-04-01,1.43,1.43,1.35,1.43,47110.0,
2020-04-02,1.35,1.35,1.35,1.35,32400.0,
2020-04-03,1.3,1.3,1.3,1.3,744900.0,
2020-04-06,1.33,1.33,1.3,1.33,188470.0,
2020-04-07,1.33,1.4,1.31,1.35,597300.0,
2020-04-08,1.38,1.49,1.36,1.39,769120.0,
2020-04-13,1.39,1.39,1.37,1.37,431680.0,
2020-04-14,1.39,1.44,1.36,1.42,460540.0,
2020-04-15,1.42,1.55,1.42,1.43,879980.0,
2020-04-16,1.46,1.47,1.38,1.39,218340.0,
2020-04-17,1.45,1.45,1.41,1.41,150740.0,
2020-04-20,1.42,1.44,1.4,1.42,397960.0,
2020-04-21,1.44,1.63,1.44,1.53,1763570.0,
2020-04-22,1.55,1.55,1.44,1.49,406390.0,
2020-04-23,1.48,1.53,1.48,1.51,325960.0,
2020-04-24,1.51,1.51,1.5,1.5,183260.0,
2020-04-27,1.51,1.51,1.44,1.46,202730.0,
2020-04-28,1.47,1.49,1.44,1.48,213340.0,
2020-04-29,1.45,1.48,1.44,1.44,139290.0,
2020-04-30,1.44,1.55,1.44,1.54,651010.0,
2020-05-04,1.58,1.63,1.5,1.52,538770.0,
2020-05-05,1.51,1.61,1.46,1.52,95420.0,
2020-05-06,1.57,1.57,1.44,1.52,119330.0,
2020-05-07,1.52,1.52,1.47,1.52,63580.0,
2020-05-08,1.47,1.51,1.47,1.51,516980.0,
2020-05-11,1.47,1.5,1.47,1.5,34150.0,
2020-05-12,1.46,1.51,1.46,1.51,21950.0,
2020-05-13,1.47,1.51,1.45,1.51,49600.0,
2020-05-14,1.45,1.5,1.4,1.41,400290.0,
2020-05-15,1.41,1.53,1.41,1.51,510850.0,
2020-05-18,1.53,1.53,1.41,1.52,43940.0,
2020-05-19,1.42,1.43,1.42,1.43,94360.0,
2020-05-20,1.43,1.5,1.43,1.5,4430.0,
2020-05-21,1.5,1.5,1.44,1.44,699690.0,
2020-05-22,1.44,1.44,1.44,1.44,1440.0,
2020-05-26,1.44,1.44,1.44,1.44,191520.0,
2020-05-27,1.46,1.46,1.42,1.42,28480.0,
2020-05-28,1.42,1.42,1.42,1.42,28400.0,
2020-05-29,1.42,1.42,1.41,1.41,152650.0,
2020-06-01,1.44,1.46,1.44,1.46,221150.0,
2020-06-02,1.48,1.5,1.48,1.48,117600.0,
2020-06-03,1.49,1.49,1.4,1.49,769130.0,
2020-06-04,1.5,1.51,1.5,1.51,301940.0,
2020-06-05,1.45,1.64,1.45,1.64,3314980.0,
2020-06-08,1.65,1.79,1.65,1.78,1774200.0,
2020-06-09,1.79,1.82,1.74,1.82,647690.0,
2020-06-10,1.8,1.8,1.64,1.75,4246220.0,
2020-06-11,1.67,1.68,1.65,1.68,840660.0,
2020-06-15,1.64,1.64,1.57,1.57,1065020.0,
2020-06-16,1.57,1.58,1.55,1.58,323150.0,
2020-06-17,1.58,1.58,1.53,1.55,351800.0,
2020-06-18,1.55,1.62,1.55,1.58,627020.0,
2020-06-19,1.63,1.63,1.56,1.58,393260.0,
2020-06-22,1.56,1.57,1.54,1.55,403520.0,
2020-06-23,1.55,1.59,1.53,1.59,822990.0,
2020-06-24,1.6,1.62,1.52,1.53,340130.0,
2020-06-25,1.53,1.55,1.51,1.55,128040.0,
2020-06-26,1.6,1.6,1.49,1.51,1598730.0,
