dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,0.82,0.93,0.82,0.93,43130.0,
2020-03-04,0.82,0.91,0.81,0.91,68330.0,
2020-03-05,,,,,,
2020-03-06,0.91,0.96,0.9,0.93,301570.0,
2020-03-09,0.84,0.92,0.84,0.92,67880.0,
2020-03-10,0.82,0.89,0.82,0.89,282950.0,
2020-03-11,0.83,0.89,0.82,0.89,77530.0,
2020-03-12,0.82,0.82,0.75,0.75,122260.0,
2020-03-13,0.7,0.73,0.7,0.73,305500.0,
2020-03-16,,,,,,
2020-03-19,0.68,0.68,0.61,0.61,9740.0,
2020-03-20,0.61,0.61,0.61,0.61,14030.0,
2020-03-23,0.62,0.62,0.62,0.62,18600.0,
2020-03-24,,,,,,
2020-03-25,0.7,0.7,0.7,0.7,21000.0,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,0.61,0.61,0.61,0.61,122000.0,
2020-03-31,0.7,0.7,0.7,0.7,21000.0,
2020-04-01,0.7,0.7,0.7,0.7,3500.0,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,0.68,0.68,0.68,0.68,6800.0,
2020-04-15,,,,,,
2020-04-16,0.7,0.72,0.7,0.71,4250.0,
2020-04-17,0.71,0.71,0.68,0.68,14050.0,
2020-04-20,0.87,0.87,0.87,0.87,11310.0,
2020-04-21,0.86,0.86,0.86,0.86,8600.0,
2020-04-22,0.79,0.79,0.79,0.79,8690.0,
2020-04-23,0.75,0.79,0.75,0.79,3910.0,
2020-04-24,0.79,0.79,0.79,0.79,17380.0,
2020-04-27,,,,,,
2020-04-28,0.7,0.77,0.7,0.77,23240.0,
2020-04-29,0.78,0.78,0.72,0.78,31840.0,
2020-04-30,,,,,,
2020-05-04,0.78,0.78,0.72,0.72,29580.0,
2020-05-05,0.71,0.73,0.71,0.73,78830.0,
2020-05-06,0.78,0.78,0.78,0.78,5460.0,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,0.78,0.78,0.78,0.78,780.0,
2020-05-13,0.71,0.8,0.71,0.78,78670.0,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,0.85,0.85,0.71,0.72,219650.0,
2020-05-19,,,,,,
2020-05-20,0.77,0.77,0.77,0.77,2310.0,
2020-05-21,0.76,0.77,0.76,0.77,11440.0,
2020-05-22,0.77,0.78,0.77,0.78,10130.0,
2020-05-26,0.72,0.72,0.71,0.71,27800.0,
2020-05-27,0.73,0.76,0.72,0.76,137770.0,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,0.85,0.85,0.8,0.8,7450.0,
2020-06-02,0.73,0.73,0.73,0.73,730.0,
2020-06-03,0.75,0.8,0.75,0.8,64450.0,
2020-06-04,,,,,,
2020-06-05,0.84,0.84,0.84,0.84,840.0,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,0.8,0.8,0.8,0.8,40000.0,
2020-06-11,0.8,0.8,0.8,0.8,800.0,
2020-06-15,0.75,0.75,0.75,0.75,84000.0,
2020-06-16,0.75,0.75,0.75,0.75,6750.0,
2020-06-17,0.76,0.76,0.76,0.76,8360.0,
2020-06-18,,,,,,
2020-06-19,0.77,0.77,0.77,0.77,23100.0,
2020-06-22,0.79,0.84,0.79,0.84,17880.0,
2020-06-23,0.84,0.84,0.84,0.84,6720.0,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,0.76,0.78,0.76,0.77,54570.0,
2020-06-29,0.77,0.77,0.77,0.77,18480.0,
2020-06-30,0.79,0.8,0.79,0.8,19860.0,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,0.8,0.8,0.79,0.79,47900.0,
2020-07-06,,,,,,
2020-07-07,0.77,0.79,0.75,0.79,535630.0,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,0.79,0.79,0.79,0.79,790.0,
2020-07-13,0.76,0.76,0.76,0.76,15960.0,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,0.7,0.7,0.7,0.7,700.0,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,0.7,0.8,0.68,0.77,214370.0,
2020-07-22,0.71,0.74,0.7,0.74,43250.0,
2020-07-23,,,,,,
2020-07-24,0.7,0.7,0.7,0.7,5600.0,
2020-07-27,0.75,0.75,0.71,0.71,22100.0,
2020-07-28,,,,,,
2020-07-29,0.71,0.71,0.7,0.7,26720.0,
2020-07-30,,,,,,
2020-08-03,,,,,,
2020-08-06,,,,0.72,,22000.0
2020-08-10,,,,0.72,,6000.0
2020-08-11,,,,0.76,,21000.0
2020-08-12,,,,0.8,,124000.0
2020-08-13,,,,0.73,,12000.0
2020-08-17,,,,0.75,,56000.0
2020-08-19,,,,0.79,,3000.0
2020-08-20,,,,0.78,,41000.0
2020-08-25,,,,0.78,,22000.0
2020-08-26,,,,0.74,,2000.0
2020-08-28,,,,0.73,,81000.0
2020-09-01,,,,0.79,,27000.0
2020-09-02,,,,0.82,,14000.0
2020-09-03,,,,0.77,,3000.0
2020-09-07,,,,0.78,,50000.0
2020-09-10,,,,0.79,,60000.0
2020-09-11,,,,0.74,,1000.0
2020-09-15,,,,0.75,,12000.0
2020-09-22,,,,0.77,,1000.0
2020-09-23,,,,0.79,,81000.0
