dt,open,high,low,close,value,volume
2020-03-02,8.8,9.33,8.8,9.25,16684575.0,
2020-03-03,9.35,9.4,9.1,9.2,15725686.0,
2020-03-04,9.3,9.34,9.05,9.34,15090575.0,
2020-03-05,9.34,9.35,8.76,8.8,13684070.0,
2020-03-06,8.96,8.96,8.0,8.0,13868747.0,
2020-03-09,7.8,7.8,7.0,7.06,9085853.0,
2020-03-10,7.03,8.2,6.63,8.2,37988871.0,
2020-03-11,8.21,8.4,8.16,8.31,92056188.0,
2020-03-12,8.2,8.2,7.4,7.9,32556235.0,
2020-03-13,7.4,7.52,6.75,7.13,14059698.0,
2020-03-16,7.13,7.13,6.0,6.45,20780719.0,
2020-03-19,6.0,6.2,5.5,5.5,9718501.0,
2020-03-20,5.72,6.95,5.72,6.03,80400833.0,
2020-03-23,6.0,6.6,6.0,6.14,21594723.0,
2020-03-24,6.4,6.41,6.05,6.2,14939805.0,
2020-03-25,6.5,6.8,6.21,6.38,209411503.0,
2020-03-26,6.58,7.1,6.4,6.88,7026905.0,
2020-03-27,7.0,7.24,6.88,7.24,35836176.0,
2020-03-30,7.2,7.2,6.99,7.1,18147469.0,
2020-03-31,7.1,8.3,7.1,8.3,9146007.0,
2020-04-01,8.0,8.0,7.51,7.99,9792434.0,
2020-04-02,7.5,7.7,7.4,7.57,3671015.0,
2020-04-03,7.79,7.79,7.32,7.5,3510967.0,
2020-04-06,7.45,7.59,7.26,7.4,11694117.0,
2020-04-07,7.42,7.5,7.21,7.21,55898952.0,
2020-04-08,7.35,7.45,7.17,7.45,9911599.0,
2020-04-13,7.45,7.48,7.16,7.39,8206995.0,
2020-04-14,7.4,7.61,7.36,7.55,54031928.0,
2020-04-15,7.69,8.0,7.64,8.0,12027186.0,
2020-04-16,8.0,8.1,7.6,7.75,5806749.0,
2020-04-17,7.8,7.85,7.7,7.8,15957319.0,
2020-04-20,7.86,7.88,7.63,7.64,10155906.0,
2020-04-21,7.75,7.75,7.43,7.51,8848613.0,
2020-04-22,7.5,7.6,7.44,7.52,11713219.0,
2020-04-23,7.59,7.78,7.5,7.52,5448765.0,
2020-04-24,7.6,7.69,7.5,7.69,4550636.0,
2020-04-27,7.77,7.85,7.51,7.6,3406810.0,
2020-04-28,7.62,7.8,7.5,7.6,4082605.0,
2020-04-29,7.7,7.8,7.7,7.72,8831823.0,
2020-04-30,7.81,7.89,7.72,7.75,10149537.0,
2020-05-04,7.75,7.75,7.55,7.64,9963284.0,
2020-05-05,7.79,7.79,7.64,7.66,18063803.0,
2020-05-06,7.81,7.81,7.61,7.7,3586635.0,
2020-05-07,7.8,7.8,7.56,7.6,3150123.0,
2020-05-08,7.6,7.7,7.52,7.56,2182785.0,
2020-05-11,7.58,7.64,7.52,7.6,3094749.0,
2020-05-12,7.65,7.7,7.53,7.55,8893138.0,
2020-05-13,7.6,7.6,7.32,7.38,34453933.0,
2020-05-14,7.4,7.6,7.11,7.18,17605714.0,
2020-05-15,7.18,7.4,7.13,7.18,2641702.0,
2020-05-18,7.35,7.49,7.25,7.34,30976512.0,
2020-05-19,7.49,7.5,7.25,7.25,24713697.0,
