dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,0.0073,0.0073,0.0073,0.0073,7300.0,
2020-03-05,0.0075,0.0077,0.0075,0.0077,38200.0,
2020-03-06,0.0076,0.0076,0.0076,0.0076,7600.0,
2020-03-09,0.0072,0.0072,0.0072,0.0072,21600.0,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,0.0057,0.0058,0.0057,0.0058,28900.0,
2020-03-16,0.0058,0.0058,0.0056,0.0056,28600.0,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,0.006,0.006,0.006,0.006,30000.0,
2020-03-24,0.006,0.0061,0.006,0.0061,66600.0,
2020-03-25,0.0061,0.0061,0.0061,0.0061,24400.0,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,0.006999999999999999,0.0071,0.0064,0.0064,34700.0,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,0.0062,0.0062,0.0062,0.0062,49600.0,
2020-04-07,0.0065,0.0065,0.0064,0.0065,142900.0,
2020-04-08,0.0065,0.0066,0.0065,0.0066,208100.0,
2020-04-13,,,,,,
2020-04-14,0.0065,0.0066,0.0065,0.0066,455600.0,
2020-04-15,0.0065,0.0066,0.0065,0.0065,333500.0,
2020-04-16,,,,,,
2020-04-17,0.0065,0.0066,0.0065,0.0066,279700.0,
2020-04-20,0.0066,0.0066,0.0065,0.0065,442500.0,
2020-04-21,0.006999999999999999,0.006999999999999999,0.0065,0.0066,72900.0,
2020-04-22,0.0065,0.0065,0.0065,0.0065,162500.0,
2020-04-23,0.0066,0.0066,0.0066,0.0066,13200.0,
2020-04-24,0.0065,0.0066,0.0065,0.0066,570900.0,
2020-04-27,,,,,,
2020-04-28,0.0066,0.0066,0.0065,0.0065,643900.0,
2020-04-29,0.0066,0.0066,0.0065,0.0066,234200.0,
2020-04-30,,,,,,
2020-05-04,0.0066,0.0066,0.0066,0.0066,6600.0,
2020-05-05,0.0066,0.0066,0.0065,0.0065,91100.0,
2020-05-06,0.0065,0.0065,0.0065,0.0065,39000.0,
2020-05-07,0.0065,0.0065,0.0065,0.0065,71500.0,
2020-05-08,0.0065,0.0065,0.0065,0.0065,6500.0,
2020-05-11,0.0065,0.0065,0.0065,0.0065,6500.0,
2020-05-12,0.0064,0.0064,0.0064,0.0064,192000.0,
2020-05-13,0.0064,0.0065,0.0064,0.0065,205000.0,
2020-05-14,,,,,,
2020-05-15,0.0066,0.0066,0.0065,0.0065,13100.0,
2020-05-18,0.0065,0.0065,0.0062,0.0062,316900.0,
2020-05-19,0.0065,0.0065,0.0065,0.0065,6500.0,
2020-05-20,0.0063,0.0063,0.0063,0.0063,6300.0,
2020-05-21,,,,,,
2020-05-22,0.0063,0.0063,0.0063,0.0063,12600.0,
2020-05-26,0.0066,0.0066,0.0063,0.0063,12900.0,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,0.0063,0.0063,0.0063,0.0063,126000.0,
2020-06-04,0.0064,0.0064,0.0064,0.0064,6400.0,
2020-06-05,0.0063,0.0063,0.0063,0.0063,63000.0,
2020-06-08,0.0063,0.0063,0.0063,0.0063,94500.0,
2020-06-09,0.0064,0.0064,0.0063,0.0063,75800.0,
2020-06-10,,,,,,
2020-06-11,0.0065,0.0066,0.0065,0.0066,335000.0,
2020-06-15,0.0066,0.0066,0.0063,0.0063,57300.0,
2020-06-16,0.0063,0.0063,0.0062,0.0062,88000.0,
2020-06-17,0.0062,0.0062,0.0062,0.0062,31000.0,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,0.0064,0.0064,0.0064,0.0064,6400.0,
2020-06-23,0.0065,0.0065,0.0065,0.0065,6500.0,
2020-06-24,0.0065,0.0068,0.0065,0.0068,633300.0,
2020-06-25,0.0066,0.0066,0.0066,0.0066,19800.0,
2020-06-26,,,,,,
2020-06-29,0.0066,0.0067,0.0066,0.0067,186600.0,
2020-06-30,0.0069,0.0069,0.0068,0.0068,48200.0,
2020-07-01,0.0068,0.0071,0.0068,0.006999999999999999,1044900.0,
2020-07-02,0.0072,0.0074,0.0071,0.0074,327400.0,
2020-07-03,0.006999999999999999,0.0073,0.006999999999999999,0.0072,260000.0,
2020-07-06,0.0071,0.0072,0.0071,0.0071,298700.0,
2020-07-07,0.0072,0.0074,0.0072,0.0074,414800.0,
2020-07-08,0.0073,0.0074,0.0073,0.0074,177200.0,
2020-07-09,0.0074,0.0077,0.0074,0.0077,759000.0,
2020-07-10,0.0077,0.0084,0.0077,0.0083,930000.0,
2020-07-13,0.008,0.008,0.0072,0.0075,333800.0,
2020-07-14,0.0073,0.0079,0.0073,0.0079,52600.0,
2020-07-15,0.0074,0.0074,0.0074,0.0074,14800.0,
2020-07-16,0.0072,0.0072,0.0072,0.0072,7200.0,
2020-07-17,0.0078,0.0078,0.0077,0.0078,85700.0,
2020-07-20,0.0078,0.0078,0.0078,0.0078,117000.0,
2020-07-21,0.0079,0.0092,0.0078,0.0084,2632600.0,
2020-07-22,0.0087,0.009000000000000001,0.0085,0.0088,1236800.0,
2020-07-23,0.009000000000000001,0.0094,0.0086,0.0089,644700.0,
2020-07-24,0.0089,0.0091,0.0088,0.0089,381900.0,
2020-07-27,0.0093,0.012,0.0093,0.01,8627800.0,
2020-07-28,0.01,0.012,0.0095,0.0098,3775820.0,
2020-07-29,0.0099,0.01,0.0088,0.009000000000000001,1378300.0,
2020-07-30,0.0095,0.0098,0.0092,0.0096,899300.0,
2020-08-03,0.0096,0.011000000000000001,0.0096,0.0099,1759200.0,
2020-08-04,,,,0.01,,69000000.0
2020-08-05,,,,0.011,,368100000.0
2020-08-06,,,,0.01,,218600000.0
2020-08-07,,,,0.011,,192100000.0
2020-08-10,,,,0.011,,1329200000.0
2020-08-11,,,,0.011,,33900000.0
2020-08-12,,,,0.0099,,238100000.0
2020-08-13,,,,0.0099,,30000000.0
2020-08-14,,,,0.0099,,29000000.0
2020-08-17,,,,0.0099,,59000000.0
2020-08-18,,,,0.01,,57000000.0
2020-08-19,,,,0.0099,,8300000.0
2020-08-20,,,,0.0099,,16000000.0
2020-08-24,,,,0.0095,,58000000.0
2020-08-25,,,,0.0093,,99000000.0
2020-08-26,,,,0.0095,,10000000.0
2020-08-27,,,,0.0095,,25000000.0
2020-08-28,,,,0.0095,,4000000.0
2020-09-01,,,,0.0096,,36000000.0
2020-09-02,,,,0.01,,36000000.0
2020-09-03,,,,0.0097,,15100000.0
2020-09-04,,,,0.0095,,3000000.0
2020-09-07,,,,0.0098,,243000000.0
2020-09-08,,,,0.0097,,21000000.0
2020-09-09,,,,0.0097,,5000000.0
2020-09-10,,,,0.0097,,2000000.0
2020-09-11,,,,0.0098,,7000000.0
2020-09-14,,,,0.0096,,17000000.0
2020-09-15,,,,0.0097,,6000000.0
2020-09-16,,,,0.0096,,3000000.0
2020-09-17,,,,0.0096,,18000000.0
2020-09-18,,,,0.0096,,9000000.0
2020-09-21,,,,0.0096,,11000000.0
2020-09-22,,,,0.0094,,35000000.0
2020-09-23,,,,0.0092,,202000000.0
2020-09-25,,,,0.009,,38000000.0
2020-09-28,,,,0.009,,26000000.0
