dt,open,high,low,close,value,volume
2020-03-02,8.4,8.4,7.96,8.3,30408242.0,
2020-03-03,8.51,8.88,8.0,8.0,75613561.0,
2020-03-04,7.96,8.06,7.88,8.0,30254703.0,
2020-03-05,8.15,8.26,8.06,8.08,6382213.0,
2020-03-06,8.0,8.05,7.7,8.03,7355207.0,
2020-03-09,7.89,7.89,7.0,7.0,9650607.0,
2020-03-10,7.0,7.2,6.7,7.14,4989077.0,
2020-03-11,7.2,7.57,7.0,7.1,4016153.0,
2020-03-12,7.1,7.1,5.61,5.8,9480444.0,
2020-03-13,5.7,6.2,4.84,5.99,10168938.0,
2020-03-16,5.7,5.79,5.1,5.1,6225102.0,
2020-03-19,4.8,4.8,3.94,4.06,4876629.0,
2020-03-20,4.19,4.75,4.16,4.18,1861570.0,
2020-03-23,4.17,4.75,4.0,4.75,6521750.0,
2020-03-24,4.75,4.75,4.4,4.61,2147690.0,
2020-03-25,4.97,4.97,4.5,4.62,7723330.0,
2020-03-26,4.79,4.91,4.6,4.68,9155880.0,
2020-03-27,4.67,5.2,4.67,4.9,12594090.0,
2020-03-30,4.9,4.92,4.55,4.73,5971270.0,
2020-03-31,4.73,4.9,4.61,4.77,5627270.0,
2020-04-01,4.77,5.35,4.4,4.6,20760160.0,
2020-04-02,4.52,4.57,4.27,4.3,11594240.0,
2020-04-03,4.3,4.47,4.15,4.25,20383080.0,
2020-04-06,4.25,4.35,4.15,4.24,10383340.0,
2020-04-07,4.32,4.4,4.23,4.26,15204260.0,
2020-04-08,4.27,4.38,4.15,4.2,7997510.0,
2020-04-13,4.27,4.51,4.27,4.45,13381030.0,
2020-04-14,4.55,5.4,4.55,5.18,63453220.0,
2020-04-15,5.55,5.74,5.18,5.18,70476517.0,
2020-04-16,5.2,5.22,4.82,4.87,25713812.0,
2020-04-17,5.0,5.2,4.9,4.9,31090340.0,
2020-04-20,5.02,5.1,4.88,5.04,37362000.0,
2020-04-21,5.2,5.3,4.7,4.75,65043557.0,
2020-04-22,4.74,4.74,4.3,4.56,24454490.0,
2020-04-23,4.71,4.83,4.6,4.66,18371420.0,
2020-04-24,4.78,5.09,4.69,5.09,51003150.0,
2020-04-27,5.3,5.5,4.8,4.85,86272504.0,
2020-04-28,4.98,5.08,4.9,5.02,32681840.0,
2020-04-29,5.1,5.25,4.98,5.12,75935526.0,
2020-04-30,5.3,5.38,5.01,5.05,90050593.0,
2020-05-04,4.7,4.8,4.35,4.55,73077096.0,
2020-05-05,4.6,4.73,4.56,4.59,33296050.0,
2020-05-06,4.57,4.58,4.42,4.45,27621920.0,
2020-05-07,4.49,4.49,4.23,4.3,20789340.0,
2020-05-08,4.32,4.41,4.32,4.37,16966120.0,
2020-05-11,4.5,4.64,4.37,4.6,33556340.0,
2020-05-12,4.62,4.71,4.4,4.41,30255700.0,
2020-05-13,4.2,4.3,4.11,4.2,30594730.0,
