dt,open,high,low,close,value,volume
2020-03-02,6.52,6.52,6.5,6.5,13652.0,
2020-03-03,,,,,,
2020-03-04,6.15,6.15,6.15,6.15,10455.0,
2020-03-05,6.14,6.49,6.12,6.49,16364.0,
2020-03-06,6.49,6.49,6.49,6.49,649.0,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,6.0,6.5,6.0,6.5,15921.0,
2020-03-12,6.0,6.4,5.8,6.4,36210.0,
2020-03-13,5.3,6.2,5.22,6.2,18626.0,
2020-03-16,,,,,,
2020-03-19,5.22,5.5,5.22,5.5,49106.0,
2020-03-20,5.22,5.22,5.22,5.22,3132.0,
2020-03-23,4.75,5.2,4.75,5.2,995.0,
2020-03-24,,,,,,
2020-03-25,4.75,5.22,4.75,4.78,407459.0,
2020-03-26,,,,,,
2020-03-27,4.8,4.8,4.8,4.8,4800.0,
2020-03-30,4.8,4.8,4.8,4.8,14400.0,
2020-03-31,4.75,4.75,4.75,4.75,47500.0,
2020-04-01,4.9,5.16,4.9,5.0,40210.0,
2020-04-02,,,,,,
2020-04-03,5.5,5.5,5.5,5.5,3850.0,
2020-04-06,6.2,6.2,6.0,6.0,55307.0,
2020-04-07,6.15,6.15,5.8,5.8,8840.0,
2020-04-08,,,,,,
2020-04-13,5.3,5.3,5.3,5.3,10070.0,
2020-04-14,5.75,5.75,5.32,5.5,12340.0,
2020-04-15,6.15,6.15,5.51,5.51,113707.0,
2020-04-16,,,,,,
2020-04-17,5.6,6.0,5.3,6.0,41565.0,
2020-04-20,4.81,6.0,4.81,6.0,2043.0,
2020-04-21,6.0,6.2,6.0,6.2,39261.0,
2020-04-22,6.25,6.25,6.25,6.25,1250.0,
2020-04-23,,,,,,
2020-04-24,6.34,6.34,6.31,6.34,30318.0,
2020-04-27,6.34,6.4,6.34,6.4,69028.0,
2020-04-28,,,,,,
2020-04-29,6.4,6.52,5.9,6.0,64424.0,
2020-04-30,6.15,6.65,6.15,6.5,60910.0,
2020-05-04,6.66,6.83,6.32,6.82,99973.0,
2020-05-05,6.82,6.92,6.8,6.92,187378.0,
2020-05-06,6.89,6.89,6.89,6.89,11024.0,
2020-05-07,,,,,,
2020-05-08,6.2,6.8,6.2,6.8,1300.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,6.8,6.8,6.16,6.7,71338.0,
2020-05-18,6.75,6.85,6.75,6.8,99220.0,
2020-05-19,6.7,6.82,6.7,6.82,28332.0,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,6.21,6.8,6.21,6.8,20428.0,
2020-06-02,6.3,6.78,6.3,6.78,118675.0,
2020-06-03,6.78,6.78,6.34,6.75,22169.0,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,6.75,6.75,6.34,6.6,65594.0,
2020-06-09,6.31,6.8,6.31,6.79,74141.0,
2020-06-10,6.81,6.81,6.6,6.6,89880.0,
2020-06-11,6.5,6.8,6.38,6.8,74187.0,
2020-06-15,6.4,6.4,6.4,6.4,47360.0,
2020-06-16,6.39,6.8,6.39,6.41,124381.0,
2020-06-17,6.38,6.8,6.38,6.79,129158.0,
2020-06-18,6.39,6.78,6.39,6.45,16926.0,
2020-06-19,6.79,6.79,6.4,6.5,71819.0,
2020-06-22,6.4,6.81,6.4,6.44,125801.0,
2020-06-23,6.8,6.8,6.8,6.8,680.0,
2020-06-24,6.7,6.81,6.35,6.81,122020.0,
2020-06-25,6.4,6.69,6.4,6.69,77609.0,
2020-06-26,6.38,6.6,6.38,6.39,80963.0,
2020-06-29,6.79,6.87,6.79,6.87,34050.0,
2020-06-30,6.87,6.89,6.8,6.8,28788.0,
2020-07-01,6.8,6.86,6.28,6.86,9066.0,
2020-07-02,6.18,6.87,6.18,6.87,62338.0,
2020-07-03,6.87,6.88,6.87,6.88,11695.0,
2020-07-06,6.45,6.88,6.45,6.88,151687.0,
2020-07-07,6.88,6.88,6.48,6.6,142598.0,
2020-07-08,6.61,6.61,6.61,6.61,21813.0,
2020-07-09,6.54,6.88,6.54,6.88,13768.0,
2020-07-10,6.6,6.88,6.55,6.88,90381.0,
2020-07-13,,,,,,
2020-07-14,6.88,6.89,6.88,6.89,28230.0,
2020-07-15,6.88,6.89,6.88,6.89,34404.0,
2020-07-16,6.89,7.5,6.89,7.46,203211.0,
2020-07-17,7.2,7.2,6.7,6.75,189590.0,
2020-07-20,6.75,7.18,6.2,7.12,181335.0,
2020-07-21,7.0,7.12,7.0,7.12,21969.0,
2020-07-22,7.05,7.05,6.34,7.04,132440.0,
2020-07-23,7.09,7.09,7.06,7.06,9187.0,
2020-07-24,6.21,7.0,6.21,7.0,25710.0,
2020-07-27,7.12,7.12,7.12,7.12,2136.0,
2020-07-28,6.56,7.12,6.56,7.1,87264.0,
2020-07-29,6.74,7.1,6.74,7.1,52163.0,
2020-07-30,6.82,7.1,6.82,7.1,48150.0,
2020-08-03,7.12,7.12,7.12,7.12,7120.0,
2020-08-04,,,,7.15,,7000.0
2020-08-05,,,,7.5,,10500.0
2020-08-06,,,,7.5,,900.0
2020-08-07,,,,7.3,,11400.0
2020-08-10,,,,7.48,,200.0
2020-08-12,,,,7.45,,8400.0
2020-08-13,,,,7.29,,11800.0
2020-08-14,,,,7.29,,500.0
2020-08-17,,,,7.3,,300.0
2020-08-18,,,,7.29,,800.0
2020-08-20,,,,8.79,,220800.0
2020-08-24,,,,7.95,,90200.0
2020-08-25,,,,7.9,,12500.0
2020-08-26,,,,7.92,,6800.0
2020-08-27,,,,8.03,,100.0
2020-08-28,,,,7.99,,6400.0
2020-09-01,,,,7.99,,15900.0
2020-09-02,,,,7.98,,5200.0
2020-09-03,,,,7.98,,3700.0
2020-09-04,,,,7.97,,1000.0
2020-09-07,,,,7.95,,7700.0
2020-09-08,,,,7.95,,4100.0
2020-09-09,,,,8.46,,100.0
2020-09-10,,,,8.35,,1300.0
2020-09-11,,,,8.34,,200.0
2020-09-14,,,,8.28,,300.0
2020-09-15,,,,8.27,,1000.0
2020-09-16,,,,8.27,,400.0
2020-09-17,,,,8.25,,4100.0
2020-09-18,,,,8.14,,7500.0
2020-09-21,,,,8.06,,17300.0
2020-09-22,,,,8.2,,6800.0
2020-09-23,,,,8.0,,4500.0
2020-09-24,,,,7.99,,4900.0
2020-09-25,,,,8.1,,1100.0
2020-09-28,,,,8.2,,2000.0
