dt,open,high,low,close,value,volume
2020-03-02,1.8,2.48,1.79,2.13,122761370.0,
2020-03-03,2.26,2.97,2.14,2.75,159850830.0,
2020-03-04,2.85,3.3,2.67,2.67,151509140.0,
2020-03-05,2.76,2.99,2.54,2.8,53755760.0,
2020-03-06,2.9,2.95,2.58,2.67,24962760.0,
2020-03-09,2.77,2.82,2.1,2.1,25323420.0,
2020-03-10,1.8,2.04,1.5,2.03,17945310.0,
2020-03-11,2.07,2.37,2.06,2.24,31814120.0,
2020-03-12,2.01,2.2,1.63,1.67,12314100.0,
2020-03-13,1.4,1.8,1.21,1.72,9680520.0,
2020-03-16,1.6,1.92,1.55,1.67,8127690.0,
2020-03-19,1.55,1.55,1.22,1.23,3008530.0,
2020-03-20,1.23,1.42,1.1,1.17,1859230.0,
2020-03-23,1.13,1.35,1.05,1.22,3681380.0,
2020-03-24,1.3,1.42,1.3,1.36,2874420.0,
2020-03-25,1.44,1.5,1.36,1.38,3572590.0,
2020-03-26,1.42,1.62,1.35,1.62,8008170.0,
2020-03-27,1.7,1.75,1.5,1.55,5301520.0,
2020-03-30,1.5,1.54,1.45,1.49,1538890.0,
2020-03-31,1.55,1.63,1.52,1.55,1265290.0,
2020-04-01,1.55,1.61,1.45,1.51,1453100.0,
2020-04-02,1.5,1.5,1.4,1.43,1086220.0,
2020-04-03,1.49,1.49,1.37,1.39,1036230.0,
2020-04-06,1.46,1.46,1.41,1.42,634220.0,
2020-04-07,1.43,1.6,1.4,1.44,1837700.0,
2020-04-08,1.47,1.48,1.37,1.44,1065860.0,
2020-04-13,1.38,1.48,1.36,1.4,1083480.0,
2020-04-14,1.46,1.53,1.36,1.48,3185290.0,
2020-04-15,1.48,1.9,1.46,1.9,7763330.0,
2020-04-16,1.88,1.88,1.6,1.72,9697420.0,
2020-04-17,1.75,1.82,1.65,1.77,5422610.0,
2020-04-20,1.88,1.99,1.81,1.86,15381010.0,
2020-04-21,1.84,1.84,1.7,1.72,8169990.0,
2020-04-22,1.72,1.74,1.64,1.7,2447700.0,
2020-04-23,1.74,2.35,1.74,2.17,28047370.0,
2020-04-24,2.17,2.89,2.06,2.64,80695900.0,
2020-04-27,2.78,2.85,2.25,2.38,14454660.0,
2020-04-28,2.36,3.1,2.26,2.84,48858000.0,
2020-04-29,2.9,3.19,2.56,2.68,82604740.0,
2020-04-30,2.75,2.87,2.6,2.76,19862860.0,
2020-05-04,2.6,2.67,2.48,2.56,16016500.0,
2020-05-05,2.59,2.81,2.59,2.74,16060470.0,
2020-05-06,2.74,2.74,2.5,2.58,10061900.0,
2020-05-07,2.56,2.65,2.45,2.53,4348660.0,
2020-05-08,2.55,2.59,2.4,2.41,4400770.0,
2020-05-11,2.4,2.52,2.21,2.5,10787640.0,
2020-05-12,2.49,2.49,2.31,2.45,3816120.0,
2020-05-13,2.44,2.7,2.35,2.6,11030340.0,
2020-05-14,2.65,2.88,2.55,2.86,28027680.0,
2020-05-15,2.9,2.94,2.63,2.7,25325390.0,
2020-05-18,2.7,2.87,2.58,2.85,14513720.0,
2020-05-19,2.88,2.98,2.69,2.7,25869380.0,
2020-05-20,2.7,2.83,2.6,2.63,14075030.0,
2020-05-21,2.65,2.8,2.65,2.68,12266200.0,
2020-05-22,2.68,2.72,2.46,2.5,15326570.0,
2020-05-26,2.51,2.56,2.35,2.45,7521820.0,
2020-05-27,2.45,2.58,2.38,2.58,3469110.0,
2020-05-28,2.56,2.65,2.5,2.53,4657350.0,
2020-05-29,2.51,2.55,2.4,2.45,2896120.0,
2020-06-01,2.45,2.54,2.36,2.43,5251770.0,
2020-06-02,2.43,2.54,2.41,2.51,5379620.0,
2020-06-03,2.52,2.52,2.38,2.38,6141000.0,
2020-06-04,2.4,2.49,2.38,2.41,3889490.0,
2020-06-05,2.46,2.46,2.32,2.36,6189730.0,
2020-06-08,2.38,2.5,2.2,2.5,9980310.0,
2020-06-09,2.56,2.79,2.55,2.79,24428580.0,
2020-06-10,2.8,2.82,2.57,2.62,15785330.0,
2020-06-11,2.61,2.61,2.42,2.47,7597330.0,
2020-06-15,2.4,2.46,2.32,2.4,4822680.0,
2020-06-16,2.42,2.6,2.35,2.56,5488660.0,
2020-06-17,2.56,2.66,2.4,2.41,8113540.0,
2020-06-18,2.45,2.48,2.36,2.4,3851920.0,
2020-06-19,2.41,2.49,2.37,2.44,2358000.0,
2020-06-22,2.45,2.66,2.45,2.65,12899420.0,
2020-06-23,2.69,2.71,2.46,2.5,7317590.0,
2020-06-24,2.5,2.56,2.42,2.47,3659490.0,
2020-06-25,2.45,2.5,2.35,2.42,4072310.0,
2020-06-26,2.48,2.48,2.37,2.4,1813990.0,
2020-06-29,2.4,2.4,2.24,2.3,8773910.0,
2020-06-30,2.34,2.36,2.27,2.33,1809670.0,
2020-07-01,2.3,2.33,2.15,2.25,4919630.0,
2020-07-02,2.2,2.25,2.18,2.23,2059630.0,
2020-07-03,2.22,2.33,2.17,2.22,1905960.0,
2020-07-06,2.19,2.19,2.05,2.1,3831070.0,
2020-07-07,2.08,2.19,2.06,2.12,1935670.0,
2020-07-08,2.17,2.17,2.09,2.11,836030.0,
2020-07-09,2.11,2.13,2.04,2.06,1586030.0,
