dt,open,high,low,close,value,volume
2020-03-02,0.67,0.67,0.64,0.66,42550.0,
2020-03-03,0.66,0.66,0.6,0.63,205330.0,
2020-03-04,0.62,0.62,0.61,0.61,61620.0,
2020-03-05,0.61,0.61,0.57,0.61,79370.0,
2020-03-06,0.61,0.61,0.61,0.61,7320.0,
2020-03-09,0.58,0.58,0.56,0.56,96330.0,
2020-03-10,0.56,0.57,0.53,0.57,17470.0,
2020-03-11,0.58,0.62,0.57,0.57,45680.0,
2020-03-12,0.56,0.56,0.51,0.51,65200.0,
2020-03-13,0.51,0.56,0.51,0.56,56580.0,
2020-03-16,0.56,0.56,0.56,0.56,11200.0,
2020-03-19,0.52,0.53,0.51,0.53,27980.0,
2020-03-20,0.57,0.57,0.485,0.5,84960.0,
2020-03-23,0.52,0.56,0.45,0.5,146035.0,
2020-03-24,0.56,0.56,0.5,0.53,96400.0,
2020-03-25,0.54,0.56,0.5,0.53,175660.0,
2020-03-26,0.52,0.55,0.52,0.52,182650.0,
2020-03-27,0.53,0.55,0.52,0.54,40240.0,
2020-03-30,0.54,0.55,0.54,0.55,1228630.0,
2020-03-31,0.57,0.64,0.57,0.57,480210.0,
2020-04-01,0.57,0.62,0.57,0.59,123990.0,
2020-04-02,0.58,0.58,0.58,0.58,7540.0,
2020-04-03,0.58,0.58,0.58,0.58,95700.0,
2020-04-06,0.56,0.57,0.54,0.57,215710.0,
2020-04-07,0.59,0.59,0.54,0.56,111470.0,
2020-04-08,0.56,0.6,0.53,0.53,158760.0,
2020-04-13,0.55,0.57,0.54,0.56,43650.0,
2020-04-14,0.56,0.58,0.53,0.57,185350.0,
2020-04-15,0.57,0.6,0.56,0.6,61480.0,
2020-04-16,0.58,0.59,0.58,0.58,20310.0,
2020-04-17,0.59,0.59,0.55,0.57,261000.0,
2020-04-20,0.55,0.57,0.55,0.57,93860.0,
2020-04-21,0.56,0.56,0.53,0.53,106910.0,
2020-04-22,0.56,0.56,0.53,0.53,99970.0,
2020-04-23,0.56,0.56,0.54,0.56,116710.0,
2020-04-24,0.58,0.58,0.56,0.58,185100.0,
2020-04-27,0.6,0.61,0.58,0.6,60070.0,
2020-04-28,0.61,0.61,0.58,0.6,218360.0,
2020-04-29,0.59,0.6,0.58,0.58,77430.0,
2020-04-30,0.58,0.59,0.56,0.59,35910.0,
2020-05-04,,,,,,
2020-05-05,0.57,0.59,0.55,0.58,79640.0,
2020-05-06,0.55,0.57,0.55,0.57,39280.0,
2020-05-07,0.56,0.57,0.56,0.56,30810.0,
2020-05-08,0.56,0.56,0.56,0.56,560.0,
2020-05-11,0.55,0.57,0.55,0.57,90770.0,
2020-05-12,0.55,0.57,0.55,0.57,18830.0,
2020-05-13,,,,,,
2020-05-14,0.57,0.57,0.57,0.57,570.0,
2020-05-15,0.56,0.56,0.56,0.56,5600.0,
2020-05-18,0.54,0.54,0.54,0.54,3240.0,
2020-05-19,0.56,0.56,0.53,0.53,52690.0,
2020-05-20,0.52,0.54,0.5,0.54,92660.0,
2020-05-21,,,,,,
2020-05-22,0.53,0.53,0.52,0.52,3140.0,
2020-05-26,0.51,0.51,0.5,0.5,120520.0,
2020-05-27,0.53,0.53,0.53,0.53,13780.0,
2020-05-28,,,,,,
2020-05-29,0.53,0.56,0.53,0.55,79040.0,
2020-06-01,0.54,0.56,0.5,0.53,166170.0,
2020-06-02,0.51,0.53,0.51,0.53,172690.0,
2020-06-03,0.53,0.53,0.51,0.52,257460.0,
2020-06-04,0.52,0.53,0.51,0.51,220840.0,
2020-06-05,0.52,0.6,0.52,0.58,631030.0,
2020-06-08,0.59,0.66,0.57,0.64,1173590.0,
2020-06-09,0.67,0.7,0.65,0.65,578160.0,
2020-06-10,0.65,0.65,0.62,0.62,242420.0,
2020-06-11,0.62,0.63,0.6,0.61,314080.0,
2020-06-15,0.6,0.6,0.58,0.58,99000.0,
2020-06-16,0.58,0.59,0.53,0.56,260300.0,
2020-06-17,0.57,0.61,0.57,0.59,615590.0,
2020-06-18,0.6,0.6,0.56,0.59,422390.0,
2020-06-19,0.58,0.58,0.57,0.58,40590.0,
2020-06-22,0.57,0.59,0.56,0.59,56750.0,
2020-06-23,0.55,0.6,0.55,0.58,704960.0,
2020-06-24,0.61,0.61,0.58,0.58,270800.0,
2020-06-25,0.57,0.57,0.57,0.57,17100.0,
2020-06-26,0.58,0.61,0.56,0.6,736290.0,
2020-06-29,0.59,0.6,0.55,0.6,8330560.0,
2020-06-30,0.6,0.64,0.6,0.6,818070.0,
2020-07-01,0.6,0.63,0.6,0.6,537440.0,
2020-07-02,0.59,0.6,0.57,0.59,231140.0,
2020-07-03,0.59,0.59,0.57,0.59,113630.0,
2020-07-06,0.59,0.7,0.58,0.67,1797170.0,
2020-07-07,0.64,0.77,0.62,0.65,1893860.0,
2020-07-08,0.68,0.68,0.61,0.62,528900.0,
2020-07-09,0.62,0.65,0.6,0.63,879610.0,
2020-07-10,0.63,0.63,0.61,0.61,216630.0,
2020-07-13,0.62,0.65,0.6,0.63,456550.0,
2020-07-14,0.63,0.64,0.61,0.64,171370.0,
2020-07-15,0.63,0.63,0.6,0.62,202510.0,
2020-07-16,0.61,0.66,0.61,0.65,7035200.0,
2020-07-17,0.66,0.67,0.63,0.65,240390.0,
2020-07-20,0.63,0.65,0.63,0.65,185610.0,
2020-07-21,0.66,0.67,0.63,0.67,696760.0,
2020-07-22,0.68,0.72,0.68,0.69,1175460.0,
2020-07-23,0.71,0.79,0.7,0.79,3152050.0,
2020-07-24,0.8,0.82,0.74,0.77,2557430.0,
2020-07-27,0.79,0.9,0.75,0.87,4715890.0,
2020-07-28,0.9,0.9,0.82,0.82,1966190.0,
2020-07-29,0.84,0.84,0.72,0.79,1383760.0,
2020-07-30,0.82,0.82,0.8,0.82,129580.0,
2020-08-03,0.81,0.81,0.71,0.74,1040730.0,
2020-08-04,,,,0.82,,2307000.0
2020-08-05,,,,0.85,,2766000.0
2020-08-06,,,,0.85,,2163000.0
2020-08-07,,,,1.01,,116887000.0
2020-08-10,,,,0.97,,7945000.0
2020-08-11,,,,0.95,,4108000.0
2020-08-12,,,,0.91,,5613000.0
2020-08-13,,,,0.92,,3260000.0
2020-08-14,,,,0.95,,4809000.0
2020-08-17,,,,0.95,,4602000.0
2020-08-18,,,,0.94,,1837000.0
2020-08-19,,,,0.94,,1179000.0
2020-08-20,,,,0.92,,1113000.0
2020-08-24,,,,0.93,,1851000.0
2020-08-25,,,,0.93,,1870000.0
2020-08-26,,,,0.94,,1090000.0
2020-08-27,,,,1.01,,20693000.0
2020-08-28,,,,1.04,,16039000.0
2020-09-01,,,,1.05,,7541000.0
2020-09-02,,,,1.01,,6899000.0
2020-09-03,,,,1.01,,3542000.0
2020-09-04,,,,0.99,,4486000.0
2020-09-07,,,,1.0,,3929000.0
2020-09-08,,,,0.95,,7278000.0
2020-09-09,,,,0.92,,4815000.0
2020-09-10,,,,0.95,,1634000.0
2020-09-11,,,,0.92,,2236000.0
2020-09-14,,,,0.96,,2561000.0
2020-09-15,,,,0.94,,1462000.0
2020-09-16,,,,0.95,,822000.0
2020-09-17,,,,0.92,,1327000.0
2020-09-18,,,,0.93,,1573000.0
2020-09-21,,,,0.87,,3971000.0
2020-09-22,,,,0.88,,4430000.0
2020-09-23,,,,0.88,,2446000.0
2020-09-24,,,,0.85,,1794000.0
2020-09-25,,,,0.87,,1108000.0
2020-09-28,,,,0.85,,2306000.0
