dt,open,high,low,close,value,volume
2020-03-02,8.77,8.85,8.6,8.6,1444766.0,
2020-03-03,8.84,8.84,8.31,8.35,2251945.0,
2020-03-04,8.29,8.3,8.0,8.1,3968764.0,
2020-03-05,8.1,8.36,8.09,8.09,1720299.0,
2020-03-06,8.15,8.26,8.0,8.1,4995020.0,
2020-03-09,7.99,8.04,6.75,7.0,1910921.0,
2020-03-10,6.85,6.95,6.01,6.19,9022845.0,
2020-03-11,6.23,6.7,6.02,6.18,28408827.0,
2020-03-12,6.25,6.25,5.75,5.8,6669758.0,
2020-03-13,5.75,5.75,5.3,5.58,4022220.0,
2020-03-16,5.85,5.85,5.4,5.4,6177969.0,
2020-03-19,5.3,5.3,4.5,4.5,2067051.0,
2020-03-20,4.54,4.68,4.41,4.45,1554760.0,
2020-03-23,4.65,4.65,4.2,4.25,2227740.0,
2020-03-24,4.48,4.75,4.3,4.75,1261930.0,
2020-03-25,5.0,5.1,4.7,4.7,5502500.0,
2020-03-26,4.85,5.1,4.79,4.85,6466310.0,
2020-03-27,4.91,5.06,4.61,4.72,6650930.0,
2020-03-30,4.84,4.84,4.5,4.59,1195350.0,
2020-03-31,4.59,4.77,4.52,4.7,4167920.0,
2020-04-01,4.7,4.8,4.62,4.7,4065560.0,
2020-04-02,4.71,4.71,4.63,4.69,439050.0,
2020-04-03,4.68,4.68,4.6,4.62,1910960.0,
2020-04-06,4.62,4.8,4.4,4.4,9170050.0,
2020-04-07,4.6,4.63,4.51,4.55,6475960.0,
2020-04-08,4.61,4.9,4.58,4.6,9723040.0,
2020-04-13,4.69,5.3,4.69,5.06,30342640.0,
2020-04-14,5.49,6.4,5.33,6.25,47074140.0,
2020-04-15,6.7,7.45,6.51,6.58,57672716.0,
2020-04-16,6.81,6.81,6.21,6.39,22401731.0,
2020-04-17,6.6,6.67,6.42,6.56,7956561.0,
2020-04-20,6.58,6.7,6.42,6.5,6420352.0,
2020-04-21,6.48,6.48,6.0,6.1,8288563.0,
2020-04-22,6.08,6.08,5.8,6.0,5573555.0,
2020-04-23,6.29,6.3,6.06,6.09,3344156.0,
