dt,open,high,low,close,value,volume
2020-03-02,0.485,0.52,0.45,0.46,2991950.0,
2020-03-03,0.465,0.48,0.435,0.45,1315850.0,
2020-03-04,0.44,0.51,0.43,0.46,3555850.0,
2020-03-05,0.49,0.49,0.445,0.45,750700.0,
2020-03-06,0.455,0.455,0.44,0.44,119950.0,
2020-03-09,0.47,0.47,0.41,0.41,1347150.0,
2020-03-10,0.405,0.41,0.39,0.405,638850.0,
2020-03-11,0.435,0.435,0.41,0.41,222800.0,
2020-03-12,0.4,0.42,0.39,0.39,770600.0,
2020-03-13,0.38,0.39,0.35,0.39,322100.0,
2020-03-16,0.37,0.39,0.37,0.37,15000.0,
2020-03-19,0.36,0.36,0.305,0.305,182050.0,
2020-03-20,0.305,0.31,0.305,0.31,43200.0,
2020-03-23,0.315,0.32,0.315,0.32,19050.0,
2020-03-24,0.315,0.325,0.315,0.325,19100.0,
2020-03-25,0.32,0.34,0.32,0.335,79700.0,
2020-03-26,0.335,0.36,0.335,0.36,85700.0,
2020-03-27,0.36,0.38,0.36,0.37,54400.0,
2020-03-30,,,,,,
2020-03-31,0.37,0.375,0.37,0.37,29650.0,
2020-04-01,0.37,0.375,0.37,0.375,74450.0,
2020-04-02,0.37,0.37,0.365,0.365,7350.0,
2020-04-03,0.375,0.375,0.365,0.365,25950.0,
2020-04-06,0.38,0.38,0.34,0.365,343950.0,
2020-04-07,0.365,0.365,0.35,0.35,25250.0,
2020-04-08,0.35,0.375,0.35,0.375,70250.0,
2020-04-13,,,,,,
2020-04-14,0.375,0.375,0.35,0.36,281150.0,
2020-04-15,0.365,0.38,0.365,0.365,93600.0,
2020-04-16,,,,,,
2020-04-17,0.365,0.4,0.36,0.39,284750.0,
2020-04-20,0.39,0.39,0.365,0.365,137950.0,
2020-04-21,,,,,,
2020-04-22,0.365,0.375,0.36,0.36,133550.0,
2020-04-23,0.365,0.365,0.36,0.36,10900.0,
2020-04-24,0.37,0.37,0.36,0.36,104600.0,
2020-04-27,0.36,0.375,0.35,0.35,113550.0,
2020-04-28,0.35,0.355,0.35,0.355,21050.0,
2020-04-29,0.37,0.37,0.37,0.37,11100.0,
2020-04-30,,,,,,
2020-05-04,0.37,0.37,0.35,0.355,35650.0,
2020-05-05,0.355,0.355,0.355,0.355,3550.0,
2020-05-06,0.37,0.435,0.365,0.395,887400.0,
2020-05-07,0.4,0.4,0.375,0.385,200350.0,
2020-05-08,0.375,0.375,0.365,0.365,133700.0,
2020-05-11,0.38,0.4,0.38,0.39,86000.0,
2020-05-12,,,,,,
2020-05-13,0.375,0.39,0.365,0.365,129050.0,
