dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,10.54,11.98,10.52,11.98,12774.0,
2020-03-05,10.54,11.48,10.54,11.48,6418.0,
2020-03-06,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,11.76,11.76,11.74,11.74,3524.0,
2020-03-12,11.48,11.48,11.48,11.48,159572.0,
2020-03-13,,,,,,
2020-03-16,11.96,11.96,11.96,11.96,1196.0,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,11.9,13.74,11.9,13.74,25588.0,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,13.72,13.8,11.0,12.0,157114.0,
2020-03-27,11.8,12.0,11.34,11.34,14900.0,
2020-03-30,12.0,13.0,12.0,12.98,20696.0,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,10.2,10.2,10.2,10.2,8160.0,
2020-04-07,10.22,10.22,10.22,10.22,6132.0,
2020-04-08,12.0,12.44,11.9,11.9,9642.0,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,11.0,11.1,10.3,11.1,48210.0,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,10.26,10.26,10.24,10.24,25640.0,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,10.68,10.68,10.68,10.68,1068.0,
2020-04-27,10.7,10.7,10.5,10.6,7380.0,
2020-04-28,10.22,10.22,10.22,10.22,3066.0,
2020-04-29,10.22,10.22,10.22,10.22,6132.0,
2020-04-30,10.22,10.22,10.22,10.22,20440.0,
2020-05-04,10.96,10.96,10.74,10.74,21670.0,
2020-05-05,10.64,10.64,10.5,10.64,31842.0,
2020-05-06,11.18,15.0,11.18,14.0,306880.0,
2020-05-07,14.5,18.7,14.5,18.7,946454.0,
2020-05-08,19.0,19.0,15.0,17.4,210312.0,
2020-05-11,14.0,16.7,14.0,16.7,84380.0,
2020-05-12,14.8,16.4,14.8,14.8,19400.0,
2020-05-13,14.8,16.5,14.8,16.5,7740.0,
2020-05-14,16.5,16.5,16.4,16.4,3290.0,
2020-05-15,16.5,16.5,16.5,16.5,1650.0,
2020-05-18,,,,,,
2020-05-19,16.3,16.4,14.0,14.2,74884.0,
2020-05-20,13.52,19.0,12.86,18.0,829828.0,
2020-05-21,18.0,19.0,16.7,18.6,792630.0,
2020-05-22,18.64,18.68,17.0,17.98,192734.0,
2020-05-26,17.8,18.98,16.02,17.96,494702.0,
2020-05-27,16.2,17.4,14.0,15.7,588616.0,
2020-05-28,15.7,16.5,15.7,16.5,101280.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,13.0,15.8,13.0,15.78,92972.0,
2020-06-04,14.0,15.96,14.0,14.76,140916.0,
2020-06-05,14.76,15.28,14.4,14.44,92358.0,
2020-06-08,15.3,15.3,13.22,15.28,52206.0,
2020-06-09,15.28,15.28,14.5,15.08,37690.0,
2020-06-10,15.0,15.0,13.88,15.0,12828.0,
2020-06-11,,,,,,
2020-06-15,14.98,15.0,13.1,13.12,86368.0,
2020-06-16,13.8,14.0,13.02,14.0,57212.0,
2020-06-17,14.0,14.98,13.04,14.88,99210.0,
2020-06-18,13.04,14.68,13.04,14.68,41700.0,
2020-06-19,13.08,14.48,13.08,14.3,57680.0,
2020-06-22,13.04,13.04,13.04,13.04,6520.0,
2020-06-23,13.04,13.06,13.0,13.0,70416.0,
2020-06-24,14.06,14.06,13.02,13.04,21278.0,
2020-06-25,,,,,,
2020-06-26,13.0,13.2,13.0,13.0,38124.0,
2020-06-29,13.0,13.0,13.0,13.0,9100.0,
2020-06-30,,,,,,
2020-07-01,13.0,13.0,12.98,12.98,48094.0,
2020-07-02,,,,,,
2020-07-03,12.98,12.98,12.98,12.98,10384.0,
2020-07-06,10.02,11.04,10.02,11.04,15946.0,
2020-07-07,12.98,13.12,11.84,11.92,107302.0,
2020-07-08,11.7,11.7,11.7,11.7,36270.0,
2020-07-09,11.06,11.1,11.0,11.02,38730.0,
2020-07-10,11.1,11.1,11.1,11.1,27750.0,
2020-07-13,12.3,16.64,12.3,16.64,1078422.0,
2020-07-14,20.0,23.3,13.5,15.4,4890946.0,
2020-07-15,15.2,15.2,13.0,13.58,395944.0,
2020-07-16,13.58,14.0,12.8,13.72,145442.0,
2020-07-17,12.8,12.8,12.8,12.8,11520.0,
2020-07-20,12.04,12.94,12.0,12.88,122522.0,
2020-07-21,12.0,13.5,12.0,13.38,64346.0,
2020-07-22,13.0,13.0,12.08,12.8,48902.0,
2020-07-23,12.8,12.8,12.04,12.04,160444.0,
2020-07-24,12.02,12.06,11.2,11.98,129394.0,
2020-07-27,11.04,11.04,11.04,11.04,2208.0,
2020-07-28,11.06,11.06,11.0,11.06,65162.0,
2020-07-29,,,,,,
2020-07-30,11.0,11.1,11.0,11.1,6614.0,
2020-08-03,11.1,11.1,11.1,11.1,1110.0,
2020-08-04,,,,11.3,,1000.0
2020-08-05,,,,11.02,,800.0
2020-08-06,,,,11.12,,21200.0
2020-08-07,,,,11.3,,400.0
2020-08-11,,,,11.14,,1000.0
2020-08-12,,,,11.22,,1300.0
2020-08-13,,,,11.38,,1500.0
2020-08-14,,,,11.92,,12300.0
2020-08-17,,,,11.7,,5600.0
2020-08-18,,,,12.0,,2800.0
2020-08-19,,,,12.14,,1800.0
2020-08-20,,,,12.12,,100.0
2020-08-24,,,,11.8,,11500.0
2020-08-25,,,,11.8,,100.0
2020-08-26,,,,11.9,,900.0
2020-08-27,,,,11.9,,2000.0
2020-08-28,,,,11.96,,1200.0
2020-09-01,,,,11.94,,500.0
2020-09-02,,,,11.9,,1000.0
2020-09-04,,,,11.88,,200.0
2020-09-07,,,,11.88,,1000.0
2020-09-08,,,,11.8,,1200.0
2020-09-09,,,,11.78,,200.0
2020-09-10,,,,11.7,,100.0
2020-09-11,,,,11.68,,1500.0
2020-09-14,,,,11.8,,100.0
2020-09-15,,,,11.8,,100.0
2020-09-18,,,,11.8,,300.0
2020-09-21,,,,11.8,,1000.0
2020-09-22,,,,11.5,,1400.0
2020-09-23,,,,11.14,,800.0
2020-09-24,,,,11.48,,100.0
2020-09-25,,,,11.46,,1300.0
2020-09-28,,,,11.38,,5300.0
