dt,open,high,low,close,value,volume
2020-03-02,56.1,57.45,55.1,55.1,143493882.0,
2020-03-03,56.2,56.35,53.5,53.5,234391762.5,
2020-03-04,54.7,56.1,53.75,56.1,148561497.0,
2020-03-05,56.1,56.75,55.5,56.0,69936649.5,
2020-03-06,56.0,56.0,53.0,53.0,186615495.5,
2020-03-09,51.5,51.5,47.5,47.5,301904536.0,
2020-03-10,45.6,50.5,45.55,49.35,250933025.0,
2020-03-11,51.7,51.7,47.8,48.1,169070980.0,
2020-03-12,47.0,47.0,43.05,43.35,291307720.0,
2020-03-13,42.5,47.3,40.8,45.2,280733340.0,
2020-03-16,44.0,44.1,41.55,43.5,109939585.0,
2020-03-19,39.5,40.0,32.9,39.0,376480850.0,
2020-03-20,40.0,40.15,38.7,39.1,231825860.0,
2020-03-23,37.5,38.5,35.0,36.1,119562095.0,
2020-03-24,36.55,37.95,35.3,35.3,217254675.0,
2020-03-25,37.9,38.05,35.9,35.9,210083675.0,
2020-03-26,36.55,37.3,36.05,36.1,462969130.0,
2020-03-27,37.9,39.85,37.2,37.9,300253110.0,
2020-03-30,37.8,37.8,36.2,37.6,143774670.0,
2020-03-31,38.25,40.45,38.25,40.0,277762270.0,
2020-04-01,39.7,39.95,38.9,39.95,117555555.0,
2020-04-02,38.7,39.0,37.6,37.9,160419390.0,
2020-04-03,38.8,38.8,36.7,37.0,173995360.0,
2020-04-06,37.5,37.6,37.0,37.15,177504465.0,
2020-04-07,38.1,38.4,37.05,37.05,238431880.0,
2020-04-08,37.2,37.4,36.3,36.3,181057910.0,
2020-04-13,37.0,37.75,36.8,37.0,120665535.0,
2020-04-14,37.5,39.15,37.25,38.85,308591515.0,
2020-04-15,38.0,41.1,38.0,41.1,737829450.0,
2020-04-16,40.5,40.5,39.6,39.95,285631690.0,
2020-04-17,41.0,42.1,40.75,41.65,202248700.0,
2020-04-20,41.95,42.3,40.0,41.35,126709130.0,
2020-04-21,40.15,40.5,38.55,38.95,271594940.0,
2020-04-22,38.5,39.05,37.6,38.05,140919455.0,
2020-04-23,39.0,39.8,38.6,39.0,106474720.0,
2020-04-24,39.45,39.5,38.75,39.0,178774415.0,
2020-04-27,38.8,38.9,37.5,37.5,167765480.0,
2020-04-28,38.25,38.6,37.5,37.5,187155065.0,
2020-04-29,38.0,38.05,37.4,37.6,79440720.0,
2020-04-30,38.15,39.1,37.65,39.05,291702180.0,
2020-05-04,38.5,38.8,37.05,37.05,248522835.0,
2020-05-05,37.2,37.85,37.2,37.5,121024140.0,
2020-05-06,37.4,37.4,36.5,36.8,282810020.0,
2020-05-07,37.4,37.4,36.6,37.1,90120050.0,
2020-05-08,37.2,37.2,36.55,36.75,100347955.0,
2020-05-11,37.1,37.4,36.75,36.8,87468790.0,
2020-05-12,37.0,37.25,36.4,36.45,141083980.0,
2020-05-13,36.7,36.75,36.2,36.2,56078135.0,
2020-05-14,36.2,36.25,35.85,36.0,93028675.0,
2020-05-15,36.25,36.25,35.5,35.5,87764905.0,
2020-05-18,35.6,35.7,34.05,34.05,212596435.0,
2020-05-19,35.1,35.2,33.95,33.95,168592140.0,
2020-05-20,34.4,34.9,34.05,34.9,74066450.0,
2020-05-21,35.0,35.65,34.7,34.8,147841290.0,
2020-05-22,35.1,35.1,33.9,34.0,104250555.0,
2020-05-26,34.0,34.05,33.1,33.2,120867520.0,
2020-05-27,33.5,33.8,33.2,33.8,99889100.0,
2020-05-28,34.0,34.75,34.0,34.15,92652600.0,
2020-05-29,34.8,35.2,34.4,35.2,354808360.0,
2020-06-01,35.5,37.15,35.5,36.85,125785995.0,
2020-06-02,37.15,38.3,37.1,38.15,161801720.0,
2020-06-03,38.35,39.4,38.15,39.4,220202750.0,
2020-06-04,39.9,43.2,39.8,43.0,500780330.0,
