dt,open,high,low,close,value,volume
2020-03-02,0.4,0.4,0.385,0.4,98200.0,
2020-03-03,0.38,0.4,0.375,0.385,143100.0,
2020-03-04,0.38,0.385,0.38,0.385,11450.0,
2020-03-05,0.38,0.395,0.38,0.395,11550.0,
2020-03-06,0.385,0.425,0.365,0.365,751700.0,
2020-03-09,0.355,0.38,0.21,0.265,562550.0,
2020-03-10,0.33,0.395,0.29,0.35,518750.0,
2020-03-11,0.395,0.445,0.39,0.4,2786850.0,
2020-03-12,0.4,0.425,0.35,0.35,910050.0,
2020-03-13,0.305,0.32,0.305,0.31,314000.0,
2020-03-16,0.3,0.32,0.3,0.32,108600.0,
2020-03-19,0.31,0.31,0.29,0.3,51100.0,
2020-03-20,0.3,0.3,0.3,0.3,60000.0,
2020-03-23,,,,,,
2020-03-24,0.285,0.285,0.28,0.28,184850.0,
2020-03-25,0.3,0.3,0.27,0.28,51250.0,
2020-03-26,0.26,0.28,0.26,0.27,45350.0,
2020-03-27,0.275,0.3,0.275,0.28,100900.0,
2020-03-30,0.265,0.265,0.265,0.265,5300.0,
2020-03-31,0.26,0.27,0.26,0.26,102700.0,
2020-04-01,0.255,0.28,0.255,0.27,23500.0,
2020-04-02,0.27,0.28,0.27,0.28,16400.0,
2020-04-03,0.27,0.27,0.27,0.27,10800.0,
2020-04-06,0.28,0.32,0.28,0.28,417600.0,
2020-04-07,0.32,0.34,0.29,0.29,147100.0,
2020-04-08,0.3,0.31,0.29,0.29,53400.0,
2020-04-13,0.265,0.3,0.265,0.3,50900.0,
2020-04-14,0.3,0.3,0.28,0.28,129300.0,
2020-04-15,0.285,0.285,0.285,0.285,11400.0,
2020-04-16,0.29,0.29,0.28,0.29,22950.0,
2020-04-17,0.29,0.305,0.28,0.285,58300.0,
2020-04-20,0.29,0.31,0.29,0.31,119800.0,
2020-04-21,0.29,0.29,0.29,0.29,66700.0,
2020-04-22,0.31,0.32,0.3,0.3,121950.0,
2020-04-23,0.29,0.3,0.29,0.295,102350.0,
2020-04-24,0.295,0.295,0.29,0.29,11650.0,
2020-04-27,0.29,0.29,0.29,0.29,2900.0,
2020-04-28,0.305,0.345,0.3,0.31,517650.0,
2020-04-29,0.325,0.37,0.31,0.345,3415100.0,
2020-04-30,0.345,0.36,0.33,0.34,705100.0,
2020-05-04,0.325,0.35,0.3,0.32,679850.0,
2020-05-05,0.31,0.33,0.31,0.32,142400.0,
2020-05-06,0.32,0.32,0.305,0.31,226650.0,
2020-05-07,0.33,0.33,0.33,0.33,13200.0,
2020-05-08,0.33,0.33,0.33,0.33,3300.0,
2020-05-11,0.3,0.3,0.3,0.3,9000.0,
2020-05-12,0.3,0.305,0.3,0.305,42250.0,
2020-05-13,0.3,0.305,0.28,0.305,238400.0,
2020-05-14,,,,,,
2020-05-15,0.295,0.31,0.295,0.31,68300.0,
2020-05-18,0.31,0.31,0.31,0.31,3100.0,
2020-05-19,,,,,,
2020-05-20,0.29,0.3,0.29,0.3,35000.0,
2020-05-21,0.3,0.3,0.3,0.3,3000.0,
2020-05-22,,,,,,
2020-05-26,0.29,0.29,0.28,0.28,25400.0,
2020-05-27,0.28,0.28,0.28,0.28,84000.0,
2020-05-28,0.31,0.31,0.31,0.31,3100.0,
2020-05-29,0.3,0.305,0.3,0.305,24050.0,
2020-06-01,0.285,0.305,0.285,0.305,17300.0,
2020-06-02,0.3,0.3,0.285,0.3,68250.0,
2020-06-03,0.29,0.31,0.285,0.31,63600.0,
2020-06-04,0.305,0.305,0.295,0.305,38550.0,
2020-06-05,0.29,0.295,0.29,0.295,14550.0,
2020-06-08,0.305,0.31,0.3,0.31,138450.0,
2020-06-09,0.31,0.32,0.31,0.32,63050.0,
2020-06-10,0.32,0.32,0.3,0.315,70050.0,
2020-06-11,0.3,0.3,0.3,0.3,120000.0,
2020-06-15,0.295,0.295,0.295,0.295,174050.0,
2020-06-16,0.285,0.31,0.285,0.31,43550.0,
2020-06-17,0.31,0.31,0.3,0.3,84700.0,
2020-06-18,0.295,0.295,0.28,0.28,547300.0,
2020-06-19,0.28,0.28,0.27,0.27,146500.0,
2020-06-22,0.28,0.29,0.275,0.29,95900.0,
2020-06-23,0.29,0.3,0.285,0.3,87000.0,
2020-06-24,0.3,0.3,0.3,0.3,60000.0,
2020-06-25,0.29,0.3,0.29,0.3,86300.0,
2020-06-26,0.3,0.3,0.3,0.3,39000.0,
2020-06-29,0.29,0.295,0.29,0.295,17450.0,
2020-06-30,0.295,0.3,0.295,0.295,59150.0,
2020-07-01,0.295,0.3,0.295,0.295,106300.0,
2020-07-02,,,,,,
2020-07-03,0.29,0.305,0.275,0.275,194100.0,
2020-07-06,0.275,0.275,0.27,0.27,124550.0,
2020-07-07,0.27,0.275,0.27,0.27,56800.0,
2020-07-08,0.28,0.28,0.275,0.275,16650.0,
2020-07-09,,,,,,
2020-07-10,0.27,0.29,0.265,0.29,167950.0,
2020-07-13,,,,,,
2020-07-14,0.29,0.435,0.29,0.31,36848000.0,
2020-07-15,0.33,0.335,0.27,0.28,2384000.0,
2020-07-16,0.28,0.31,0.26,0.3,786050.0,
2020-07-17,0.295,0.295,0.27,0.28,221350.0,
2020-07-20,0.28,0.285,0.28,0.285,42650.0,
2020-07-21,0.28,0.29,0.28,0.29,250850.0,
2020-07-22,0.29,0.29,0.27,0.275,154700.0,
2020-07-23,0.27,0.28,0.27,0.275,195550.0,
2020-07-24,0.29,0.295,0.285,0.285,49200.0,
2020-07-27,0.275,0.275,0.275,0.275,60500.0,
2020-07-28,0.29,0.29,0.275,0.275,54650.0,
2020-07-29,,,,,,
2020-07-30,0.275,0.275,0.27,0.275,21950.0,
2020-08-03,0.275,0.275,0.265,0.275,48200.0,
2020-08-04,,,,0.275,,260000.0
2020-08-05,,,,0.265,,220000.0
2020-08-06,,,,0.265,,650000.0
2020-08-07,,,,0.27,,440000.0
2020-08-10,,,,0.265,,740000.0
2020-08-11,,,,0.28,,1130000.0
2020-08-12,,,,0.275,,60000.0
2020-08-13,,,,0.28,,250000.0
2020-08-14,,,,0.27,,40000.0
2020-08-17,,,,0.28,,150000.0
2020-08-18,,,,0.285,,500000.0
2020-08-19,,,,0.29,,270000.0
2020-08-20,,,,0.28,,50000.0
2020-08-24,,,,0.28,,830000.0
2020-08-25,,,,0.3,,1780000.0
2020-08-26,,,,0.295,,1170000.0
2020-08-27,,,,0.31,,30000.0
2020-08-28,,,,0.3,,890000.0
2020-09-01,,,,0.3,,20000.0
2020-09-02,,,,0.3,,230000.0
2020-09-03,,,,0.3,,230000.0
2020-09-04,,,,0.295,,920000.0
2020-09-07,,,,0.28,,950000.0
2020-09-08,,,,0.285,,20000.0
2020-09-09,,,,0.28,,10000.0
2020-09-10,,,,0.295,,160000.0
2020-09-11,,,,0.28,,610000.0
2020-09-14,,,,0.28,,10000.0
2020-09-18,,,,0.29,,510000.0
2020-09-21,,,,0.285,,220000.0
2020-09-22,,,,0.31,,970000.0
2020-09-23,,,,0.3,,180000.0
2020-09-24,,,,0.285,,430000.0
2020-09-25,,,,0.285,,120000.0
2020-09-28,,,,0.285,,70000.0
