dt,open,high,low,close,value,volume
2020-03-02,3.4,3.62,3.4,3.5,103088290.0,
2020-03-03,3.6,3.64,3.52,3.52,99458310.0,
2020-03-04,3.52,3.53,3.45,3.5,58902450.0,
2020-03-05,3.53,3.59,3.44,3.46,91059970.0,
2020-03-06,3.47,3.49,3.36,3.4,37993260.0,
2020-03-09,3.3,3.35,3.19,3.2,149454240.0,
2020-03-10,3.11,3.26,3.05,3.16,63560790.0,
2020-03-11,3.19,3.26,3.11,3.2,79915910.0,
2020-03-12,3.15,3.15,2.87,2.9,78257550.0,
2020-03-13,2.75,2.9,2.52,2.88,103074130.0,
2020-03-16,2.7,2.8,2.6,2.69,45204480.0,
2020-03-19,2.43,2.46,2.0,2.21,72994600.0,
2020-03-20,2.21,2.4,2.06,2.09,84445450.0,
2020-03-23,2.06,2.09,1.86,1.89,89316780.0,
2020-03-24,2.0,2.12,1.97,1.99,190358350.0,
2020-03-25,2.11,2.18,2.06,2.15,171164490.0,
2020-03-26,2.22,2.36,2.19,2.32,166977240.0,
2020-03-27,2.46,2.52,2.32,2.39,187834710.0,
2020-03-30,2.34,2.5,2.19,2.5,159622250.0,
2020-03-31,2.45,2.59,2.45,2.5,139097240.0,
2020-04-01,2.5,2.62,2.35,2.62,91807340.0,
2020-04-02,2.55,2.63,2.5,2.63,84292660.0,
2020-04-03,2.62,2.65,2.51,2.52,117624960.0,
2020-04-06,2.58,2.6,2.54,2.58,225811600.0,
2020-04-07,2.75,2.8,2.65,2.69,213779450.0,
2020-04-08,2.69,2.72,2.6,2.72,114165920.0,
2020-04-13,2.72,2.8,2.69,2.8,97393100.0,
2020-04-14,2.8,2.89,2.78,2.89,112161060.0,
2020-04-15,2.89,3.0,2.88,3.0,121393640.0,
2020-04-16,2.85,2.9,2.7,2.7,145667930.0,
2020-04-17,2.81,2.85,2.74,2.8,104575030.0,
2020-04-20,2.82,2.84,2.73,2.82,43676110.0,
2020-04-21,2.78,2.79,2.7,2.78,42745330.0,
2020-04-22,2.71,2.72,2.65,2.72,35002660.0,
2020-04-23,2.74,2.77,2.67,2.67,23250880.0,
2020-04-24,2.68,2.71,2.59,2.59,64849460.0,
2020-04-27,2.61,2.65,2.55,2.58,24258100.0,
2020-04-28,2.58,2.64,2.52,2.56,59281850.0,
2020-04-29,2.57,2.6,2.55,2.57,101439980.0,
2020-04-30,2.63,2.66,2.58,2.58,54234960.0,
2020-05-04,2.59,2.59,2.52,2.52,43722200.0,
2020-05-05,2.56,2.63,2.56,2.59,22149520.0,
2020-05-06,2.66,2.73,2.62,2.63,79127420.0,
2020-05-07,2.68,2.68,2.55,2.63,35707840.0,
2020-05-08,2.64,2.66,2.57,2.59,42005760.0,
2020-05-11,2.59,2.61,2.57,2.58,32613940.0,
2020-05-12,2.57,2.59,2.55,2.57,25373410.0,
2020-05-13,2.57,2.58,2.53,2.57,20757840.0,
2020-05-14,2.57,2.63,2.54,2.63,14377640.0,
2020-05-15,2.63,2.63,2.56,2.56,11325590.0,
2020-05-18,2.57,2.6,2.46,2.46,31856630.0,
2020-05-19,2.52,2.58,2.49,2.57,42521260.0,
2020-05-20,2.6,2.6,2.51,2.56,15169350.0,
2020-05-21,2.54,2.65,2.54,2.64,39626850.0,
2020-05-22,2.63,2.65,2.6,2.64,22202470.0,
2020-05-26,2.65,2.67,2.54,2.59,24557620.0,
2020-05-27,2.59,2.7,2.53,2.69,44779540.0,
2020-05-28,2.69,2.75,2.62,2.75,45041050.0,
2020-05-29,2.75,2.85,2.71,2.85,134446300.0,
2020-06-01,2.82,2.95,2.78,2.95,68716940.0,
2020-06-02,2.96,3.08,2.96,3.05,152120940.0,
2020-06-03,3.08,3.2,3.08,3.19,147102940.0,
2020-06-04,3.13,3.26,3.08,3.19,172204650.0,
2020-06-05,3.19,3.23,3.11,3.18,53402620.0,
2020-06-08,3.2,3.42,3.2,3.42,91493120.0,
2020-06-09,3.45,3.45,3.26,3.3,119872220.0,
2020-06-10,3.29,3.3,3.17,3.23,99924720.0,
2020-06-11,3.2,3.39,3.1,3.39,166775090.0,
2020-06-15,3.25,3.38,3.15,3.31,164393420.0,
2020-06-16,3.3,3.39,3.25,3.31,68795720.0,
2020-06-17,3.31,3.37,3.26,3.36,136961860.0,
2020-06-18,3.36,3.36,3.29,3.34,27651980.0,
2020-06-19,3.3,3.34,3.26,3.27,92240350.0,
2020-06-22,3.25,3.27,3.16,3.2,57871250.0,
2020-06-23,3.2,3.2,3.15,3.15,116141600.0,
2020-06-24,3.16,3.19,3.06,3.06,68963900.0,
2020-06-25,3.06,3.07,2.96,3.0,107294630.0,
2020-06-26,3.04,3.12,3.01,3.01,72479000.0,
2020-06-29,2.95,2.97,2.85,2.89,103104420.0,
2020-06-30,2.97,3.09,2.93,3.05,84801840.0,
2020-07-01,3.09,3.14,3.06,3.06,41251420.0,
2020-07-02,3.08,3.15,3.06,3.13,77925830.0,
2020-07-03,3.17,3.19,3.14,3.18,39253800.0,
2020-07-06,3.19,3.27,3.14,3.26,78618550.0,
2020-07-07,3.29,3.3,3.16,3.16,93594380.0,
2020-07-08,3.18,3.18,3.02,3.09,63087520.0,
2020-07-09,3.09,3.1,3.03,3.07,50681970.0,
2020-07-10,3.07,3.14,3.01,3.14,37125180.0,
2020-07-13,3.03,3.08,3.02,3.07,112562800.0,
2020-07-14,3.03,3.08,3.02,3.05,59017830.0,
2020-07-15,3.03,3.05,2.94,3.0,95748690.0,
2020-07-16,3.01,3.16,3.0,3.16,39734820.0,
2020-07-17,3.14,3.18,3.09,3.15,54077330.0,
2020-07-20,3.19,3.19,3.12,3.12,28131830.0,
2020-07-21,3.13,3.2,3.13,3.18,71096620.0,
2020-07-22,3.2,3.24,3.15,3.2,75195370.0,
2020-07-23,3.19,3.2,3.0,3.14,71666350.0,
2020-07-24,3.07,3.13,3.05,3.07,20639010.0,
2020-07-27,3.06,3.07,2.98,3.02,63633390.0,
2020-07-28,3.01,3.04,2.95,3.01,35563420.0,
2020-07-29,3.01,3.04,2.98,3.0,43066010.0,
2020-07-30,3.0,3.04,2.98,3.0,16336050.0,
2020-08-03,2.96,3.0,2.9,2.9,44532770.0,
2020-08-04,,,,2.99,,23996000.0
2020-08-05,,,,2.99,,18690000.0
2020-08-06,,,,2.99,,6671000.0
2020-08-07,,,,2.94,,24321000.0
2020-08-10,,,,3.0,,4004000.0
2020-08-11,,,,2.95,,20312000.0
2020-08-12,,,,2.98,,11348000.0
2020-08-13,,,,3.01,,21422000.0
2020-08-14,,,,2.97,,21317000.0
2020-08-17,,,,3.0,,5854000.0
2020-08-18,,,,3.0,,27106000.0
2020-08-19,,,,3.08,,21742000.0
2020-08-20,,,,3.07,,3722000.0
2020-08-24,,,,3.0,,16064000.0
2020-08-25,,,,3.01,,9450000.0
2020-08-26,,,,3.0,,5425000.0
2020-08-27,,,,3.01,,3734000.0
2020-08-28,,,,2.91,,30808000.0
2020-09-01,,,,2.88,,22580000.0
2020-09-02,,,,2.89,,15065000.0
2020-09-03,,,,2.88,,7929000.0
2020-09-04,,,,2.89,,6471000.0
2020-09-07,,,,2.96,,20671000.0
2020-09-08,,,,3.1,,24300000.0
2020-09-09,,,,3.06,,14544000.0
2020-09-10,,,,3.08,,8137000.0
2020-09-11,,,,3.07,,4898000.0
2020-09-14,,,,3.16,,22190000.0
2020-09-15,,,,3.19,,21551000.0
2020-09-16,,,,3.14,,14693000.0
2020-09-17,,,,3.1,,10511000.0
2020-09-18,,,,3.14,,40660000.0
2020-09-21,,,,3.1,,14523000.0
2020-09-22,,,,3.07,,24394000.0
2020-09-23,,,,2.99,,31486000.0
2020-09-24,,,,2.91,,36781000.0
2020-09-25,,,,2.93,,24691000.0
2020-09-28,,,,2.98,,19652000.0
