dt,open,high,low,close,value,volume
2020-03-02,265.0,266.0,257.0,257.0,145822894.0,
2020-03-03,261.0,264.0,257.4,257.8,99120116.0,
2020-03-04,260.0,267.4,257.6,267.4,69062774.0,
2020-03-05,269.0,269.8,265.0,267.0,77001880.0,
2020-03-06,267.0,269.0,264.2,269.0,51323922.0,
2020-03-09,268.0,268.0,258.0,258.0,58392422.0,
2020-03-10,257.0,257.0,251.0,253.0,94781410.0,
2020-03-11,254.0,264.8,254.0,256.0,110779156.0,
2020-03-12,255.4,255.4,230.0,230.2,153651962.0,
2020-03-13,220.0,253.0,210.2,240.0,144087740.0,
2020-03-16,253.0,253.0,231.0,243.0,116820318.0,
2020-03-19,218.8,230.0,189.7,210.0,146917974.0,
2020-03-20,220.0,226.0,196.1,200.0,145049251.0,
2020-03-23,200.0,218.0,199.0,218.0,112345506.0,
2020-03-24,214.0,214.0,206.0,208.0,101512252.0,
2020-03-25,218.0,220.0,210.2,212.4,81721478.0,
2020-03-26,216.6,224.8,212.6,216.2,112142644.0,
2020-03-27,225.0,230.0,218.2,220.0,86168524.0,
2020-03-30,220.0,221.8,210.0,214.4,65844206.0,
2020-03-31,221.2,225.0,213.0,225.0,83180356.0,
2020-04-01,223.0,236.2,220.4,231.2,87621522.0,
2020-04-02,231.2,234.0,222.2,232.0,28868664.0,
2020-04-03,232.0,240.0,227.0,240.0,45432114.0,
2020-04-06,241.0,260.0,240.0,260.0,109955446.0,
2020-04-07,270.0,275.0,251.0,266.2,121607674.0,
2020-04-08,253.0,268.0,253.0,266.2,86251898.0,
2020-04-13,266.2,267.0,258.0,267.0,81313492.0,
2020-04-14,267.0,277.0,260.8,268.0,97698324.0,
2020-04-15,277.8,278.0,268.4,278.0,71373074.0,
2020-04-16,274.0,274.6,260.0,260.0,166636786.0,
2020-04-17,263.0,270.2,262.0,269.0,105975384.0,
2020-04-20,269.0,275.0,261.8,261.8,56423146.0,
2020-04-21,264.0,266.0,257.6,257.6,57083348.0,
2020-04-22,255.0,270.0,252.2,270.0,66121594.0,
2020-04-23,268.0,268.0,258.4,258.4,68763244.0,
2020-04-24,258.0,262.4,255.0,256.0,37457966.0,
2020-04-27,255.0,255.0,251.2,252.0,54315126.0,
2020-04-28,252.2,263.8,252.2,262.2,39149962.0,
2020-04-29,264.0,264.0,255.2,261.8,53113332.0,
2020-04-30,264.2,266.0,254.4,254.4,89554478.0,
2020-05-04,255.0,257.8,252.8,254.6,71491154.0,
2020-05-05,257.0,260.0,255.0,256.0,55610162.0,
2020-05-06,256.2,258.8,253.2,253.2,71823600.0,
2020-05-07,256.4,256.8,252.2,256.0,40990244.0,
2020-05-08,254.0,256.6,252.0,252.0,61605100.0,
2020-05-11,252.2,256.2,252.2,255.4,16467488.0,
2020-05-12,255.8,264.0,255.4,264.0,92271914.0,
2020-05-13,264.0,270.0,259.2,270.0,452252372.0,
2020-05-14,269.8,275.0,265.2,275.0,155364260.0,
2020-05-15,274.0,275.4,265.4,274.4,121169958.0,
2020-05-18,274.4,275.0,266.2,275.0,55081498.0,
